table_id,row_id,agency_full_path,agency_level_1,agency_level_2,agency_level_3,agency_level_4,agency_hierarchy_depth,field_total,field_computer_sciences_and_mathematics,field_engineering,field_environmental_sciences,field_life_sciences,field_physical_sciences,field_psychology,field_social_sciences,field_other_sciences_nec
3779,r001,All agencies,All agencies,,,,1,41101,2024,11661,1823,19423,1909,1387,704,2168
3779,r002,All agencies -> Departments,All agencies,Departments,,,2,,,,,,,,,
3779,r003,All agencies -> Departments -> Department of Agriculture,All agencies,Departments,Department of Agriculture,,3,1350,7,45,10,1070,45,0,173,0
3779,r004,All agencies -> Departments -> Department of Commerce,All agencies,Departments,Department of Commerce,,3,1029,147,236,446,70,71,0,29,29
3779,r005,All agencies -> Departments -> Department of Defense,All agencies,Departments,Department of Defense,,3,5758,1180,2462,146,523,430,67,6,944
3779,r006,All agencies -> Departments -> Department of Education,All agencies,Departments,Department of Education,,3,131,0,0,0,0,0,0,131,0
3779,r007,All agencies -> Departments -> Department of Energy,All agencies,Departments,Department of Energy,,3,6295,294,4748,240,17,994,0,0,2
3779,r008,All agencies -> Departments -> Department of Health and Human Services,All agencies,Departments,Department of Health and Human Services,,3,19255,127,1039,268,15845,43,1183,98,652
3779,r009,All agencies -> Departments -> Department of Health and Human Services -> National Institutes of Health,All agencies,Departments,Department of Health and Human Services,National Institutes of Health,4,17909,84,1038,166,14854,43,1175,55,494
3779,r010,All agencies -> Departments -> Department of Homeland Security,All agencies,Departments,Department of Homeland Security,,3,233,57,88,1,9,35,0,6,37
3779,r011,All agencies -> Departments -> Department of Housing and Urban Development,All agencies,Departments,Department of Housing and Urban Development,,3,22,0,1,0,0,0,0,15,6
3779,r012,All agencies -> Departments -> Department of the Interior,All agencies,Departments,Department of the Interior,,3,608,4,11,393,191,0,0,9,1
3779,r013,All agencies -> Departments -> Department of Justice,All agencies,Departments,Department of Justice,,3,84,2,2,0,7,10,3,53,8
3779,r014,All agencies -> Departments -> Department of Labor,All agencies,Departments,Department of Labor,,3,4,0,0,0,0,0,0,4,0
3779,r015,All agencies -> Departments -> Department of State,All agencies,Departments,Department of State,,3,62,0,0,0,60,0,0,2,0
3779,r016,All agencies -> Departments -> Department of Transportation,All agencies,Departments,Department of Transportation,,3,746,54,588,31,9,4,22,2,35
3779,r017,All agencies -> Departments -> Department of the Treasury,All agencies,Departments,Department of the Treasury,,3,36,0,0,0,0,36,0,0,0
3779,r018,All agencies -> Departments -> Department of Veterans Affairs,All agencies,Departments,Department of Veterans Affairs,,3,849,0,45,0,619,0,114,0,71
3779,r019,All agencies -> Other agencies,All agencies,Other agencies,,,2,,,,,,,,,
3779,r020,All agencies -> Other agencies -> Administrative Office of the U.S. Courts,All agencies,Other agencies,Administrative Office of the U.S. Courts,,3,6,6,0,0,0,0,0,0,0
3779,r021,All agencies -> Other agencies -> Agency for International Development,All agencies,Other agencies,Agency for International Development,,3,172,0,0,1,158,0,0,13,0
3779,r022,All agencies -> Other agencies -> Appalachian Regional Commission,All agencies,Other agencies,Appalachian Regional Commission,,3,1,0,0,0,0,0,0,1,0
3779,r023,All agencies -> Other agencies -> Consumer Product Safety Commission,All agencies,Other agencies,Consumer Product Safety Commission,,3,1,0,0,1,0,0,0,0,0
3779,r024,All agencies -> Other agencies -> Environmental Protection Agency,All agencies,Other agencies,Environmental Protection Agency,,3,405,9,57,167,160,10,0,2,0
3779,r025,All agencies -> Other agencies -> Federal Communications Commission,All agencies,Other agencies,Federal Communications Commission,,3,2,0,2,0,0,0,0,0,0
3779,r026,All agencies -> Other agencies -> Federal Trade Commission,All agencies,Other agencies,Federal Trade Commission,,3,6,0,0,0,0,0,0,6,0
3779,r027,All agencies -> Other agencies -> Library of Congress,All agencies,Other agencies,Library of Congress,,3,1,0,0,0,0,1,0,0,0
3779,r028,All agencies -> Other agencies -> National Aeronautics and Space Administration,All agencies,Other agencies,National Aeronautics and Space Administration,,3,2423,4,1917,113,100,219,0,0,69
3779,r029,All agencies -> Other agencies -> National Archives and Records Administration,All agencies,Other agencies,National Archives and Records Administration,,3,1,1,0,0,0,0,0,0,0
3779,r030,All agencies -> Other agencies -> National Science Foundation,All agencies,Other agencies,National Science Foundation,,3,784,132,313,7,6,12,0,3,312
3779,r031,All agencies -> Other agencies -> Nuclear Regulatory Commission,All agencies,Other agencies,Nuclear Regulatory Commission,,3,74,0,74,0,0,0,0,0,0
3779,r032,All agencies -> Other agencies -> Patient-Centered Outcomes Research Trust Fund,All agencies,Other agencies,Patient-Centered Outcomes Research Trust Fund,,3,578,0,0,0,578,0,0,0,0
3779,r033,All agencies -> Other agencies -> Social Security Administration,All agencies,Other agencies,Social Security Administration,,3,146,0,0,0,0,0,0,146,0
3779,r034,All agencies -> Other agencies -> Tennessee Valley Authority,All agencies,Other agencies,Tennessee Valley Authority,,3,6,0,6,0,0,0,0,0,0
3779,r035,All agencies -> Other agencies -> U.S. Agency for Global Media,All agencies,Other agencies,U.S. Agency for Global Media,,3,6,0,0,0,0,0,0,6,0
3779,r036,All agencies -> Other agencies -> U.S. Postal Service,All agencies,Other agencies,U.S. Postal Service,,3,27,0,27,0,0,0,0,0,0
