table_id,row_id,state_full_path,state_level_1,state_level_2,state_hierarchy_depth,field_total,field_paid_for_by_the_company,field_paid_for_by_others_total,field_paid_for_by_others_federal,field_paid_for_by_others_nonfederal
6633,r001,All states,All states,,1,"['492,956', '&nbsp;']","['428,968', '&nbsp;']","['63,989', '&nbsp;']","['21,941', '&nbsp;']","['42,048', '&nbsp;']"
6633,r002,All states -> Alabama,All states,Alabama,2,"['2,423', '&nbsp;']","['1,191', '&nbsp;']","['1,232', '&nbsp;']","['1,155', '&nbsp;']","['77', '&nbsp;']"
6633,r003,All states -> Alaska,All states,Alaska,2,"['49', '&nbsp;']","['41', '&nbsp;']","['8', '&nbsp;']","['4', '&nbsp;']","['5', '&nbsp;']"
6633,r004,All states -> Arizona,All states,Arizona,2,"['6,403', '&nbsp;']","['4,570', '&nbsp;']","['1,832', '&nbsp;']","['1,106', '&nbsp;']","['726', '&nbsp;']"
6633,r005,All states -> Arkansas,All states,Arkansas,2,"['461', '&nbsp;']","['397', '&nbsp;']","['64', '&nbsp;']","['28', '&nbsp;']","['36', '&nbsp;']"
6633,r006,All states -> California,All states,California,2,"['171,961', '&nbsp;']","['158,850', '&nbsp;']","['13,111', '&nbsp;']","['4,713', 'i']","['8,397', '&nbsp;']"
6633,r007,All states -> Colorado,All states,Colorado,2,"['6,070', '&nbsp;']","['5,208', '&nbsp;']","['862', '&nbsp;']","['598', '&nbsp;']","['264', '&nbsp;']"
6633,r008,All states -> Connecticut,All states,Connecticut,2,"['7,421', '&nbsp;']","['6,171', '&nbsp;']","['1,250', '&nbsp;']","['892', '&nbsp;']","['357', '&nbsp;']"
6633,r009,All states -> Delaware,All states,Delaware,2,"['2,156', '&nbsp;']","['1,436', '&nbsp;']","['720', '&nbsp;']","['5', '&nbsp;']","['715', '&nbsp;']"
6633,r010,All states -> District of Columbia,All states,District of Columbia,2,"['412', '&nbsp;']","['277', '&nbsp;']","['135', '&nbsp;']","['111', '&nbsp;']","['23', '&nbsp;']"
6633,r011,All states -> Florida,All states,Florida,2,"['7,259', '&nbsp;']","['5,611', '&nbsp;']","['1,648', '&nbsp;']","['870', '&nbsp;']","['778', '&nbsp;']"
6633,r012,All states -> Georgia,All states,Georgia,2,"['4,844', '&nbsp;']","['3,924', '&nbsp;']","['920', 'i']","['97', 'i']","['822', 'i']"
6633,r013,All states -> Hawaii,All states,Hawaii,2,"['159', '&nbsp;']","['86', '&nbsp;']","['73', '&nbsp;']","['19', '&nbsp;']","['54', '&nbsp;']"
6633,r014,All states -> Idaho,All states,Idaho,2,"['2,697', '&nbsp;']","['2,608', '&nbsp;']","['89', '&nbsp;']","['6', 'i']","['83', '&nbsp;']"
