table_id,row_id,_b_state_outlying_area_and_institution_b_full_path,_b_state_outlying_area_and_institution_b_level_1,_b_state_outlying_area_and_institution_b_level_2,_b_state_outlying_area_and_institution_b_hierarchy_depth,field_all_agencies,field_doe,field_dot,field_hhs,field_nsf
7312,r001,All states and outlying areas,All states and outlying areas,,1,400144.6,40000.0,698.0,55043.1,304403.5
7312,r002,Alabama,Alabama,,1,1885.6,0.0,0.0,0.0,1885.6
7312,r003,"Alabama -> Auburn U., Auburn",Alabama,"Auburn U., Auburn",2,280.5,0.0,0.0,0.0,280.5
7312,r004,"Alabama -> U. Alabama, The, Tuscaloosa",Alabama,"U. Alabama, The, Tuscaloosa",2,1605.1,0.0,0.0,0.0,1605.1
7312,r005,Alaska,Alaska,,1,3898.2,0.0,0.0,0.0,3898.2
7312,r006,"Alaska -> U. Alaska, Anchorage, Anchorage Campus",Alaska,"U. Alaska, Anchorage, Anchorage Campus",2,450.0,0.0,0.0,0.0,450.0
7312,r007,"Alaska -> U. Alaska, Fairbanks, Fairbanks Campus",Alaska,"U. Alaska, Fairbanks, Fairbanks Campus",2,3448.2,0.0,0.0,0.0,3448.2
7312,r008,Arizona,Arizona,,1,3067.9,0.0,0.0,0.0,3067.9
7312,r009,Arizona -> Arizona State U.,Arizona,Arizona State U.,2,2725.0,0.0,0.0,0.0,2725.0
7312,r010,Arizona -> U. Arizona,Arizona,U. Arizona,2,342.9,0.0,0.0,0.0,342.9
7312,r011,Arkansas,Arkansas,,1,580.3,0.0,0.0,0.0,580.3
7312,r012,"Arkansas -> U. Arkansas, Fayetteville",Arkansas,"U. Arkansas, Fayetteville",2,580.3,0.0,0.0,0.0,580.3
7312,r013,California,California,,1,31420.4,0.0,0.0,7282.4,24138.0
7312,r014,California -> California Institute of Technology,California,California Institute of Technology,2,9356.6,0.0,0.0,0.0,9356.6
7312,r015,"California -> California Polytechnic State U., San Luis Obispo",California,"California Polytechnic State U., San Luis Obispo",2,340.4,0.0,0.0,0.0,340.4
7312,r016,"California -> California State U., Fullerton",California,"California State U., Fullerton",2,159.9,0.0,0.0,0.0,159.9
7312,r017,"California -> California State U., Long Beach",California,"California State U., Long Beach",2,335.9,0.0,0.0,0.0,335.9
7312,r018,"California -> California State U., San Bernardino",California,"California State U., San Bernardino",2,351.2,0.0,0.0,0.0,351.2
7312,r019,California -> Occidental C.,California,Occidental C.,2,340.0,0.0,0.0,0.0,340.0
7312,r020,California -> San Francisco State U.,California,San Francisco State U.,2,1505.2,0.0,0.0,0.0,1505.2
7312,r021,California -> San Jose State U.,California,San Jose State U.,2,42.7,0.0,0.0,0.0,42.7
7312,r022,California -> Sonoma State U.,California,Sonoma State U.,2,439.1,0.0,0.0,0.0,439.1
7312,r023,California -> Stanford U.,California,Stanford U.,2,637.9,0.0,0.0,0.0,637.9
7312,r024,"California -> U. California, Berkeley",California,"U. California, Berkeley",2,913.6,0.0,0.0,0.0,913.6
7312,r025,"California -> U. California, Irvine",California,"U. California, Irvine",2,480.0,0.0,0.0,0.0,480.0
7312,r026,"California -> U. California, Los Angeles",California,"U. California, Los Angeles",2,7282.4,0.0,0.0,7282.4,0.0
7312,r027,"California -> U. California, Merced",California,"U. California, Merced",2,700.0,0.0,0.0,0.0,700.0
7312,r028,"California -> U. California, Riverside",California,"U. California, Riverside",2,518.7,0.0,0.0,0.0,518.7
7312,r029,"California -> U. California, San Diego",California,"U. California, San Diego",2,2869.4,0.0,0.0,0.0,2869.4
7312,r030,"California -> U. California, Santa Barbara",California,"U. California, Santa Barbara",2,4519.7,0.0,0.0,0.0,4519.7
7312,r031,"California -> U. California, Santa Cruz",California,"U. California, Santa Cruz",2,324.2,0.0,0.0,0.0,324.2
7312,r032,California -> U. Southern California,California,U. Southern California,2,303.5,0.0,0.0,0.0,303.5
7312,r033,Colorado,Colorado,,1,1631.9,0.0,0.0,0.0,1631.9
7312,r034,Colorado -> Fort Lewis C.,Colorado,Fort Lewis C.,2,321.5,0.0,0.0,0.0,321.5
7312,r035,Colorado -> U. Colorado Boulder,Colorado,U. Colorado Boulder,2,1310.4,0.0,0.0,0.0,1310.4
7312,r036,Connecticut,Connecticut,,1,105.9,0.0,0.0,0.0,105.9
7312,r037,Connecticut -> Wesleyan U.,Connecticut,Wesleyan U.,2,105.9,0.0,0.0,0.0,105.9
7312,r038,Delaware,Delaware,,1,5540.5,0.0,0.0,0.0,5540.5
7312,r039,Delaware -> U. Delaware,Delaware,U. Delaware,2,5540.5,0.0,0.0,0.0,5540.5
7312,r040,District of Columbia,District of Columbia,,1,52543.2,0.0,0.0,5352.1,47191.1
7312,r041,District of Columbia -> Association of Universities for Research in Astronomy,District of Columbia,Association of Universities for Research in Astronomy,2,46349.6,0.0,0.0,0.0,46349.6
7312,r042,District of Columbia -> Howard U.,District of Columbia,Howard U.,2,329.7,0.0,0.0,0.0,329.7
7312,r043,District of Columbia -> U. District of Columbia,District of Columbia,U. District of Columbia,2,5863.8,0.0,0.0,5352.1,511.7
7312,r044,Florida,Florida,,1,18679.4,0.0,3.5,7600.0,11075.9
7312,r045,Florida -> Embry-Riddle Aeronautical U.,Florida,Embry-Riddle Aeronautical U.,2,975.9,0.0,0.0,0.0,975.9
7312,r046,Florida -> Florida Atlantic U.,Florida,Florida Atlantic U.,2,0.2,0.0,0.2,0.0,0.0
7312,r047,Florida -> Florida Institute of Technology,Florida,Florida Institute of Technology,2,398.9,0.0,0.0,0.0,398.9
7312,r048,Florida -> Florida International U.,Florida,Florida International U.,2,2898.6,0.0,3.3,0.0,2895.3
7312,r049,Florida -> Florida State U.,Florida,Florida State U.,2,4547.7,0.0,0.0,0.0,4547.7
7312,r050,Florida -> U. Central Florida,Florida,U. Central Florida,2,542.5,0.0,0.0,0.0,542.5
7312,r051,Florida -> U. Florida,Florida,U. Florida,2,1693.2,0.0,0.0,0.0,1693.2
7312,r052,Florida -> U. Miami,Florida,U. Miami,2,7600.0,0.0,0.0,7600.0,0.0
7312,r053,"Florida -> U. South Florida, Tampa",Florida,"U. South Florida, Tampa",2,22.4,0.0,0.0,0.0,22.4
7312,r054,Georgia,Georgia,,1,5447.0,0.0,0.0,2000.0,3447.0
7312,r055,Georgia -> Emory U.,Georgia,Emory U.,2,2000.0,0.0,0.0,2000.0,0.0
