table_id,row_id,_b_consortium_b_full_path,_b_consortium_b_level_1,_b_consortium_b_level_2,_b_consortium_b_hierarchy_depth,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021
10420,r001,All consortia,All consortia,,1,478072,501428,453813,458093,421057,534702,388726,435736,199877
10420,r002,All consortia -> Alaska Marine Safety Education Association ,All consortia,Alaska Marine Safety Education Association ,2,0,0,0,0,0,0,0,0,50
10420,r003,All consortia -> Alaska Native Tribal Health Consortium,All consortia,Alaska Native Tribal Health Consortium,2,244,919,250,291,212,79,85,540,6500
10420,r004,All consortia -> American Indian Higher Education Consortium,All consortia,American Indian Higher Education Consortium,2,1537,291,1048,3147,1235,0,466,3643,1164
10420,r005,All consortia -> Arctic Research Consortium of the United States,All consortia,Arctic Research Consortium of the United States,2,1109,2362,800,2218,2447,2650,2508,6760,1921
10420,r006,All consortia -> Association of Universities for Research in Astronomy,All consortia,Association of Universities for Research in Astronomy,2,187721,215535,267457,290664,279177,353555,250590,271215,56916
10420,r007,All consortia -> Astrophysical Research Consortium,All consortia,Astrophysical Research Consortium,2,0,0,0,0,0,0,0,4150,0
10420,r008,All consortia -> Atlanta U. Center Consortium,All consortia,Atlanta U. Center Consortium,2,745,745,0,0,0,0,0,0,0
10420,r009,All consortia -> Barrow Arctic Science Consortium,All consortia,Barrow Arctic Science Consortium,2,34,0,0,0,0,0,0,0,0
10420,r010,All consortia -> Black Rock Forest Consortium,All consortia,Black Rock Forest Consortium,2,0,0,0,0,0,318,0,0,0
10420,r011,All consortia -> Cancer Alliance of Nebraska,All consortia,Cancer Alliance of Nebraska,2,554,711,0,0,0,0,0,0,0
10420,r012,All consortia -> Chesapeake Research Consortium Inc.,All consortia,Chesapeake Research Consortium Inc.,2,0,8,0,18,0,0,0,298,0
10420,r013,All consortia -> Clinical Data Interchange Standards Consortium Inc.,All consortia,Clinical Data Interchange Standards Consortium Inc.,2,0,221,384,225,237,750,299,0,0
10420,r014,All consortia -> Commonwealth Center for Advanced Manufacturing,All consortia,Commonwealth Center for Advanced Manufacturing,2,0,0,0,0,0,250,0,0,350
10420,r015,All consortia -> Conservation X Labs Inc.,All consortia,Conservation X Labs Inc.,2,0,0,0,0,0,0,480,0,0
10420,r016,All consortia -> Consortium for Energy Efficiency Inc.,All consortia,Consortium for Energy Efficiency Inc.,2,35,576,340,300,0,0,0,0,0
10420,r017,All consortia -> Consortium for Ocean Leadership,All consortia,Consortium for Ocean Leadership,2,156734,134189,55864,52676,1910,32903,1368,976,1261
10420,r018,All consortia -> Consortium for Research on Renewable Industrial Materials,All consortia,Consortium for Research on Renewable Industrial Materials,2,678,0,0,0,0,0,0,0,0
10420,r019,All consortia -> Consortium of Organizations for Strong Motion Observation Systems,All consortia,Consortium of Organizations for Strong Motion Observation Systems,2,0,0,0,0,20,0,0,0,0
10420,r020,All consortia -> Consortium of Universities for the Advancement of Hydrologic Science Inc.,All consortia,Consortium of Universities for the Advancement of Hydrologic Science Inc.,2,1785,2094,2192,2317,2343,2589,2744,3050,3176
10420,r021,All consortia -> Consortium of Universities of the Washington Metropolitan Area,All consortia,Consortium of Universities of the Washington Metropolitan Area,2,3246,2898,4427,1880,3494,4483,1106,0,11122
10420,r022,All consortia -> Great Lakes Inter-Tribal Council Inc.,All consortia,Great Lakes Inter-Tribal Council Inc.,2,0,0,0,0,0,0,0,959,1240
10420,r023,All consortia -> Gulf of Maine Association,All consortia,Gulf of Maine Association,2,0,0,0,104,0,0,0,0,0
10420,r024,All consortia -> Gulf of Mexico Alliance,All consortia,Gulf of Mexico Alliance,2,0,0,0,20,0,0,0,0,50
10420,r025,All consortia -> Human Relations Area Files,All consortia,Human Relations Area Files,2,0,999,0,0,46,100,0,1384,0
10420,r026,All consortia -> ICAMR Inc.,All consortia,ICAMR Inc.,2,0,0,0,0,0,0,0,2139,0
10420,r027,All consortia -> Innovative Solutions Consortium,All consortia,Innovative Solutions Consortium,2,0,0,0,0,50,0,0,0,0
