table_id,row_id,_b_mechanism_of_support_b_full_path,_b_mechanism_of_support_b_level_1,_b_mechanism_of_support_b_level_2,_b_mechanism_of_support_b_level_3,_b_mechanism_of_support_b_hierarchy_depth,field_all_sources,field_federal_dod,field_federal_doe,field_federal_hhs_nih,field_federal_hhs_other,field_federal_nasa,field_federal_nsf,field_federal_usda,field_federal_other,field_domestic,field_foreign,field_institutional,field_self_support,field_unknown,field_male,field_female
3455,r001,Imputation rate (%),Imputation rate (%),,,1,,,,,,,,,,,,,,,,
3455,r002,Imputation rate (%) -> All postdoctoral appointees,Imputation rate (%),All postdoctoral appointees,,2,4.5,9.2,8.3,8.0,7.0,5.6,11.2,6.7,7.7,8.7,6.3,6.8,3.5,14.7,5.2,5.3
3455,r003,Imputation rate (%) -> All postdoctoral appointees -> Fellowships,Imputation rate (%),All postdoctoral appointees,Fellowships,3,26.1,34.0,25.0,30.0,11.4,14.0,30.8,37.0,20.7,17.7,13.3,17.4,na,59.1,24.9,27.6
3455,r004,Imputation rate (%) -> All postdoctoral appointees -> Research grant,Imputation rate (%),All postdoctoral appointees,Research grant,3,8.4,7.4,8.8,6.4,6.0,6.0,10.4,7.6,9.2,6.4,3.8,7.3,na,57.7,9.3,8.6
3455,r005,Imputation rate (%) -> All postdoctoral appointees -> Traineeship,Imputation rate (%),All postdoctoral appointees,Traineeship,3,8.8,0.0,0.0,6.1,6.8,0.0,4.3,0.0,41.7,3.4,7.9,4.5,na,69.1,12.5,8.8
3455,r006,Imputation rate (%) -> All postdoctoral appointees -> Other support,Imputation rate (%),All postdoctoral appointees,Other support,3,7.5,7.9,2.4,10.1,35.7,0.0,7.0,0.0,7.7,14.0,2.1,5.7,3.5,8.5,7.6,7.8
3455,r007,Number imputed<sup>a</sup>,Number imputed<sup>a</sup>,,,1,,,,,,,,,,,,,,,,
3455,r008,Number imputed<sup>a</sup> -> All postdoctoral appointees,Number imputed<sup>a</sup>,All postdoctoral appointees,,2,2986,218,169,1553,61,40,399,54,202,869,101,1066,31,836,2049,1423
3455,r009,Number imputed<sup>a</sup> -> All postdoctoral appointees -> Fellowships,Number imputed<sup>a</sup>,All postdoctoral appointees,Fellowships,3,1887,66,24,438,10,8,90,17,58,257,63,331,na,525,1013,871
3455,r010,Number imputed<sup>a</sup> -> All postdoctoral appointees -> Research grant,Number imputed<sup>a</sup>,All postdoctoral appointees,Research grant,3,3369,155,167,969,42,38,332,50,187,394,27,426,na,582,2283,1338
3455,r011,Number imputed<sup>a</sup> -> All postdoctoral appointees -> Traineeship,Number imputed<sup>a</sup>,All postdoctoral appointees,Traineeship,3,310,0,0,141,5,0,1,0,40,8,3,27,na,85,202,167
3455,r012,Number imputed<sup>a</sup> -> All postdoctoral appointees -> Other support,Number imputed<sup>a</sup>,All postdoctoral appointees,Other support,3,1154,6,1,62,5,0,4,0,16,295,8,413,31,313,685,502
