table_id,row_id,_b_state_and_outlying_area_b_full_path,_b_state_and_outlying_area_b_level_1,_b_state_and_outlying_area_b_level_2,_b_state_and_outlying_area_b_level_3,_b_state_and_outlying_area_b_hierarchy_depth,field_all_federal_obligations,field_r_d,field_r_d_plant,field_facilities_for_instruction_in_s_e,field_fellowships_traineeships_and_training_grants,field_general_support_for_s_e,field_other_s_e_activities
4318,r001,All states and outlying areas,All states and outlying areas,,,1,,,,,,,
4318,r002,All states and outlying areas -> Obligations ($thousands),All states and outlying areas,Obligations ($thousands),,2,38084768.1,35125460.1,593658.8,6103.3,1802625.2,96092.7,460827.9
4318,r003,All states and outlying areas -> Institutions (number),All states and outlying areas,Institutions (number),,2,1034,917,196,7,703,107,323
4318,r004,All states and outlying areas -> Alabama,All states and outlying areas,Alabama,,2,,,,,,,
4318,r005,All states and outlying areas -> Alabama -> Obligations ($thousands),All states and outlying areas,Alabama,Obligations ($thousands),3,540544.4,491035.2,2089.0,0.0,39735.3,722.4,6962.5
4318,r006,All states and outlying areas -> Alabama -> Institutions (number),All states and outlying areas,Alabama,Institutions (number),3,16,16,4,0,13,3,5
4318,r007,All states and outlying areas -> Alaska,All states and outlying areas,Alaska,,2,,,,,,,
4318,r008,All states and outlying areas -> Alaska -> Obligations ($thousands),All states and outlying areas,Alaska,Obligations ($thousands),3,115684.0,103531.5,306.4,0.0,5400.5,55.0,6390.5
4318,r009,All states and outlying areas -> Alaska -> Institutions (number),All states and outlying areas,Alaska,Institutions (number),3,6,5,1,0,4,1,3
4318,r010,All states and outlying areas -> Arizona,All states and outlying areas,Arizona,,2,,,,,,,
4318,r011,All states and outlying areas -> Arizona -> Obligations ($thousands),All states and outlying areas,Arizona,Obligations ($thousands),3,482710.9,441188.2,11490.7,0.0,23676.1,1209.0,5147.0
4318,r012,All states and outlying areas -> Arizona -> Institutions (number),All states and outlying areas,Arizona,Institutions (number),3,9,8,3,0,6,2,4
