table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_2017,field_2018,field_2019,field_2020_all_physical_sciences,field_2020_astronomy_and_astrophysics,field_2020_chemistry,field_2020_materials_science,field_2020_physics,field_2020_physical_sciences_nec
5429,r001,All institutions,All institutions,,1,-,"['5,049,994', '']","['5,232,066', '']","['5,551,490', '']","['5,667,046', '']","['780,080', '']","['1,926,772', '']","['252,193', '']","['2,434,467', '']","['273,534', '']"
5429,r002,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,1,"['189,415', 'i']","['243,916', 'i']","['323,619', 'i']","['390,245', 'i']","['96,033', 'i']","['25,946', 'i']","['4,300', 'i']","['232,583', 'i']","['31,383', 'i']"
5429,r003,All institutions -> California Institute of Technology,All institutions,California Institute of Technology,2,2,"['192,478', '']","['188,604', '']","['188,041', '']","['217,581', '']","['49,859', '']","['40,638', '']","['20,847', '']","['106,237', '']","['0', '']"
5429,r004,All institutions -> Michigan State U.,All institutions,Michigan State U.,2,3,"['191,923', '']","['169,148', '']","['151,159', '']","['154,318', '']","['39', '']","['11,806', '']","['0', '']","['142,473', '']","['0', '']"
5429,r005,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,4,"['127,856', '']","['124,145', '']","['136,601', '']","['153,044', '']","['35,202', '']","['32,375', '']","['6,864', '']","['48,695', '']","['29,908', '']"
5429,r006,All institutions -> U. Arizona,All institutions,U. Arizona,2,5,"['126,361', '']","['127,847', '']","['139,315', '']","['149,138', '']","['121,908', '']","['14,511', '']","['3,434', '']","['9,230', '']","['55', '']"
5429,r007,"All institutions -> U. California, Berkeley",All institutions,"U. California, Berkeley",2,6,"['143,095', '']","['130,883', '']","['130,895', '']","['141,434', '']","['66,219', '']","['36,326', '']","['63', '']","['32,085', '']","['6,741', '']"
5429,r008,All institutions -> Cornell U.,All institutions,Cornell U.,2,7,"['112,256', '']","['122,144', '']","['122,968', '']","['121,218', '']","['10,728', '']","['27,423', '']","['4,382', '']","['48,658', '']","['30,027', '']"
5429,r009,All institutions -> U. Colorado Boulder,All institutions,U. Colorado Boulder,2,8,"['74,376', '']","['84,938', '']","['107,416', '']","['115,340', '']","['28,747', '']","['9,041', '']","['0', '']","['69,967', '']","['7,585', '']"
5429,r010,All institutions -> U. Maryland<sup>b</sup>,All institutions,U. Maryland<sup>b</sup>,2,9,"['na', '']","['na', '']","['102,720', '']","['105,718', '']","['36,409', '']","['10,389', '']","['463', '']","['46,013', '']","['12,444', '']"
5429,r011,All institutions -> U. Rochester,All institutions,U. Rochester,2,10,"['89,368', '']","['93,061', '']","['111,388', '']","['101,004', '']","['0', '']","['5,309', '']","['0', '']","['95,695', '']","['0', '']"
5429,r012,All institutions -> Harvard U.,All institutions,Harvard U.,2,11,"['84,679', '']","['84,054', '']","['94,515', '']","['100,654', '']","['16,435', '']","['33,675', '']","['0', '']","['49,146', '']","['1,398', '']"
5429,r013,All institutions -> Stanford U.,All institutions,Stanford U.,2,12,"['92,056', '']","['88,010', '']","['95,084', '']","['94,954', '']","['6,031', '']","['25,478', '']","['11,383', '']","['48,826', '']","['3,236', '']"
5429,r014,All institutions -> Princeton U.,All institutions,Princeton U.,2,13,"['70,706', '']","['82,329', '']","['88,235', '']","['94,815', '']","['24,682', '']","['25,095', '']","['3,611', '']","['40,161', '']","['1,266', '']"
