table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_domestic_r_d_us_millions_,field_percentage_of_domestic_sales_of_r_d_performers_or_fundersa,field_percentage_of_domestic_sales_of_r_d_performers_onlyb
9657,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['659,458', '  ']","['5.0', '  ']","['5.2', '  ']"
9657,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['374,920', '  ']","['5.7', '  ']","['5.7', '  ']"
9657,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['5,535', '  ']","['0.8', '  ']","['0.8', '  ']"
9657,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['1,425', '  ']","['0.8', '  ']","['0.8', '  ']"
9657,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['840', '  ']","['1.2', '  ']","['1.2', '  ']"
9657,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['456', '  ']","['0.7', '  ']","['0.7', '  ']"
9657,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['1,145', '  ']","['1.2', '  ']","['1.2', '  ']"
9657,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['207 - 216', 'i ']","['D', '  ']","['0.6', '  ']"
9657,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['1,158', '  ']","['0.4', '  ']","['0.4', '  ']"
9657,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['145,882', '  ']","['11.1', '  ']","['11.2', '  ']"
9657,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['2,787', '  ']","['0.9', '  ']","['0.9', '  ']"
9657,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['1,420 - 1,457', 'i ']","['D', '  ']","['D', '  ']"
9657,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['1,255', '  ']","['1.2', '  ']","['1.2', '  ']"
9657,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['136,048', '  ']","['21.8', '  ']","['21.8', '  ']"
9657,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparations",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparations",,4,3256,"['3,035', '  ']","['2.5', '  ']","['2.5', '  ']"
9657,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['1,298 - 1,339', '  ']","['D', '  ']","['D', '  ']"
9657,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['3,208', '  ']","['1.4', '  ']","['1.4', '  ']"
9657,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['1,550', '  ']","['2.9', '  ']","['3.2', '  ']"
9657,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['921 - 925', '  ']","['D', '  ']","['D', '  ']"
9657,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['4,380', '  ']","['1.1', '  ']","['1.1', '  ']"
9657,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['18,067', '  ']","['4.2', '  ']","['4.2', '  ']"
9657,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implement,All industries,Manufacturing industries,Machinery,Agricultural implement,,4,33311,"['1,981 - 2,005', '  ']","['D', '  ']","['D', '  ']"
9657,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['5,352', '  ']","['17.9', '  ']","['17.9', '  ']"
9657,r024,"All industries -> Manufacturing industries -> Machinery -> Engine, turbine, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engine, turbine, and power transmission equipment",,4,3336,"['1,399', '  ']","['3.1', '  ']","['3.1', '  ']"
9657,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['9,310 - 9,336', '  ']","['D', '  ']","['D', '  ']"
9657,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['105,039', '  ']","['13.5', '  ']","['13.5', '  ']"
9657,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['13,657', '  ']","['13.2', '  ']","['13.2', '  ']"
9657,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['47,753', '  ']","['20.6', '  ']","['20.6', '  ']"
9657,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['13,986', '  ']","['8.9', '  ']","['8.9', '  ']"
9657,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatus",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatus",5,"334510, 334517","['3,171', '  ']","['19.2', '  ']","['19.2', '  ']"
9657,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical system and instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical system and instruments",5,334511,"['5,430', '  ']","['11.8', '  ']","['11.8', '  ']"
9657,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling devices",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling devices,5,other 3345,"['5,384', '  ']","['5.7', '  ']","['5.7', '  ']"
9657,r033,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['29,642', '  ']","['10.4', '  ']","['10.4', '  ']"
9657,r034,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['5,569', '  ']","['3.6', '  ']","['3.6', '  ']"
9657,r035,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['56,589', '  ']","['5.6', '  ']","['5.6', '  ']"
9657,r036,"All industries -> Manufacturing industries -> Transportation equipment -> Motor vehicles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Motor vehicles, bodies, trailers, and parts",,4,3361–63,"['30,744', '  ']","['4.9', '  ']","['D', '  ']"
9657,r037,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['22,883', '  ']","['7.3', '  ']","['D', '  ']"
9657,r038,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Aircraft, aircraft engine, and aircraft parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Aircraft, aircraft engine, and aircraft parts",5,336411–13,"['21,193', '  ']","['7.0', '  ']","['7.0', '  ']"
9657,r039,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Guided missile, space vehicle, and related parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Guided missile, space vehicle, and related parts",5,"336414–15, 336419","['1,690', '  ']","['15.0', '  ']","['D', '  ']"
9657,r040,"All industries -> Manufacturing industries -> Transportation equipment -> Military armored vehicle, tank, and tank components",All industries,Manufacturing industries,Transportation equipment,"Military armored vehicle, tank, and tank components",,4,336992,"['21 - 25', '  ']","['D', '  ']","['D', '  ']"
9657,r041,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['2,936 - 2,941', '  ']","['D', '  ']","['D', '  ']"
9657,r042,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['443', '  ']","['1.0', '  ']","['1.1', '  ']"
9657,r043,All industries -> Manufacturing industries -> Miscellaneous,All industries,Manufacturing industries,Miscellaneous,,,3,339,"['22,493 - 22,512', '  ']","['D', '  ']","['D', '  ']"
9657,r044,All industries -> Manufacturing industries -> Miscellaneous -> Medical equipment and supplies,All industries,Manufacturing industries,Miscellaneous,Medical equipment and supplies,,4,3391,"['19,706', '  ']","['4.6', '  ']","['4.6', '  ']"
9657,r045,All industries -> Manufacturing industries -> Miscellaneous -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous,Other miscellaneous manufacturing,,4,3399,"['2,787 - 2,807', '  ']","['D', '  ']","['D', '  ']"
9657,r046,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['284,538', '  ']","['4.3', '  ']","['4.5', '  ']"
9657,r047,"All industries -> Nonmanufacturing industries -> Mining, quarrying, oil and gas extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, quarrying, oil and gas extraction, and support activities",,,3,21,"['1,275 - 1,468', '  ']","['D', '  ']","['D', '  ']"
9657,r048,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['175 - 18,681', '  ']","['D', '  ']","['D', '  ']"
9657,r049,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['1,923', 'i ']","['0.2', '  ']","['0.2', '  ']"
9657,r050,All industries -> Nonmanufacturing industries -> Electronic shopping and electronic auctions,All industries,Nonmanufacturing industries,Electronic shopping and electronic auctions,,,3,454111–12,"['5,939 - 24,697', 'i ']","['D', '  ']","['D', '  ']"
9657,r051,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,"['7,257', '  ']","['2.9', '  ']","['2.9', '  ']"
9657,r052,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['151,148', '  ']","['8.9', '  ']","['8.9', '  ']"
9657,r053,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['40,846', '  ']","['13.4', '  ']","['13.4', '  ']"
9657,r054,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,"['110', '  ']","['5.5', '  ']","['5.8', '  ']"
9657,r055,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,"['40,735', '  ']","['13.4', '  ']","['13.5', '  ']"
