table_id,row_id,_b_field_and_time_to_degree_b_full_path,_b_field_and_time_to_degree_b_level_1,_b_field_and_time_to_degree_b_level_2,_b_field_and_time_to_degree_b_level_3,_b_field_and_time_to_degree_b_level_4,_b_field_and_time_to_degree_b_hierarchy_depth,field_1973,field_1978,field_1983,field_1988,field_1993,field_1998,field_2003,field_2008,field_2013,field_2018,field_2023
11651,r001,All fields,All fields,,,,1,,,,,,,,,,,
11651,r002,All fields -> Since earning bachelor's,All fields,Since earning bachelor's,,,2,8.5,9.0,9.9,10.6,10.7,10.5,10.2,9.4,9.0,8.6,8.6
11651,r003,All fields -> Since starting graduate school,All fields,Since starting graduate school,,,2,7.2,7.7,8.2,8.7,8.7,8.3,8.5,7.7,7.5,7.3,7.2
11651,r004,All fields -> Since starting doctoral program<sup>a</sup>,All fields,Since starting doctoral program<sup>a</sup>,,,2,na,na,na,na,na,na,na,na,na,5.8,5.7
11651,r005,All fields -> Science and engineering,All fields,Science and engineering,,,2,,,,,,,,,,,
11651,r006,All fields -> Science and engineering -> Since earning bachelor's,All fields,Science and engineering,Since earning bachelor's,,3,7.3,7.6,8.2,8.9,9.3,9.0,8.9,8.4,8.1,8.0,8.0
11651,r007,All fields -> Science and engineering -> Since starting graduate school,All fields,Science and engineering,Since starting graduate school,,3,6.4,6.7,6.9,7.2,7.7,7.2,7.5,7.0,6.9,6.8,6.8
11651,r008,All fields -> Science and engineering -> Since starting doctoral program<sup>a</sup>,All fields,Science and engineering,Since starting doctoral program<sup>a</sup>,,3,na,na,na,na,na,na,na,na,na,5.7,5.6
11651,r009,All fields -> Science and engineering -> Agricultural sciences and natural resources,All fields,Science and engineering,Agricultural sciences and natural resources,,3,,,,,,,,,,,
11651,r010,All fields -> Science and engineering -> Agricultural sciences and natural resources -> Since earning bachelor's,All fields,Science and engineering,Agricultural sciences and natural resources,Since earning bachelor's,4,8.2,8.2,8.7,10.0,10.9,11.1,10.5,9.7,9.4,8.9,8.8
11651,r011,All fields -> Science and engineering -> Agricultural sciences and natural resources -> Since starting graduate school,All fields,Science and engineering,Agricultural sciences and natural resources,Since starting graduate school,4,6.7,6.3,6.9,7.8,8.7,8.7,8.2,7.9,7.7,7.3,7.3
11651,r012,All fields -> Science and engineering -> Agricultural sciences and natural resources -> Since starting doctoral program<sup>a</sup>,All fields,Science and engineering,Agricultural sciences and natural resources,Since starting doctoral program<sup>a</sup>,4,na,na,na,na,na,na,na,na,na,5.0,5.0
11651,r013,All fields -> Science and engineering -> Biological and biomedical sciences,All fields,Science and engineering,Biological and biomedical sciences,,3,,,,,,,,,,,
