table_id,row_id,institution,beihang_u_,beijing_institute_of_technology,beijing_jiaotong_u_,beijing_u_posts_and_telecommunications,beijing_u_technology,cas_institute_of_automation,cnrs,carnegie_mellon_u_,central_south_u_,chinese_academy_of_sciences,chinese_u_hong_kong,chongqing_u_,city_u_hong_kong,dalian_u_technology,fudan_u_,georgia_institute_of_technology,harbin_engineering_u_,harbin_institute_of_technology,harvard_u_,hefei_u_technology,hong_kong_polytechnic_u_,huazhong_u_science_and_technology,ibm,imperial_c_london,institut_mines_t_l_com,institut_national_de_recherche_en_informatique_et_en_automatique,jilin_u_,ku_leuven,massachusetts_institute_of_technology,microsoft_usa,nanjing_u_,nanjing_u_aeronautics_and_astronautics,nanjing_u_posts_and_telecommunications,nanjing_u_science_and_technology,nanyang_technological_u_,national_research_council_of_italy,national_u_defense_technology,national_u_singapore,north_china_electric_power_u_,northeastern_u_china,northwestern_polytechnical_u_xi_an,osaka_u_,peking_u_,polytechnic_u_catalonia,shandong_u_,shanghai_jiao_tong_u_,shanghai_u_,shenzhen_u_,sichuan_u_,sorbonne_universit_,south_china_u_technology,southeast_u_nanjing,southwest_jiaotong_u_,stanford_u_,state_grid_corporation_of_china,sun_yat_sen_u_,swiss_federal_institute_of_technology_zurich,technical_u_munich,tianjin_u_,tokyo_institute_of_technology,tongji_u_,tsinghua_u_,u_c_london,u_california_at_berkeley,u_chinese_academy_of_sciences,u_electronic_science_and_technology_of_china,u_granada,u_illinois_at_urbana_champaign,u_new_south_wales,u_oxford,u_science_and_technology_beijing,u_science_and_technology_of_china,u_southern_california,u_sydney,u_technology_sydney,u_tokyo_the,universit_f_d_rale_toulouse_midi_pyr_n_es,universit_paris_saclay,waseda_u_,wuhan_u_,wuhan_u_technology,xi_an_jiaotong_u_,xidian_u_,zhejiang_u_
10065,r001,Beihang U.,0,51,53,70,0,55,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,72,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0
10065,r002,Beijing Institute of Technology,51,0,0,0,0,63,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,72,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0
10065,r003,Beijing Jiaotong U.,53,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10065,r004,Beijing U. Posts and Telecommunications,70,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10065,r005,Beijing U. Technology,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10065,r006,CAS - Institute of Automation,55,63,0,0,0,0,0,0,0,3235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,1186,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,51,0,0
10065,r007,CNRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,1135,2202,0,0,0,0,0,0,0,0,0,67,0,61,0,0,0,0,0,59,0,0,0,0,0,2105,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,62,1896,1650,0,0,0,0,0,0
10065,r008,Carnegie Mellon U.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,66,0,0,0,55,0,0,0,0,0,93,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,53,0,90,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0
10065,r009,Central South U.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10065,r010,Chinese Academy of Sciences,236,190,118,122,102,3235,0,0,0,0,396,55,104,93,68,0,0,199,0,75,83,85,0,0,0,0,69,0,0,95,52,0,0,73,111,0,103,51,61,255,104,0,223,0,58,157,64,124,0,0,101,71,0,0,69,120,0,0,140,0,0,264,0,0,5022,110,0,0,0,0,163,775,0,0,122,0,0,0,0,123,0,135,127,120
10065,r011,Chinese U. Hong Kong,0,0,0,0,0,0,0,0,0,396,0,0,65,0,0,0,0,150,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,54,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,63,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10065,r012,Chongqing U.,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10065,r013,City U. Hong Kong,0,0,0,0,0,0,0,0,0,104,65,0,0,0,0,0,0,82,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,65,0,0,106,58,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0
10065,r014,Dalian U. Technology,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10065,r015,Fudan U.,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10065,r016,Georgia Institute of Technology,0,0,0,0,0,0,58,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10065,r017,Harbin Engineering U.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
