table_id,row_id,source_of_funds_full_path,source_of_funds_level_1,source_of_funds_level_2,source_of_funds_level_3,source_of_funds_level_4,source_of_funds_hierarchy_depth,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019
6295,r001,Millions of dollars,Millions of dollars,,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
6295,r002,All business R&D,All business R&D,,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
6295,r003,All business R&D -> All business R&D<sup>a</sup>,All business R&D,All business R&D<sup>a</sup>,,,2,"['278,977', '&nbsp;']","['294,093', '&nbsp;']","['302,250', '&nbsp;']","['322,528', '&nbsp;']","['340,728', '&nbsp;']","['355,821', '&nbsp;']","['374,685', '&nbsp;']","['400,100', '&nbsp;']","['441,036', '&nbsp;']","['492,956', '&nbsp;']"
6295,r004,All business R&D -> All business R&D<sup>a</sup> -> Paid for by the company,All business R&D,All business R&D<sup>a</sup>,Paid for by the company,,3,"['221,706', '&nbsp;']","['238,768', '&nbsp;']","['247,280', '&nbsp;']","['264,913', '&nbsp;']","['282,570', '&nbsp;']","['296,677', '&nbsp;']","['317,731', '&nbsp;']","['339,036', '&nbsp;']","['377,806', '&nbsp;']","['428,968', '&nbsp;']"
6295,r005,All business R&D -> All business R&D<sup>a</sup> -> Paid for by others,All business R&D,All business R&D<sup>a</sup>,Paid for by others,,3,"['57,271', '&nbsp;']","['55,324', '&nbsp;']","['54,970', '&nbsp;']","['57,615', '&nbsp;']","['58,158', '&nbsp;']","['59,144', '&nbsp;']","['56,954', '&nbsp;']","['61,065', '&nbsp;']","['63,230', '&nbsp;']","['63,989', '&nbsp;']"
6295,r006,All business R&D -> All business R&D<sup>a</sup> -> Paid for by others -> Federal,All business R&D,All business R&D<sup>a</sup>,Paid for by others,Federal,4,"['34,199', 'i']","['31,309', 'i']","['30,621', 'i']","['29,362', '&nbsp;']","['26,554', 'i']","['26,990', '&nbsp;']","['23,772', '&nbsp;']","['24,277', 'i']","['24,685', '&nbsp;']","['21,941', '&nbsp;']"
6295,r007,All business R&D -> All business R&D<sup>a</sup> -> Paid for by others -> All others,All business R&D,All business R&D<sup>a</sup>,Paid for by others,All others,4,"['23,072', '&nbsp;']","['24,015', '&nbsp;']","['24,349', '&nbsp;']","['28,253', '&nbsp;']","['31,604', '&nbsp;']","['32,154', '&nbsp;']","['33,182', '&nbsp;']","['36,788', '&nbsp;']","['38,545', '&nbsp;']","['42,048', '&nbsp;']"
6295,r008,Basic research ,Basic research ,,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
6295,r009,Basic research  -> All business R&D<sup>a</sup>,Basic research ,All business R&D<sup>a</sup>,,,2,"['16,371', '&nbsp;']","['13,020', '&nbsp;']","['13,293', '&nbsp;']","['19,508', '&nbsp;']","['21,936', '&nbsp;']","['21,792', '&nbsp;']","['24,644', '&nbsp;']","['24,829', '&nbsp;']","['28,980', '&nbsp;']","['32,239', '&nbsp;']"
6295,r010,Basic research  -> All business R&D<sup>a</sup> -> Paid for by the company,Basic research ,All business R&D<sup>a</sup>,Paid for by the company,,3,"['13,453', '&nbsp;']","['10,735', '&nbsp;']","['11,163', '&nbsp;']","['15,275', '&nbsp;']","['16,107', '&nbsp;']","['16,306', '&nbsp;']","['19,143', '&nbsp;']","['18,732', '&nbsp;']","['22,312', '&nbsp;']","['25,916', '&nbsp;']"
6295,r011,Basic research  -> All business R&D<sup>a</sup> -> Paid for by others,Basic research ,All business R&D<sup>a</sup>,Paid for by others,,3,"['2,918', '&nbsp;']","['2,285', '&nbsp;']","['2,131', '&nbsp;']","['4,233', '&nbsp;']","['5,829', '&nbsp;']","['5,486', '&nbsp;']","['5,501', 'i']","['6,097', '&nbsp;']","['6,668', '&nbsp;']","['6,324', '&nbsp;']"
