table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_foreign_companies_subsidiariesa,field_foreign_companies_company_s_parent,field_foreign_companies_unaffiliated_companies,field_foreign_government_agencies,field_foreign_universities_colleges_and_academic_researchers,field_all_other
12300,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['53,933', '  ']","['30,161', '  ']","['21,005', '  ']","['2,599', '  ']","['104', '  ']","['10', '  ']","['52', '  ']"
12300,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['34,413', '  ']","['19,950', '  ']","['12,732', '  ']","['1,628', '  ']","['95', '  ']","['2', 'r ']","['6', '  ']"
12300,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['493', '  ']","['D', '  ']","['269', '  ']","['D', '&nbsp;']","['0', '  ']","['0', '  ']","['0', '  ']"
12300,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['106', 'i ']","['0', '  ']","['106', 'i ']","['*', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']"
12300,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['4', '  ']","['D', '  ']","['3', '  ']","['D', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
12300,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['28', 'r ']","['23', 'r ']","['5', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
12300,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['*', '  ']","['0', '  ']","['*', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
12300,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
12300,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['D', '  ']","['D', '  ']","['0', '  ']","['*', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
12300,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['12,340', '  ']","['3,390', '  ']","['8,176', '  ']","['770', '  ']","['0', '  ']","['*', 'i ']","['4', '  ']"
12300,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['172', '  ']","['37', '  ']","['124', '  ']","['11', '  ']","['0', '  ']","['*', '  ']","['0', '  ']"
