table_id,row_id,state_full_path,state_level_1,state_level_2,state_hierarchy_depth,field_all_companies_companies_number_,field_all_companies_amount_thousands_,field_1_4_employees_companies_number_,field_1_4_employees_amount_thousands_,field_5_9_employees_companies_number_,field_5_9_employees_amount_thousands_
12473,r001,All states,All states,,1,"['13,868', '&nbsp;']","['5,710,570', '&nbsp;']","['8,698', '&nbsp;']","['2,525,915', '&nbsp;']","['5,170', '&nbsp;']","['3,184,655', '&nbsp;']"
12473,r002,All states -> Alabama,All states,Alabama,2,"['174', '&nbsp;']","['51,198', '&nbsp;']","['144', '&nbsp;']","['28,358', '&nbsp;']","['30', '&nbsp;']","['22,839', '&nbsp;']"
12473,r003,All states -> Alaska,All states,Alaska,2,"['13', '&nbsp;']","['2,266', '&nbsp;']","['11', 'r']","['1,233', 'r']","['2', '&nbsp;']","['1,034', '&nbsp;']"
12473,r004,All states -> Arizona,All states,Arizona,2,"['264', '&nbsp;']","['73,342', '&nbsp;']","['186', '&nbsp;']","['36,746', '&nbsp;']","['78', '&nbsp;']","['36,596', '&nbsp;']"
12473,r005,All states -> Arkansas,All states,Arkansas,2,"['27', '&nbsp;']","['5,610', '&nbsp;']","['18', '&nbsp;']","['3,454', '&nbsp;']","['9', '&nbsp;']","['2,156', '&nbsp;']"
12473,r006,All states -> California,All states,California,2,"['3,674', '&nbsp;']","['1,820,632', '&nbsp;']","['2,384', '&nbsp;']","['793,968', '&nbsp;']","['1,290', '&nbsp;']","['1,026,664', '&nbsp;']"
12473,r007,All states -> Colorado,All states,Colorado,2,"['527', '&nbsp;']","['164,876', '&nbsp;']","['325', '&nbsp;']","['82,650', '&nbsp;']","['202', '&nbsp;']","['82,226', '&nbsp;']"
12473,r008,All states -> Connecticut,All states,Connecticut,2,"['215', '&nbsp;']","['89,133', '&nbsp;']","['107', '&nbsp;']","['20,917', '&nbsp;']","['108', '&nbsp;']","['68,217', '&nbsp;']"
12473,r009,All states -> Delaware,All states,Delaware,2,"['142', '&nbsp;']","['54,824', '&nbsp;']","['78', '&nbsp;']","['28,132', '&nbsp;']","['63', '&nbsp;']","['26,692', '&nbsp;']"
12473,r010,All states -> District of Columbia,All states,District of Columbia,2,"['40', '&nbsp;']","['11,896', '&nbsp;']","['33', '&nbsp;']","['9,558', '&nbsp;']","['8', '&nbsp;']","['2,338', '&nbsp;']"
12473,r011,All states -> Florida,All states,Florida,2,"['574', '&nbsp;']","['193,038', '&nbsp;']","['386', '&nbsp;']","['94,082', '&nbsp;']","['188', '&nbsp;']","['98,956', '&nbsp;']"
12473,r012,All states -> Georgia,All states,Georgia,2,"['309', '&nbsp;']","['91,533', '&nbsp;']","['195', '&nbsp;']","['39,534', '&nbsp;']","['114', '&nbsp;']","['51,999', '&nbsp;']"
12473,r013,All states -> Hawaii,All states,Hawaii,2,"['25', '&nbsp;']","['5,627', '&nbsp;']","['17', '&nbsp;']","['1,667', '&nbsp;']","['8', '&nbsp;']","['3,961', '&nbsp;']"
12473,r014,All states -> Idaho,All states,Idaho,2,"['49', '&nbsp;']","['12,073', '&nbsp;']","['24', '&nbsp;']","['7,939', '&nbsp;']","['25', '&nbsp;']","['4,134', '&nbsp;']"
12473,r015,All states -> Illinois,All states,Illinois,2,"['386', '&nbsp;']","['89,869', '&nbsp;']","['262', '&nbsp;']","['52,409', '&nbsp;']","['123', '&nbsp;']","['37,460', '&nbsp;']"
12473,r016,All states -> Indiana,All states,Indiana,2,"['128', '&nbsp;']","['31,235', '&nbsp;']","['84', '&nbsp;']","['12,163', '&nbsp;']","['45', '&nbsp;']","['19,072', '&nbsp;']"
12473,r017,All states -> Iowa,All states,Iowa,2,"['97', '&nbsp;']","['24,498', '&nbsp;']","['55', '&nbsp;']","['11,073', '&nbsp;']","['42', '&nbsp;']","['13,426', '&nbsp;']"
12473,r018,All states -> Kansas,All states,Kansas,2,"['88', '&nbsp;']","['42,745', '&nbsp;']","['44', '&nbsp;']","['6,793', '&nbsp;']","['44', '&nbsp;']","['35,952', '&nbsp;']"
12473,r019,All states -> Kentucky,All states,Kentucky,2,"['68', '&nbsp;']","['15,715', '&nbsp;']","['46', '&nbsp;']","['8,538', '&nbsp;']","['22', '&nbsp;']","['7,177', '&nbsp;']"
12473,r020,All states -> Louisiana,All states,Louisiana,2,"['43', 'r']","['10,000', '&nbsp;']","['19', '&nbsp;']","['7,077', '&nbsp;']","['25', 'r']","['2,923', '&nbsp;']"
12473,r021,All states -> Maine,All states,Maine,2,"['28', '&nbsp;']","['5,582', '&nbsp;']","['16', '&nbsp;']","['2,282', 'r']","['12', '&nbsp;']","['3,299', '&nbsp;']"
12473,r022,All states -> Maryland,All states,Maryland,2,"['339', '&nbsp;']","['136,339', '&nbsp;']","['243', '&nbsp;']","['59,105', '&nbsp;']","['96', '&nbsp;']","['77,233', '&nbsp;']"
12473,r023,All states -> Massachusetts,All states,Massachusetts,2,"['675', '&nbsp;']","['426,081', '&nbsp;']","['408', '&nbsp;']","['193,206', '&nbsp;']","['266', '&nbsp;']","['232,875', '&nbsp;']"
12473,r024,All states -> Michigan,All states,Michigan,2,"['299', '&nbsp;']","['111,092', '&nbsp;']","['192', '&nbsp;']","['49,118', '&nbsp;']","['107', '&nbsp;']","['61,974', '&nbsp;']"
12473,r025,All states -> Minnesota,All states,Minnesota,2,"['200', '&nbsp;']","['68,927', '&nbsp;']","['101', '&nbsp;']","['26,151', '&nbsp;']","['100', '&nbsp;']","['42,776', '&nbsp;']"
12473,r026,All states -> Mississippi,All states,Mississippi,2,"['26', '&nbsp;']","['7,800', '&nbsp;']","['10', 'r']","['1,299', '&nbsp;']","['16', 'r']","['6,501', 'r']"
12473,r027,All states -> Missouri,All states,Missouri,2,"['109', '&nbsp;']","['42,205', '&nbsp;']","['67', '&nbsp;']","['16,477', '&nbsp;']","['42', '&nbsp;']","['25,727', '&nbsp;']"
12473,r028,All states -> Montana,All states,Montana,2,"['26', '&nbsp;']","['7,154', '&nbsp;']","['17', '&nbsp;']","['3,673', '&nbsp;']","['9', '&nbsp;']","['3,481', '&nbsp;']"
12473,r029,All states -> Nebraska,All states,Nebraska,2,"['50', '&nbsp;']","['11,981', '&nbsp;']","['31', '&nbsp;']","['6,918', '&nbsp;']","['20', '&nbsp;']","['5,064', '&nbsp;']"
12473,r030,All states -> Nevada,All states,Nevada,2,"['171', '&nbsp;']","['40,849', '&nbsp;']","['128', '&nbsp;']","['24,652', '&nbsp;']","['43', 'r']","['16,197', '&nbsp;']"
12473,r031,All states -> New Hampshire,All states,New Hampshire,2,"['155', '&nbsp;']","['69,041', '&nbsp;']","['76', 'r']","['30,741', 'r']","['79', '&nbsp;']","['38,300', '&nbsp;']"
12473,r032,All states -> New Jersey,All states,New Jersey,2,"['403', '&nbsp;']","['133,129', '&nbsp;']","['250', '&nbsp;']","['44,725', '&nbsp;']","['153', '&nbsp;']","['88,405', '&nbsp;']"
12473,r033,All states -> New Mexico,All states,New Mexico,2,"['70', '&nbsp;']","['31,797', '&nbsp;']","['41', '&nbsp;']","['13,667', '&nbsp;']","['30', '&nbsp;']","['18,130', '&nbsp;']"
12473,r034,All states -> New York,All states,New York,2,"['660', '&nbsp;']","['249,247', '&nbsp;']","['402', '&nbsp;']","['135,022', '&nbsp;']","['258', '&nbsp;']","['114,225', '&nbsp;']"
12473,r035,All states -> North Carolina,All states,North Carolina,2,"['421', '&nbsp;']","['175,418', '&nbsp;']","['309', '&nbsp;']","['111,558', '&nbsp;']","['113', '&nbsp;']","['63,859', '&nbsp;']"
12473,r036,All states -> North Dakota,All states,North Dakota,2,"['7', '&nbsp;']","['2,317', '&nbsp;']","['2', 'r']","['544', '&nbsp;']","['5', '&nbsp;']","['1,774', '&nbsp;']"
12473,r037,All states -> Ohio,All states,Ohio,2,"['314', '&nbsp;']","['112,155', '&nbsp;']","['244', '&nbsp;']","['54,124', '&nbsp;']","['71', '&nbsp;']","['58,030', '&nbsp;']"
12473,r038,All states -> Oklahoma,All states,Oklahoma,2,"['36', '&nbsp;']","['12,267', '&nbsp;']","['30', '&nbsp;']","['7,376', '&nbsp;']","['7', '&nbsp;']","['4,891', '&nbsp;']"
12473,r039,All states -> Oregon,All states,Oregon,2,"['245', '&nbsp;']","['94,917', '&nbsp;']","['135', '&nbsp;']","['42,062', '&nbsp;']","['110', '&nbsp;']","['52,855', '&nbsp;']"
12473,r040,All states -> Pennsylvania,All states,Pennsylvania,2,"['447', '&nbsp;']","['320,652', '&nbsp;']","['247', '&nbsp;']","['116,848', '&nbsp;']","['200', '&nbsp;']","['203,804', '&nbsp;']"
12473,r041,All states -> Rhode Island,All states,Rhode Island,2,"['33', '&nbsp;']","['12,207', '&nbsp;']","['18', 'r']","['2,783', '&nbsp;']","['15', '&nbsp;']","['9,424', 'r']"
12473,r042,All states -> South Carolina,All states,South Carolina,2,"['66', '&nbsp;']","['54,636', 'r']","['42', '&nbsp;']","['7,287', '&nbsp;']","['24', '&nbsp;']","['47,349', 'r']"
12473,r043,All states -> South Dakota,All states,South Dakota,2,"['37', 'r']","['10,374', 'r']","['35', 'r']","['8,611', 'r']","['1', 'r']","['1,763', '&nbsp;']"
12473,r044,All states -> Tennessee,All states,Tennessee,2,"['107', '&nbsp;']","['29,129', '&nbsp;']","['53', '&nbsp;']","['15,188', '&nbsp;']","['54', '&nbsp;']","['13,941', '&nbsp;']"
12473,r045,All states -> Texas,All states,Texas,2,"['689', '&nbsp;']","['257,925', '&nbsp;']","['406', '&nbsp;']","['108,715', '&nbsp;']","['283', '&nbsp;']","['149,210', '&nbsp;']"
12473,r046,All states -> Utah,All states,Utah,2,"['142', '&nbsp;']","['48,445', '&nbsp;']","['105', '&nbsp;']","['23,107', '&nbsp;']","['37', '&nbsp;']","['25,337', '&nbsp;']"
12473,r047,All states -> Vermont,All states,Vermont,2,"['9', '&nbsp;']","['2,292', '&nbsp;']","['6', '&nbsp;']","['652', '&nbsp;']","['3', '&nbsp;']","['1,640', '&nbsp;']"
12473,r048,All states -> Virginia,All states,Virginia,2,"['466', '&nbsp;']","['155,932', '&nbsp;']","['263', '&nbsp;']","['52,881', '&nbsp;']","['203', '&nbsp;']","['103,051', '&nbsp;']"
12473,r049,All states -> Washington,All states,Washington,2,"['590', '&nbsp;']","['218,824', '&nbsp;']","['339', '&nbsp;']","['103,199', '&nbsp;']","['250', '&nbsp;']","['115,624', '&nbsp;']"
12473,r050,All states -> West Virginia,All states,West Virginia,2,"['8', '&nbsp;']","['1,531', '&nbsp;']","['8', '&nbsp;']","['1,531', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
12473,r051,All states -> Wisconsin,All states,Wisconsin,2,"['136', '&nbsp;']","['51,428', '&nbsp;']","['44', '&nbsp;']","['12,931', '&nbsp;']","['91', '&nbsp;']","['38,497', '&nbsp;']"
12473,r052,All states -> Wyoming,All states,Wyoming,2,"['26', 'r']","['3,363', '&nbsp;']","['6', '&nbsp;']","['397', '&nbsp;']","['20', 'r']","['2,966', 'r']"
12473,r053,All states -> Undistributed,All states,Undistributed,2,"['34', '&nbsp;']","['15,423', '&nbsp;']","['6', '&nbsp;']","['2,794', '&nbsp;']","['28', '&nbsp;']","['12,629', '&nbsp;']"
