table_id,row_id,_b_state_or_location_b_full_path,_b_state_or_location_b_level_1,_b_state_or_location_b_level_2,_b_state_or_location_b_level_3,_b_state_or_location_b_hierarchy_depth,field_total,field_r_d,field_r_d_plant
10285,r001,All locations,All locations,,,1,193680669,189398467,4282202
10285,r002,All locations -> Alabama,All locations,Alabama,,2,3974078,3966904,7174
10285,r003,All locations -> Alaska,All locations,Alaska,,2,331271,322626,8646
10285,r004,All locations -> Arizona,All locations,Arizona,,2,1674777,1663321,11455
10285,r005,All locations -> Arkansas,All locations,Arkansas,,2,302966,300252,2714
10285,r006,All locations -> California,All locations,California,,2,23274515,22618185,656330
10285,r007,All locations -> Colorado,All locations,Colorado,,2,6367010,6229985,137025
10285,r008,All locations -> Connecticut,All locations,Connecticut,,2,2617235,2597155,20080
10285,r009,All locations -> Delaware,All locations,Delaware,,2,307925,306913,1012
10285,r010,All locations -> District of Columbia,All locations,District of Columbia,,2,39172915,39038621,134294
10285,r011,All locations -> Florida,All locations,Florida,,2,4168258,4094695,73563
10285,r012,All locations -> Georgia,All locations,Georgia,,2,1676384,1653954,22429
10285,r013,All locations -> Hawaii,All locations,Hawaii,,2,491852,485890,5963
10285,r014,All locations -> Idaho,All locations,Idaho,,2,994022,672104,321918
10285,r015,All locations -> Illinois,All locations,Illinois,,2,4065555,3532719,532836
10285,r016,All locations -> Indiana,All locations,Indiana,,2,1083239,1080842,2396
10285,r017,All locations -> Iowa,All locations,Iowa,,2,690803,686259,4544
10285,r018,All locations -> Kansas,All locations,Kansas,,2,426576,413888,12688
10285,r019,All locations -> Kentucky,All locations,Kentucky,,2,548279,542299,5981
10285,r020,All locations -> Louisiana,All locations,Louisiana,,2,486649,456813,29836
10285,r021,All locations -> Maine,All locations,Maine,,2,248866,248866,0
10285,r022,All locations -> Maryland,All locations,Maryland,,2,17990305,17564594,425711
10285,r023,All locations -> Massachusetts,All locations,Massachusetts,,2,9518485,9496432,22053
10285,r024,All locations -> Michigan,All locations,Michigan,,2,2085310,2070494,14816
10285,r025,All locations -> Minnesota,All locations,Minnesota,,2,1146666,1144953,1713
10285,r026,All locations -> Mississippi,All locations,Mississippi,,2,466765,454921,11844
10285,r027,All locations -> Missouri,All locations,Missouri,,2,2069981,2058775,11205
10285,r028,All locations -> Montana,All locations,Montana,,2,287513,287208,305
10285,r029,All locations -> Nebraska,All locations,Nebraska,,2,304894,302638,2255
10285,r030,All locations -> Nevada,All locations,Nevada,,2,746981,551831,195150
10285,r031,All locations -> New Hampshire,All locations,New Hampshire,,2,530068,522631,7437
10285,r032,All locations -> New Jersey,All locations,New Jersey,,2,3603135,3398171,204964
10285,r033,All locations -> New Mexico,All locations,New Mexico,,2,4083574,3881144,202430
10285,r034,All locations -> New York,All locations,New York,,2,6988333,6830934,157399
10285,r035,All locations -> North Carolina,All locations,North Carolina,,2,3639482,3620371,19111
10285,r036,All locations -> North Dakota,All locations,North Dakota,,2,171189,168097,3092
10285,r037,All locations -> Ohio,All locations,Ohio,,2,3923225,3856489,66737
10285,r038,All locations -> Oklahoma,All locations,Oklahoma,,2,1518229,1505105,13124
10285,r039,All locations -> Oregon,All locations,Oregon,,2,1097142,1069952,27190
10285,r040,All locations -> Pennsylvania,All locations,Pennsylvania,,2,4569401,4544785,24616
10285,r041,All locations -> Rhode Island,All locations,Rhode Island,,2,882904,866046,16858
10285,r042,All locations -> South Carolina,All locations,South Carolina,,2,1449437,1434459,14978
10285,r043,All locations -> South Dakota,All locations,South Dakota,,2,139030,132148,6883
10285,r044,All locations -> Tennessee,All locations,Tennessee,,2,4134316,3461773,672544
10285,r045,All locations -> Texas,All locations,Texas,,2,6197068,6131234,65834
10285,r046,All locations -> Utah,All locations,Utah,,2,2440493,2439690,802
10285,r047,All locations -> Vermont,All locations,Vermont,,2,245219,244489,730
10285,r048,All locations -> Virginia,All locations,Virginia,,2,9797653,9740743,56910
10285,r049,All locations -> Washington,All locations,Washington,,2,3771889,3735831,36058
10285,r050,All locations -> West Virginia,All locations,West Virginia,,2,200795,199238,1557
10285,r051,All locations -> Wisconsin,All locations,Wisconsin,,2,991547,989462,2085
10285,r052,All locations -> Wyoming,All locations,Wyoming,,2,196837,196837,0
10285,r053,All locations -> Outlying areas,All locations,Outlying areas,,2,233908,228980,4927
10285,r054,All locations -> Outlying areas -> Puerto Rico,All locations,Outlying areas,Puerto Rico,3,120462,120136,325
10285,r055,All locations -> Outlying areas -> Other areas<sup>a</sup>,All locations,Outlying areas,Other areas<sup>a</sup>,3,113446,108844,4602
10285,r056,All locations -> Offices abroad<sup>b</sup>,All locations,Offices abroad<sup>b</sup>,,2,179044,179044,0
10285,r057,All locations -> Undistributed<sup>c</sup>,All locations,Undistributed<sup>c</sup>,,2,5176678,5176678,0
