table_id,row_id,race_or_ethnicity_and_institution_full_path,race_or_ethnicity_and_institution_level_1,race_or_ethnicity_and_institution_level_2,race_or_ethnicity_and_institution_level_3,race_or_ethnicity_and_institution_level_4,race_or_ethnicity_and_institution_level_5,race_or_ethnicity_and_institution_hierarchy_depth,field_bachelor_s_degrees,field_high_hispanic_enrollment_institution,field_tribal_college_or_university,field_historically_black_college_or_university
3436,r001,Hispanic or Latino<sup>a</sup>,Hispanic or Latino<sup>a</sup>,,,,,1,,,,
3436,r002,Hispanic or Latino<sup>a</sup> -> All institutions,Hispanic or Latino<sup>a</sup>,All institutions,,,,2,99892,-,-,-
3436,r003,Hispanic or Latino<sup>a</sup> -> All institutions -> Top 20 institutions,Hispanic or Latino<sup>a</sup>,All institutions,Top 20 institutions,,,3,24095,-,-,-
3436,r004,Hispanic or Latino<sup>a</sup> -> All institutions -> Top 20 institutions -> Florida International U.,Hispanic or Latino<sup>a</sup>,All institutions,Top 20 institutions,Florida International U.,,4,2905,Yes,No,No
3436,r005,Hispanic or Latino<sup>a</sup> -> All institutions -> Top 20 institutions -> California State U.-Northridge,Hispanic or Latino<sup>a</sup>,All institutions,Top 20 institutions,California State U.-Northridge,,4,1382,Yes,No,No
3436,r006,Hispanic or Latino<sup>a</sup> -> All institutions -> Top 20 institutions -> Texas A &amp; M U.-College Station,Hispanic or Latino<sup>a</sup>,All institutions,Top 20 institutions,Texas A &amp; M U.-College Station,,4,1332,No,No,No
3436,r007,Hispanic or Latino<sup>a</sup> -> All institutions -> Top 20 institutions -> The U. Texas Rio Grande Valley,Hispanic or Latino<sup>a</sup>,All institutions,Top 20 institutions,The U. Texas Rio Grande Valley,,4,1291,Yes,No,No
3436,r008,Hispanic or Latino<sup>a</sup> -> All institutions -> Top 20 institutions -> U. California-Los Angeles,Hispanic or Latino<sup>a</sup>,All institutions,Top 20 institutions,U. California-Los Angeles,,4,1276,No,No,No
3436,r009,Hispanic or Latino<sup>a</sup> -> All institutions -> Top 20 institutions -> California State U.-Fullerton,Hispanic or Latino<sup>a</sup>,All institutions,Top 20 institutions,California State U.-Fullerton,,4,1261,Yes,No,No
3436,r010,Hispanic or Latino<sup>a</sup> -> All institutions -> Top 20 institutions -> U. California-Irvine,Hispanic or Latino<sup>a</sup>,All institutions,Top 20 institutions,U. California-Irvine,,4,1229,Yes,No,No
3436,r011,Hispanic or Latino<sup>a</sup> -> All institutions -> Top 20 institutions -> California State U.-Long Beach,Hispanic or Latino<sup>a</sup>,All institutions,Top 20 institutions,California State U.-Long Beach,,4,1163,Yes,No,No
3436,r012,Hispanic or Latino<sup>a</sup> -> All institutions -> Top 20 institutions -> U. Central Florida,Hispanic or Latino<sup>a</sup>,All institutions,Top 20 institutions,U. Central Florida,,4,1070,Yes,No,No
3436,r013,Hispanic or Latino<sup>a</sup> -> All institutions -> Top 20 institutions -> U. California-Santa Barbara,Hispanic or Latino<sup>a</sup>,All institutions,Top 20 institutions,U. California-Santa Barbara,,4,1069,Yes,No,No
3436,r014,Hispanic or Latino<sup>a</sup> -> All institutions -> Top 20 institutions -> U. Florida,Hispanic or Latino<sup>a</sup>,All institutions,Top 20 institutions,U. Florida,,4,1068,No,No,No
3436,r015,Hispanic or Latino<sup>a</sup> -> All institutions -> Top 20 institutions -> U. Puerto Rico-Mayaguez,Hispanic or Latino<sup>a</sup>,All institutions,Top 20 institutions,U. Puerto Rico-Mayaguez,,4,1065,Yes,No,No
3436,r016,Hispanic or Latino<sup>a</sup> -> All institutions -> Top 20 institutions -> U. California-Riverside,Hispanic or Latino<sup>a</sup>,All institutions,Top 20 institutions,U. California-Riverside,,4,1046,Yes,No,No
3436,r017,Hispanic or Latino<sup>a</sup> -> All institutions -> Top 20 institutions -> California State U.-Los Angeles,Hispanic or Latino<sup>a</sup>,All institutions,Top 20 institutions,California State U.-Los Angeles,,4,1042,Yes,No,No
3436,r018,Hispanic or Latino<sup>a</sup> -> All institutions -> Top 20 institutions -> U. California-Davis,Hispanic or Latino<sup>a</sup>,All institutions,Top 20 institutions,U. California-Davis,,4,1024,No,No,No
3436,r019,Hispanic or Latino<sup>a</sup> -> All institutions -> Top 20 institutions -> U. Texas at Austin,Hispanic or Latino<sup>a</sup>,All institutions,Top 20 institutions,U. Texas at Austin,,4,1006,No,No,No
3436,r020,Hispanic or Latino<sup>a</sup> -> All institutions -> Top 20 institutions -> San Diego State U.,Hispanic or Latino<sup>a</sup>,All institutions,Top 20 institutions,San Diego State U.,,4,1004,Yes,No,No
3436,r021,Hispanic or Latino<sup>a</sup> -> All institutions -> Top 20 institutions -> U. Texas at El Paso,Hispanic or Latino<sup>a</sup>,All institutions,Top 20 institutions,U. Texas at El Paso,,4,983,Yes,No,No
3436,r022,Hispanic or Latino<sup>a</sup> -> All institutions -> Top 20 institutions -> U. Texas at San Antonio,Hispanic or Latino<sup>a</sup>,All institutions,Top 20 institutions,U. Texas at San Antonio,,4,979,Yes,No,No
3436,r023,Hispanic or Latino<sup>a</sup> -> All institutions -> Top 20 institutions -> California State U.-San Bernardino,Hispanic or Latino<sup>a</sup>,All institutions,Top 20 institutions,California State U.-San Bernardino,,4,900,Yes,No,No
3436,r024,Hispanic or Latino<sup>a</sup> -> All institutions -> Other institutions,Hispanic or Latino<sup>a</sup>,All institutions,Other institutions,,,3,75797,-,-,-
3436,r025,Not Hispanic or Latino,Not Hispanic or Latino,,,,,1,,,,
3436,r026,Not Hispanic or Latino -> American Indian or Alaska Native,Not Hispanic or Latino,American Indian or Alaska Native,,,,2,,,,
3436,r027,Not Hispanic or Latino -> American Indian or Alaska Native -> All institutions,Not Hispanic or Latino,American Indian or Alaska Native,All institutions,,,3,2844,-,-,-
3436,r028,Not Hispanic or Latino -> American Indian or Alaska Native -> All institutions -> Top 20 institutions,Not Hispanic or Latino,American Indian or Alaska Native,All institutions,Top 20 institutions,,4,781,-,-,-
3436,r029,Not Hispanic or Latino -> American Indian or Alaska Native -> All institutions -> Top 20 institutions -> U. New Mexico-Main Campus,Not Hispanic or Latino,American Indian or Alaska Native,All institutions,Top 20 institutions,U. New Mexico-Main Campus,5,74,Yes,No,No
3436,r030,Not Hispanic or Latino -> American Indian or Alaska Native -> All institutions -> Top 20 institutions -> Oklahoma State U.-Main Campus,Not Hispanic or Latino,American Indian or Alaska Native,All institutions,Top 20 institutions,Oklahoma State U.-Main Campus,5,73,No,No,No
3436,r031,Not Hispanic or Latino -> American Indian or Alaska Native -> All institutions -> Top 20 institutions -> U. North Carolina at Pembroke,Not Hispanic or Latino,American Indian or Alaska Native,All institutions,Top 20 institutions,U. North Carolina at Pembroke,5,67,No,No,No
3436,r032,Not Hispanic or Latino -> American Indian or Alaska Native -> All institutions -> Top 20 institutions -> U. Oklahoma-Norman Campus,Not Hispanic or Latino,American Indian or Alaska Native,All institutions,Top 20 institutions,U. Oklahoma-Norman Campus,5,60,No,No,No
3436,r033,Not Hispanic or Latino -> American Indian or Alaska Native -> All institutions -> Top 20 institutions -> Fort Lewis C.<br>,Not Hispanic or Latino,American Indian or Alaska Native,All institutions,Top 20 institutions,Fort Lewis C.<br>,5,55,No,No,No
3436,r034,Not Hispanic or Latino -> American Indian or Alaska Native -> All institutions -> Top 20 institutions -> Northern Arizona U.,Not Hispanic or Latino,American Indian or Alaska Native,All institutions,Top 20 institutions,Northern Arizona U.,5,52,No,No,No
3436,r035,Not Hispanic or Latino -> American Indian or Alaska Native -> All institutions -> Top 20 institutions -> Haskell Indian Nations U.,Not Hispanic or Latino,American Indian or Alaska Native,All institutions,Top 20 institutions,Haskell Indian Nations U.,5,50,No,Yes,No
3436,r036,Not Hispanic or Latino -> American Indian or Alaska Native -> All institutions -> Top 20 institutions -> U. Arizona,Not Hispanic or Latino,American Indian or Alaska Native,All institutions,Top 20 institutions,U. Arizona,5,39,Yes,No,No
3436,r037,Not Hispanic or Latino -> American Indian or Alaska Native -> All institutions -> Top 20 institutions -> Northeastern State U.,Not Hispanic or Latino,American Indian or Alaska Native,All institutions,Top 20 institutions,Northeastern State U.,5,38,No,No,No
3436,r038,Not Hispanic or Latino -> American Indian or Alaska Native -> All institutions -> Top 20 institutions -> Arizona State U.-Tempe,Not Hispanic or Latino,American Indian or Alaska Native,All institutions,Top 20 institutions,Arizona State U.-Tempe,5,34,No,No,No
3436,r039,Not Hispanic or Latino -> American Indian or Alaska Native -> All institutions -> Top 20 institutions -> East Central U.,Not Hispanic or Latino,American Indian or Alaska Native,All institutions,Top 20 institutions,East Central U.,5,31,No,No,No
3436,r040,Not Hispanic or Latino -> American Indian or Alaska Native -> All institutions -> Top 20 institutions -> U. Phoenix-Arizona,Not Hispanic or Latino,American Indian or Alaska Native,All institutions,Top 20 institutions,U. Phoenix-Arizona,5,29,No,No,No
3436,r041,Not Hispanic or Latino -> American Indian or Alaska Native -> All institutions -> Top 20 institutions -> Oglala Lakota C.,Not Hispanic or Latino,American Indian or Alaska Native,All institutions,Top 20 institutions,Oglala Lakota C.,5,28,No,Yes,No
3436,r042,Not Hispanic or Latino -> American Indian or Alaska Native -> All institutions -> Top 20 institutions -> New Mexico State U.-Main Campus,Not Hispanic or Latino,American Indian or Alaska Native,All institutions,Top 20 institutions,New Mexico State U.-Main Campus,5,24,Yes,No,No
3436,r043,Not Hispanic or Latino -> American Indian or Alaska Native -> All institutions -> Top 20 institutions -> Northwest Indian C.,Not Hispanic or Latino,American Indian or Alaska Native,All institutions,Top 20 institutions,Northwest Indian C.,5,23,No,Yes,No
3436,r044,Not Hispanic or Latino -> American Indian or Alaska Native -> All institutions -> Top 20 institutions -> Portland State U.,Not Hispanic or Latino,American Indian or Alaska Native,All institutions,Top 20 institutions,Portland State U.,5,23,No,No,No
3436,r045,Not Hispanic or Latino -> American Indian or Alaska Native -> All institutions -> Top 20 institutions -> Southeastern Oklahoma State U.,Not Hispanic or Latino,American Indian or Alaska Native,All institutions,Top 20 institutions,Southeastern Oklahoma State U.,5,22,No,No,No
3436,r046,Not Hispanic or Latino -> American Indian or Alaska Native -> All institutions -> Top 20 institutions -> Navajo Technical U.,Not Hispanic or Latino,American Indian or Alaska Native,All institutions,Top 20 institutions,Navajo Technical U.,5,21,No,Yes,No
3436,r047,Not Hispanic or Latino -> American Indian or Alaska Native -> All institutions -> Top 20 institutions -> Dartmouth C.,Not Hispanic or Latino,American Indian or Alaska Native,All institutions,Top 20 institutions,Dartmouth C.,5,19,No,No,No
3436,r048,Not Hispanic or Latino -> American Indian or Alaska Native -> All institutions -> Top 20 institutions -> U. Central Oklahoma,Not Hispanic or Latino,American Indian or Alaska Native,All institutions,Top 20 institutions,U. Central Oklahoma,5,19,No,No,No
3436,r049,Not Hispanic or Latino -> American Indian or Alaska Native -> All institutions -> Other institutions,Not Hispanic or Latino,American Indian or Alaska Native,All institutions,Other institutions,,4,2063,-,-,-
3436,r050,Not Hispanic or Latino -> Asian,Not Hispanic or Latino,Asian,,,,2,,,,
3436,r051,Not Hispanic or Latino -> Asian -> All institutions,Not Hispanic or Latino,Asian,All institutions,,,3,70455,-,-,-
3436,r052,Not Hispanic or Latino -> Asian -> All institutions -> Top 20 institutions,Not Hispanic or Latino,Asian,All institutions,Top 20 institutions,,4,23256,-,-,-
3436,r053,Not Hispanic or Latino -> Asian -> All institutions -> Top 20 institutions -> U. California-San Diego,Not Hispanic or Latino,Asian,All institutions,Top 20 institutions,U. California-San Diego,5,2157,No,No,No
3436,r054,Not Hispanic or Latino -> Asian -> All institutions -> Top 20 institutions -> U. California-Los Angeles,Not Hispanic or Latino,Asian,All institutions,Top 20 institutions,U. California-Los Angeles,5,2069,No,No,No
3436,r055,Not Hispanic or Latino -> Asian -> All institutions -> Top 20 institutions -> U. California-Berkeley,Not Hispanic or Latino,Asian,All institutions,Top 20 institutions,U. California-Berkeley,5,1939,No,No,No
3436,r056,Not Hispanic or Latino -> Asian -> All institutions -> Top 20 institutions -> U. California-Davis,Not Hispanic or Latino,Asian,All institutions,Top 20 institutions,U. California-Davis,5,1883,No,No,No
3436,r057,Not Hispanic or Latino -> Asian -> All institutions -> Top 20 institutions -> U. California-Irvine,Not Hispanic or Latino,Asian,All institutions,Top 20 institutions,U. California-Irvine,5,1776,Yes,No,No
3436,r058,Not Hispanic or Latino -> Asian -> All institutions -> Top 20 institutions -> U. Texas at Austin,Not Hispanic or Latino,Asian,All institutions,Top 20 institutions,U. Texas at Austin,5,1295,No,No,No
