table_id,row_id,occupation_and_disability_status_160_160_160_160_160_160_160_160_160_160_160_160_160_full_path,occupation_and_disability_status_160_160_160_160_160_160_160_160_160_160_160_160_160_level_1,occupation_and_disability_status_160_160_160_160_160_160_160_160_160_160_160_160_160_level_2,occupation_and_disability_status_160_160_160_160_160_160_160_160_160_160_160_160_160_level_3,occupation_and_disability_status_160_160_160_160_160_160_160_160_160_160_160_160_160_level_4,occupation_and_disability_status_160_160_160_160_160_160_160_160_160_160_160_160_160_level_5,occupation_and_disability_status_160_160_160_160_160_160_160_160_160_160_160_160_160_hierarchy_depth,field_total,field_professor,field_associate_professor,field_assistant_professor,field_other_faculty,field_rank_not_applicable
3321,r001,All occupations,All occupations,,,,,1,344350,113200,76200,68900,23450,62600
3321,r002,All occupations -> Without disability,All occupations,Without disability,,,,2,313050,101700,68950,63700,21300,57450
3321,r003,All occupations -> With disability,All occupations,With disability,,,,2,31300,11550,7250,5200,2150,5200
3321,r004,All occupations -> S&E occupations<sup>a</sup>,All occupations,S&E occupations<sup>a</sup>,,,,2,266300,86950,59550,55200,19050,45550
3321,r005,All occupations -> S&E occupations<sup>a</sup> -> Without disability,All occupations,S&E occupations<sup>a</sup>,Without disability,,,3,241800,77750,54150,50900,17300,41750
3321,r006,All occupations -> S&E occupations<sup>a</sup> -> With disability,All occupations,S&E occupations<sup>a</sup>,With disability,,,3,24450,9200,5400,4300,1800,3800
3321,r007,All occupations -> S&E occupations<sup>a</sup> -> Science occupations,All occupations,S&E occupations<sup>a</sup>,Science occupations,,,3,230400,73200,51550,47350,16950,41300
3321,r008,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Without disability,All occupations,S&E occupations<sup>a</sup>,Science occupations,Without disability,,4,209300,65500,47000,43750,15400,37650
3321,r009,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> With disability,All occupations,S&E occupations<sup>a</sup>,Science occupations,With disability,,4,21100,7750,4550,3600,1550,3650
3321,r010,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Biological/ agricultural/ other life scientist,All occupations,S&E occupations<sup>a</sup>,Science occupations,Biological/ agricultural/ other life scientist,,4,76650,19850,13900,14800,4900,23300
3321,r011,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Biological/ agricultural/ other life scientist -> Without disability,All occupations,S&E occupations<sup>a</sup>,Science occupations,Biological/ agricultural/ other life scientist,Without disability,5,69850,17750,12700,13550,4550,21300
3321,r012,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Biological/ agricultural/ other life scientist -> With disability,All occupations,S&E occupations<sup>a</sup>,Science occupations,Biological/ agricultural/ other life scientist,With disability,5,6800,2100,1200,1200,350,1950
3321,r013,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Computer/ information scientist,All occupations,S&E occupations<sup>a</sup>,Science occupations,Computer/ information scientist,,4,14050,4200,2900,3500,750,2750
3321,r014,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Computer/ information scientist -> Without disability,All occupations,S&E occupations<sup>a</sup>,Science occupations,Computer/ information scientist,Without disability,5,12700,3750,2600,3200,650,2450
3321,r015,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Computer/ information scientist -> With disability,All occupations,S&E occupations<sup>a</sup>,Science occupations,Computer/ information scientist,With disability,5,1350,450,300,300,S,300
3321,r016,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Mathematical scientist,All occupations,S&E occupations<sup>a</sup>,Science occupations,Mathematical scientist,,4,21600,7950,5550,4400,2000,1700
3321,r017,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Mathematical scientist -> Without disability,All occupations,S&E occupations<sup>a</sup>,Science occupations,Mathematical scientist,Without disability,5,19850,7300,5050,4100,1850,1500
3321,r018,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Mathematical scientist -> With disability,All occupations,S&E occupations<sup>a</sup>,Science occupations,Mathematical scientist,With disability,5,1750,650,500,300,150,150
3321,r019,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Physical scientist,All occupations,S&E occupations<sup>a</sup>,Science occupations,Physical scientist,,4,42000,14350,8500,8200,3700,7250
3321,r020,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Physical scientist -> Without disability,All occupations,S&E occupations<sup>a</sup>,Science occupations,Physical scientist,Without disability,5,38500,13150,7850,7650,3300,6550
3321,r021,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Physical scientist -> With disability,All occupations,S&E occupations<sup>a</sup>,Science occupations,Physical scientist,With disability,5,3500,1200,650,600,350,650
3321,r022,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Psychologist,All occupations,S&E occupations<sup>a</sup>,Science occupations,Psychologist,,4,25900,8550,6150,5900,1950,3350
3321,r023,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Psychologist -> Without disability,All occupations,S&E occupations<sup>a</sup>,Science occupations,Psychologist,Without disability,5,23550,7450,5800,5400,1800,3100
3321,r024,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Psychologist -> With disability,All occupations,S&E occupations<sup>a</sup>,Science occupations,Psychologist,With disability,5,2350,1050,350,550,150,250
3321,r025,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Social scientist,All occupations,S&E occupations<sup>a</sup>,Science occupations,Social scientist,,4,50200,18350,14600,10550,3700,3000
3321,r026,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Social scientist -> Without disability,All occupations,S&E occupations<sup>a</sup>,Science occupations,Social scientist,Without disability,5,44850,16050,13000,9850,3250,2650
3321,r027,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Social scientist -> With disability,All occupations,S&E occupations<sup>a</sup>,Science occupations,Social scientist,With disability,5,5300,2250,1600,700,400,350
3321,r028,All occupations -> S&E occupations<sup>a</sup> -> Engineering occupations,All occupations,S&E occupations<sup>a</sup>,Engineering occupations,,,3,35900,13700,7950,7850,2100,4250
3321,r029,All occupations -> S&E occupations<sup>a</sup> -> Engineering occupations -> Without disability,All occupations,S&E occupations<sup>a</sup>,Engineering occupations,Without disability,,4,32500,12250,7100,7150,1850,4150
3321,r030,All occupations -> S&E occupations<sup>a</sup> -> Engineering occupations -> With disability,All occupations,S&E occupations<sup>a</sup>,Engineering occupations,With disability,,4,3400,1450,850,700,250,150
3321,r031,All occupations -> S&E-related occupations<sup>b</sup>,All occupations,S&E-related occupations<sup>b</sup>,,,,2,35800,9650,9100,9000,1450,6600
3321,r032,All occupations -> S&E-related occupations<sup>b</sup> -> Without disability,All occupations,S&E-related occupations<sup>b</sup>,Without disability,,,3,32600,8550,8200,8400,1350,6100
3321,r033,All occupations -> S&E-related occupations<sup>b</sup> -> With disability,All occupations,S&E-related occupations<sup>b</sup>,With disability,,,3,3200,1150,900,550,100,500
3321,r034,All occupations -> Non-S&E occupations<sup>c</sup>,All occupations,Non-S&E occupations<sup>c</sup>,,,,2,42300,16600,7550,4750,2950,10450
3321,r035,All occupations -> Non-S&E occupations<sup>c</sup> -> Without disability,All occupations,Non-S&E occupations<sup>c</sup>,Without disability,,,3,38650,15400,6600,4450,2650,9550
3321,r036,All occupations -> Non-S&E occupations<sup>c</sup> -> With disability,All occupations,Non-S&E occupations<sup>c</sup>,With disability,,,3,3650,1200,950,300,250,900
