table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_level_5,_b_agency_b_hierarchy_depth,field_total,field_intramural_federal_agenciesa,field_intramural_ffrdcs,field_extramural_united_states_and_u_s_territories_businesses,field_extramural_united_states_and_u_s_territories_higher_educationb,field_extramural_united_states_and_u_s_territories_nonprofit_organizations,field_extramural_united_states_and_u_s_territories_state_and_local_governments,field_extramural_non_u_s_performers
10254,r001,All agencies,All agencies,,,,,1,42494145,6198988,5804862,3785310,21440653,4499600,532916,231817
10254,r002,All agencies -> Departments,All agencies,Departments,,,,2,,,,,,,,
10254,r003,All agencies -> Departments -> Department of Agriculture,All agencies,Departments,Department of Agriculture,,,3,1299030,758591,0,12681,506425,14303,3822,3210
10254,r004,All agencies -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies,Departments,Department of Agriculture,Agricultural Research Service,,4,755202,650171,0,0,95030,6720,111,3170
10254,r005,All agencies -> Departments -> Department of Agriculture -> Animal and Plant Health Inspection Service,All agencies,Departments,Department of Agriculture,Animal and Plant Health Inspection Service,,4,21101,14802,0,0,6299,0,0,0
10254,r006,All agencies -> Departments -> Department of Agriculture -> Forest Service,All agencies,Departments,Department of Agriculture,Forest Service,,4,79155,72354,0,0.05,5658,133,957,0.05
10254,r007,All agencies -> Departments -> Department of Agriculture -> National Institute of Food and Agriculture,All agencies,Departments,Department of Agriculture,National Institute of Food and Agriculture,,4,432329,10796,0,12668,399076,7150,2639,0
10254,r008,All agencies -> Departments -> Department of Agriculture -> Natural Resources Conservation Service,All agencies,Departments,Department of Agriculture,Natural Resources Conservation Service,,4,11244,10469,0,0,360,300,115,0
10254,r009,All agencies -> Departments -> Department of Commerce,All agencies,Departments,Department of Commerce,,,3,277665,259019,0,5579,9784,2925,0,359
10254,r010,All agencies -> Departments -> Department of Commerce -> National Institute of Standards and Technology,All agencies,Departments,Department of Commerce,National Institute of Standards and Technology,,4,277665,259019,0,5579,9784,2925,0,359
10254,r011,All agencies -> Departments -> Department of Defense,All agencies,Departments,Department of Defense,,,3,2834851,482933,76067,531657,1595541,92813,761,55079
10254,r012,All agencies -> Departments -> Department of Defense -> Defense Advanced Research Projects Agency,All agencies,Departments,Department of Defense,Defense Advanced Research Projects Agency,,4,509680,17454,24735,140130,273850,42355,0,11156
10254,r013,All agencies -> Departments -> Department of Defense -> Defense Health Agency,All agencies,Departments,Department of Defense,Defense Health Agency,,4,17921,6853,360,6098,1928,2682,0,0
