table_id,row_id,budget_function_full_path,budget_function_level_1,budget_function_level_2,budget_function_level_3,budget_function_hierarchy_depth,field_2020_actuala,field_2021_preliminarya,field_2022_proposed
5532,r001,R&D and R&D plant,R&D and R&D plant,,,1,100.0,100.0,100.0
5532,r002,R&D and R&D plant -> National defense,R&D and R&D plant,National defense,,2,48.2,48.1,43.9
5532,r003,R&D and R&D plant -> Health,R&D and R&D plant,Health,,2,26.2,26.3,28.5
5532,r004,"R&D and R&D plant -> Space flight, research, and supporting activities",R&D and R&D plant,"Space flight, research, and supporting activities",,2,8.4,7.6,7.7
5532,r005,R&D and R&D plant -> General science and basic research,R&D and R&D plant,General science and basic research,,2,8.0,8.3,8.6
5532,r006,R&D and R&D plant -> Energy,R&D and R&D plant,Energy,,2,2.7,2.7,3.6
5532,r007,R&D and R&D plant -> Natural resources and environment,R&D and R&D plant,Natural resources and environment,,2,1.7,1.8,2.1
5532,r008,R&D and R&D plant -> Agriculture,R&D and R&D plant,Agriculture,,2,1.6,1.6,1.8
5532,r009,R&D and R&D plant -> Transportation,R&D and R&D plant,Transportation,,2,1.0,1.0,1.1
5532,r010,R&D and R&D plant -> Veterans benefits and services,R&D and R&D plant,Veterans benefits and services,,2,0.8,0.9,0.8
5532,r011,R&D and R&D plant -> Commerce and housing credit,R&D and R&D plant,Commerce and housing credit,,2,0.6,0.7,0.7
5532,r012,"R&D and R&D plant -> Education, training, employment, and social services",R&D and R&D plant,"Education, training, employment, and social services",,2,0.3,0.5,0.5
5532,r013,R&D and R&D plant -> Administration of justice,R&D and R&D plant,Administration of justice,,2,0.3,0.3,0.3
5532,r014,R&D and R&D plant -> International affairs,R&D and R&D plant,International affairs,,2,0.1,0.1,0.1
5532,r015,R&D and R&D plant -> Income security,R&D and R&D plant,Income security,,2,0.1,0.1,0.1
5532,r016,R&D and R&D plant -> Community and regional development,R&D and R&D plant,Community and regional development,,2,0.1,0.1,0.1
5532,r017,R&D and R&D plant -> Medicare,R&D and R&D plant,Medicare,,2,0.05,0.05,0.05
5532,r018,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,2,100.0,100.0,100.0
5532,r019,R&D and R&D plant -> R&D -> National defense,R&D and R&D plant,R&D,National defense,3,48.4,48.7,44.5
5532,r020,R&D and R&D plant -> R&D -> Health,R&D and R&D plant,R&D,Health,3,26.8,26.8,29.1
5532,r021,"R&D and R&D plant -> R&D -> Space flight, research, and supporting activities",R&D and R&D plant,R&D,"Space flight, research, and supporting activities",3,8.6,7.8,7.9
