table_id,row_id,_b_state_institutional_control_system_and_institution_b_full_path,_b_state_institutional_control_system_and_institution_b_level_1,_b_state_institutional_control_system_and_institution_b_level_2,_b_state_institutional_control_system_and_institution_b_level_3,_b_state_institutional_control_system_and_institution_b_level_4,_b_state_institutional_control_system_and_institution_b_hierarchy_depth,field_all_r_d_expenditures
3116,r001,Alabama,Alabama,,,,1,"['1,126,821', '']"
3116,r002,Alabama -> Public,Alabama,Public,,,2,"['1,105,223', '']"
3116,r003,Alabama -> Public -> Alabama A&M U.,Alabama,Public,Alabama A&M U.,,3,"['12,840', '']"
3116,r004,Alabama -> Public -> Alabama State U.,Alabama,Public,Alabama State U.,,3,"['2,577', '']"
3116,r005,Alabama -> Public -> Auburn U. System,Alabama,Public,Auburn U. System,,3,"['231,944', '']"
3116,r006,"Alabama -> Public -> Auburn U. System -> Auburn U., Auburn",Alabama,Public,Auburn U. System,"Auburn U., Auburn",4,"['231,619', '']"
3116,r007,"Alabama -> Public -> Auburn U. System -> Auburn U., Montgomery",Alabama,Public,Auburn U. System,"Auburn U., Montgomery",4,"['325', '']"
3116,r008,Alabama -> Public -> Jacksonville State U.,Alabama,Public,Jacksonville State U.,,3,"['2,429', '']"
3116,r009,Alabama -> Public -> Troy U.,Alabama,Public,Troy U.,,3,"['1,507', '']"
3116,r010,Alabama -> Public -> U. Alabama System,Alabama,Public,U. Alabama System,,3,"['800,924', '']"
3116,r011,"Alabama -> Public -> U. Alabama System -> U. Alabama, Birmingham",Alabama,Public,U. Alabama System,"U. Alabama, Birmingham",4,"['607,863', '']"
3116,r012,"Alabama -> Public -> U. Alabama System -> U. Alabama, Huntsville",Alabama,Public,U. Alabama System,"U. Alabama, Huntsville",4,"['109,744', '']"
3116,r013,"Alabama -> Public -> U. Alabama System -> U. Alabama, Tuscaloosa",Alabama,Public,U. Alabama System,"U. Alabama, Tuscaloosa",4,"['83,317', '']"
3116,r014,Alabama -> Public -> U. South Alabama,Alabama,Public,U. South Alabama,,3,"['52,540', '']"
3116,r015,Alabama -> Public -> U. West Alabama,Alabama,Public,U. West Alabama,,3,"['462', '']"
3116,r016,Alabama -> Private,Alabama,Private,,,2,"['21,598', '']"
3116,r017,"Alabama -> Private -> Alabama C., Osteopathic Medicine",Alabama,Private,"Alabama C., Osteopathic Medicine",,3,"['370', '']"
3116,r018,Alabama -> Private -> Oakwood U.,Alabama,Private,Oakwood U.,,3,"['666', '']"
3116,r019,Alabama -> Private -> Tuskegee U.,Alabama,Private,Tuskegee U.,,3,"['20,562', '']"
3116,r020,Alaska,Alaska,,,,1,"['169,296', '']"
3116,r021,Alaska -> Public (U. Alaska System),Alaska,Public (U. Alaska System),,,2,"['167,522', '']"
3116,r022,"Alaska -> Public (U. Alaska System) -> U. Alaska, Anchorage",Alaska,Public (U. Alaska System),"U. Alaska, Anchorage",,3,"['21,724', '']"
3116,r023,"Alaska -> Public (U. Alaska System) -> U. Alaska, Fairbanks",Alaska,Public (U. Alaska System),"U. Alaska, Fairbanks",,3,"['144,457', '']"
3116,r024,"Alaska -> Public (U. Alaska System) -> U. Alaska, Southeast",Alaska,Public (U. Alaska System),"U. Alaska, Southeast",,3,"['1,341', '']"
3116,r025,Alaska -> Private,Alaska,Private,,,2,"['1,774', '']"
3116,r026,Alaska -> Private -> Alaska Pacific U.,Alaska,Private,Alaska Pacific U.,,3,"['1,774', '']"
3116,r027,Arizona,Arizona,,,,1,"['1,434,177', '']"
3116,r028,Arizona -> Public,Arizona,Public,,,2,"['1,433,947', '']"
3116,r029,Arizona -> Public -> Arizona Board of Regents,Arizona,Public,Arizona Board of Regents,,3,"['1,432,821', '']"
3116,r030,Arizona -> Public -> Arizona Board of Regents -> Arizona State U.,Arizona,Public,Arizona Board of Regents,Arizona State U.,4,"['639,637', '']"
3116,r031,Arizona -> Public -> Arizona Board of Regents -> Northern Arizona U.,Arizona,Public,Arizona Board of Regents,Northern Arizona U.,4,"['58,914', '']"
3116,r032,Arizona -> Public -> Arizona Board of Regents -> U. Arizona,Arizona,Public,Arizona Board of Regents,U. Arizona,4,"['734,270', '']"
3116,r033,Arizona -> Public -> Dine C.,Arizona,Public,Dine C.,,3,"['1,126', '']"
3116,r034,Arizona -> Private,Arizona,Private,,,2,"['230', '']"
3116,r035,Arizona -> Private -> Southwest C. of Naturopathic Medicine and Health Sciences,Arizona,Private,Southwest C. of Naturopathic Medicine and Health Sciences,,3,"['230', '']"
3116,r036,Arkansas,Arkansas,,,,1,"['367,555', '']"
3116,r037,Arkansas -> Public,Arkansas,Public,,,2,"['366,071', '']"
3116,r038,Arkansas -> Public -> Arkansas State U. System,Arkansas,Public,Arkansas State U. System,,3,"['8,945', '']"
3116,r039,"Arkansas -> Public -> Arkansas State U. System -> Arkansas State U., Jonesboro",Arkansas,Public,Arkansas State U. System,"Arkansas State U., Jonesboro",4,"['8,945', '']"
3116,r040,Arkansas -> Public -> Arkansas Tech U.,Arkansas,Public,Arkansas Tech U.,,3,"['961', '']"
3116,r041,Arkansas -> Public -> Southern Arkansas U.,Arkansas,Public,Southern Arkansas U.,,3,"['329', '']"
3116,r042,Arkansas -> Public -> U. Arkansas System,Arkansas,Public,U. Arkansas System,,3,"['352,359', '']"
3116,r043,Arkansas -> Public -> U. Arkansas System -> U. Arkansas for Medical Sciences,Arkansas,Public,U. Arkansas System,U. Arkansas for Medical Sciences,4,"['153,135', '']"
3116,r044,"Arkansas -> Public -> U. Arkansas System -> U. Arkansas, Fayetteville",Arkansas,Public,U. Arkansas System,"U. Arkansas, Fayetteville",4,"['180,225', '']"
3116,r045,"Arkansas -> Public -> U. Arkansas System -> U. Arkansas, Little Rock",Arkansas,Public,U. Arkansas System,"U. Arkansas, Little Rock",4,"['9,975', '']"
3116,r046,"Arkansas -> Public -> U. Arkansas System -> U. Arkansas, Pine Bluff",Arkansas,Public,U. Arkansas System,"U. Arkansas, Pine Bluff",4,"['9,024', '']"
3116,r047,Arkansas -> Public -> U. Central Arkansas,Arkansas,Public,U. Central Arkansas,,3,"['3,477', '']"
3116,r048,Arkansas -> Private,Arkansas,Private,,,2,"['1,484', '']"
3116,r049,Arkansas -> Private -> Hendrix C.,Arkansas,Private,Hendrix C.,,3,"['902', '']"
3116,r050,Arkansas -> Private -> Ouachita Baptist U.,Arkansas,Private,Ouachita Baptist U.,,3,"['363', 'i']"
3116,r051,Arkansas -> Private -> Philander Smith C.,Arkansas,Private,Philander Smith C.,,3,"['219', '']"
3116,r052,California,California,,,,1,"['10,508,687', '']"
3116,r053,California -> Public,California,Public,,,2,"['7,431,752', '']"
3116,r054,California -> Public -> California State U. System,California,Public,California State U. System,,3,"['374,995', '']"
3116,r055,"California -> Public -> California State U. System -> California Polytechnic State U., San Luis Obispo",California,Public,California State U. System,"California Polytechnic State U., San Luis Obispo",4,"['30,923', '']"
3116,r056,"California -> Public -> California State U. System -> California State Polytechnic U., Pomona",California,Public,California State U. System,"California State Polytechnic U., Pomona",4,"['6,099', '']"
3116,r057,"California -> Public -> California State U. System -> California State U., Bakersfield",California,Public,California State U. System,"California State U., Bakersfield",4,"['7,591', '']"
3116,r058,"California -> Public -> California State U. System -> California State U., Channel Islands",California,Public,California State U. System,"California State U., Channel Islands",4,"['1,572', '']"
3116,r059,"California -> Public -> California State U. System -> California State U., Chico",California,Public,California State U. System,"California State U., Chico",4,"['3,232', '']"
3116,r060,"California -> Public -> California State U. System -> California State U., Dominguez Hills",California,Public,California State U. System,"California State U., Dominguez Hills",4,"['1,957', '']"
3116,r061,"California -> Public -> California State U. System -> California State U., East Bay",California,Public,California State U. System,"California State U., East Bay",4,"['8,640', '']"
3116,r062,"California -> Public -> California State U. System -> California State U., Fresno",California,Public,California State U. System,"California State U., Fresno",4,"['8,599', '']"
3116,r063,"California -> Public -> California State U. System -> California State U., Fullerton",California,Public,California State U. System,"California State U., Fullerton",4,"['7,173', '']"
3116,r064,"California -> Public -> California State U. System -> California State U., Long Beach",California,Public,California State U. System,"California State U., Long Beach",4,"['18,664', '']"
3116,r065,"California -> Public -> California State U. System -> California State U., Los Angeles",California,Public,California State U. System,"California State U., Los Angeles",4,"['12,476', '']"
3116,r066,"California -> Public -> California State U. System -> California State U., Maritime Academy",California,Public,California State U. System,"California State U., Maritime Academy",4,"['2,959', '']"
3116,r067,"California -> Public -> California State U. System -> California State U., Monterey Bay",California,Public,California State U. System,"California State U., Monterey Bay",4,"['6,444', '']"
3116,r068,"California -> Public -> California State U. System -> California State U., Northridge",California,Public,California State U. System,"California State U., Northridge",4,"['21,095', '']"
3116,r069,"California -> Public -> California State U. System -> California State U., Sacramento",California,Public,California State U. System,"California State U., Sacramento",4,"['23,544', '']"
