table_id,row_id,sex_ethnicity_race_disability_status_and_primary_or_secondary_work_activity_full_path,sex_ethnicity_race_disability_status_and_primary_or_secondary_work_activity_level_1,sex_ethnicity_race_disability_status_and_primary_or_secondary_work_activity_level_2,sex_ethnicity_race_disability_status_and_primary_or_secondary_work_activity_level_3,sex_ethnicity_race_disability_status_and_primary_or_secondary_work_activity_level_4,sex_ethnicity_race_disability_status_and_primary_or_secondary_work_activity_hierarchy_depth,field_age_years_75_and_younger,field_age_years_younger_than_35,field_age_years_35_44,field_age_years_45_54,field_age_years_55_75
3398,r001,Total,Total,,,,1,15580000,4872000,3804000,3497000,3407000
3398,r002,Total -> Computer applications,Total,Computer applications,,,2,2617000,944000,721000,543000,408000
3398,r003,Total -> Management or administration<sup>a</sup>,Total,Management or administration<sup>a</sup>,,,2,9584000,2692000,2430000,2348000,2114000
3398,r004,Total -> Research and development,Total,Research and development,,,2,4897000,1738000,1256000,976000,928000
3398,r005,Total -> Teaching,Total,Teaching,,,2,921000,251000,211000,220000,239000
3398,r006,Total -> Other,Total,Other,,,2,5969000,1896000,1397000,1251000,1426000
3398,r007,Total -> Female,Total,Female,,,2,5972000,2144000,1446000,1315000,1067000
3398,r008,Total -> Female -> Computer applications,Total,Female,Computer applications,,3,506000,182000,130000,115000,79000
3398,r009,Total -> Female -> Management or administration<sup>a</sup>,Total,Female,Management or administration<sup>a</sup>,,3,3674000,1208000,947000,862000,657000
3398,r010,Total -> Female -> Research and development,Total,Female,Research and development,,3,1436000,588000,385000,275000,188000
3398,r011,Total -> Female -> Teaching,Total,Female,Teaching,,3,547000,176000,128000,140000,102000
3398,r012,Total -> Female -> Other,Total,Female,Other,,3,2845000,1065000,663000,601000,515000
3398,r013,Total -> Male,Total,Male,,,2,9608000,2729000,2358000,2182000,2339000
3398,r014,Total -> Male -> Computer applications,Total,Male,Computer applications,,3,2111000,762000,591000,428000,329000
3398,r015,Total -> Male -> Management or administration<sup>a</sup>,Total,Male,Management or administration<sup>a</sup>,,3,5909000,1483000,1483000,1486000,1457000
3398,r016,Total -> Male -> Research and development,Total,Male,Research and development,,3,3461000,1150000,871000,701000,740000
3398,r017,Total -> Male -> Teaching,Total,Male,Teaching,,3,374000,75000,83000,80000,137000
3398,r018,Total -> Male -> Other,Total,Male,Other,,3,3125000,831000,734000,649000,910000
3398,r019,Total -> Hispanic or Latino,Total,Hispanic or Latino,,,2,1380000,513000,349000,288000,230000
3398,r020,Total -> Hispanic or Latino -> Computer applications,Total,Hispanic or Latino,Computer applications,,3,180000,82000,42000,30000,26000
3398,r021,Total -> Hispanic or Latino -> Management or administration<sup>a</sup>,Total,Hispanic or Latino,Management or administration<sup>a</sup>,,3,864000,310000,228000,178000,148000
3398,r022,Total -> Hispanic or Latino -> Research and development,Total,Hispanic or Latino,Research and development,,3,383000,165000,112000,55000,52000
3398,r023,Total -> Hispanic or Latino -> Teaching,Total,Hispanic or Latino,Teaching,,3,111000,30000,17000,48000,16000
3398,r024,Total -> Hispanic or Latino -> Other,Total,Hispanic or Latino,Other,,3,556000,191000,141000,121000,102000
3398,r025,Total -> Not Hispanic or Latino,Total,Not Hispanic or Latino,,,2,,,,,
3398,r026,Total -> Not Hispanic or Latino -> American Indian or Alaska Native,Total,Not Hispanic or Latino,American Indian or Alaska Native,,3,41000,S,13000,6000,7000
3398,r027,Total -> Not Hispanic or Latino -> American Indian or Alaska Native -> Computer applications,Total,Not Hispanic or Latino,American Indian or Alaska Native,Computer applications,4,S,0.05,,,
3398,r028,Total -> Not Hispanic or Latino -> American Indian or Alaska Native -> Management or administration<sup>a</sup>,Total,Not Hispanic or Latino,American Indian or Alaska Native,Management or administration<sup>a</sup>,4,17000,3000,S,3000,4000
3398,r029,Total -> Not Hispanic or Latino -> American Indian or Alaska Native -> Research and development,Total,Not Hispanic or Latino,American Indian or Alaska Native,Research and development,4,9000,1000,5000,S,S
3398,r030,Total -> Not Hispanic or Latino -> American Indian or Alaska Native -> Teaching,Total,Not Hispanic or Latino,American Indian or Alaska Native,Teaching,4,S,,,,
3398,r031,Total -> Not Hispanic or Latino -> American Indian or Alaska Native -> Other,Total,Not Hispanic or Latino,American Indian or Alaska Native,Other,4,25000,S,4000,4000,S
3398,r032,Total -> Not Hispanic or Latino -> Asian,Total,Not Hispanic or Latino,Asian,,3,2461000,825000,738000,600000,298000
3398,r033,Total -> Not Hispanic or Latino -> Asian -> Computer applications,Total,Not Hispanic or Latino,Asian,Computer applications,4,802000,299000,296000,149000,57000
3398,r034,Total -> Not Hispanic or Latino -> Asian -> Management or administration<sup>a</sup>,Total,Not Hispanic or Latino,Asian,Management or administration<sup>a</sup>,4,1348000,398000,414000,377000,159000
3398,r035,Total -> Not Hispanic or Latino -> Asian -> Research and development,Total,Not Hispanic or Latino,Asian,Research and development,4,937000,366000,272000,199000,100000
3398,r036,Total -> Not Hispanic or Latino -> Asian -> Teaching,Total,Not Hispanic or Latino,Asian,Teaching,4,72000,19000,14000,22000,S
3398,r037,Total -> Not Hispanic or Latino -> Asian -> Other,Total,Not Hispanic or Latino,Asian,Other,4,689000,220000,177000,177000,114000
