table_id,row_id,_b_region_country_or_economy_b_full_path,_b_region_country_or_economy_b_level_1,_b_region_country_or_economy_b_level_2,_b_region_country_or_economy_b_level_3,_b_region_country_or_economy_b_hierarchy_depth,field_total,field_dhs,field_dod,field_doe,field_hhs_,field_nasa,field_nsf,field_usda,field_othera
10851,r001,All areas and organizations,All areas and organizations,,,1,817506,3298,239565,2693,416052,26123,21568,6420,101788
10851,r002,All areas and organizations -> Africa,All areas and organizations,Africa,,2,97738,0,4717,0,89873,0.05,0,458,2691
10851,r003,All areas and organizations -> Africa -> Botswana,All areas and organizations,Africa,Botswana,3,908,0,0,0,908,0,0,0,0
10851,r004,All areas and organizations -> Africa -> Cameroon,All areas and organizations,Africa,Cameroon,3,1432,0,0,0,1432,0,0,0,0
10851,r005,"All areas and organizations -> Africa -> Congo, Democratic Republic of the",All areas and organizations,Africa,"Congo, Democratic Republic of the",3,875,0,0,0,875,0,0,0,0
10851,r006,All areas and organizations -> Africa -> Ethiopia,All areas and organizations,Africa,Ethiopia,3,946,0,0,0,946,0,0,0,0
10851,r007,"All areas and organizations -> Africa -> Gambia, The",All areas and organizations,Africa,"Gambia, The",3,111,0,0,0,111,0,0,0,0
10851,r008,All areas and organizations -> Africa -> Ghana,All areas and organizations,Africa,Ghana,3,2240,0,0,0,2040,0,0,0,200
10851,r009,All areas and organizations -> Africa -> Kenya,All areas and organizations,Africa,Kenya,3,13448,0,3802,0,6701,0,0,454,2491
10851,r010,All areas and organizations -> Africa -> Malawi,All areas and organizations,Africa,Malawi,3,1186,0,0,0,1186,0,0,0,0
10851,r011,All areas and organizations -> Africa -> Mali,All areas and organizations,Africa,Mali,3,2030,0,0,0,2030,0,0,0,0
10851,r012,All areas and organizations -> Africa -> Mozambique,All areas and organizations,Africa,Mozambique,3,1563,0,0,0,1563,0,0,0,0
10851,r013,All areas and organizations -> Africa -> Nigeria,All areas and organizations,Africa,Nigeria,3,8153,0,268,0,7885,0,0,0,0
10851,r014,All areas and organizations -> Africa -> Rwanda,All areas and organizations,Africa,Rwanda,3,76,0,0,0,76,0,0,0,0
10851,r015,All areas and organizations -> Africa -> Saint Helena,All areas and organizations,Africa,Saint Helena,3,0.05,0,0,0,0,0.05,0,0,0
10851,r016,All areas and organizations -> Africa -> Senegal,All areas and organizations,Africa,Senegal,3,0.05,0,0,0,0.05,0,0,0,0
10851,r017,All areas and organizations -> Africa -> South Africa,All areas and organizations,Africa,South Africa,3,42485,0,547,0,41938,0,0,0,0
10851,r018,All areas and organizations -> Africa -> Tanzania,All areas and organizations,Africa,Tanzania,3,2143,0,0,0,2140,0,0,3,0
10851,r019,All areas and organizations -> Africa -> Uganda,All areas and organizations,Africa,Uganda,3,15941,0,0,0,15941,0,0,0,0
10851,r020,All areas and organizations -> Africa -> Zambia,All areas and organizations,Africa,Zambia,3,2295,0,0,0,2295,0,0,0,0
