table_id,row_id,_b_state_and_department_or_agency_b_full_path,_b_state_and_department_or_agency_b_level_1,_b_state_and_department_or_agency_b_level_2,_b_state_and_department_or_agency_b_level_3,_b_state_and_department_or_agency_b_hierarchy_depth,field_r_d_performersa_all,field_r_d_performersa_intramural,field_r_d_performersa_extramural,field_r_d_plant
5213,r001,United States<sup>b</sup>,United States<sup>b</sup>,,,1,2444981212,692719374,1752261838,9786932
5213,r002,United States<sup>b</sup> -> Alabama,United States<sup>b</sup>,Alabama,,2,25695555,13704571,11990984,0
5213,r003,"United States<sup>b</sup> -> Alabama -> Choctawhatchee, Pea and Yellow Rivers Watershed Management Authority",United States<sup>b</sup>,Alabama,"Choctawhatchee, Pea and Yellow Rivers Watershed Management Authority",3,4000,0,4000,0
5213,r004,"United States<sup>b</sup> -> Alabama -> Commerce, Department of",United States<sup>b</sup>,Alabama,"Commerce, Department of",3,3000000,0,3000000,0
5213,r005,"United States<sup>b</sup> -> Alabama -> Conservation and Natural Resources, Department of; Wildlife and Freshwater Fisheries Division",United States<sup>b</sup>,Alabama,"Conservation and Natural Resources, Department of; Wildlife and Freshwater Fisheries Division",3,1930023,280032,1649991,0
5213,r006,"United States<sup>b</sup> -> Alabama -> Education, Department of",United States<sup>b</sup>,Alabama,"Education, Department of",3,9755650,9104650,651000,0
5213,r007,"United States<sup>b</sup> -> Alabama -> Forensic Sciences, Department of",United States<sup>b</sup>,Alabama,"Forensic Sciences, Department of",3,262993,262993,0,0
5213,r008,United States<sup>b</sup> -> Alabama -> Geological Survey,United States<sup>b</sup>,Alabama,Geological Survey,3,2470957,2470957,0,0
5213,r009,"United States<sup>b</sup> -> Alabama -> Marine Environmental Science Consortium, Dauphin Island Sea Lab",United States<sup>b</sup>,Alabama,"Marine Environmental Science Consortium, Dauphin Island Sea Lab",3,1585939,1585939,0,0
5213,r010,United States<sup>b</sup> -> Alabama -> Supercomputer Authority,United States<sup>b</sup>,Alabama,Supercomputer Authority,3,3028045,0,3028045,0
5213,r011,"United States<sup>b</sup> -> Alabama -> Transportation, Department of",United States<sup>b</sup>,Alabama,"Transportation, Department of",3,3657948,0,3657948,0
5213,r012,United States<sup>b</sup> -> Alaska,United States<sup>b</sup>,Alaska,,2,15193507,10745451,4448056,0
5213,r013,"United States<sup>b</sup> -> Alaska -> Environmental Conservation, Department of ",United States<sup>b</sup>,Alaska,"Environmental Conservation, Department of ",3,474542,19763,454779,0
5213,r014,United States<sup>b</sup> -> Alaska -> Housing Finance Corporation,United States<sup>b</sup>,Alaska,Housing Finance Corporation,3,500000,0,500000,0
5213,r015,"United States<sup>b</sup> -> Alaska -> Natural Resources, Department of; Division of Geological and Geophysical Surveys",United States<sup>b</sup>,Alaska,"Natural Resources, Department of; Division of Geological and Geophysical Surveys",3,8878600,8878600,0,0
5213,r016,United States<sup>b</sup> -> Alaska -> Railroad Corporation,United States<sup>b</sup>,Alaska,Railroad Corporation,3,3824365,1712088,2112277,0
5213,r017,"United States<sup>b</sup> -> Alaska -> Transportation and Public Facilities, Department of",United States<sup>b</sup>,Alaska,"Transportation and Public Facilities, Department of",3,1516000,135000,1381000,0
5213,r018,United States<sup>b</sup> -> Arizona,United States<sup>b</sup>,Arizona,,2,16010502,1562435,14448067,0
5213,r019,"United States<sup>b</sup> -> Arizona -> Agriculture, Department of",United States<sup>b</sup>,Arizona,"Agriculture, Department of",3,1220812,0,1220812,0
5213,r020,United States<sup>b</sup> -> Arizona -> Game and Fish Department,United States<sup>b</sup>,Arizona,Game and Fish Department,3,1361376,1002814,358562,0
5213,r021,"United States<sup>b</sup> -> Arizona -> Health Services, Department of",United States<sup>b</sup>,Arizona,"Health Services, Department of",3,11085857,0,11085857,0
5213,r022,"United States<sup>b</sup> -> Arizona -> Juvenile Corrections, Department of ",United States<sup>b</sup>,Arizona,"Juvenile Corrections, Department of ",3,559621,559621,0,0
5213,r023,"United States<sup>b</sup> -> Arizona -> Transportation, Department of",United States<sup>b</sup>,Arizona,"Transportation, Department of",3,1782836,0,1782836,0
5213,r024,United States<sup>b</sup> -> Arkansas,United States<sup>b</sup>,Arkansas,,2,19921168,189018,19732150,0
5213,r025,"United States<sup>b</sup> -> Arkansas -> Agriculture, Department of",United States<sup>b</sup>,Arkansas,"Agriculture, Department of",3,251460,0,251460,0
5213,r026,United States<sup>b</sup> -> Arkansas -> Beef Council,United States<sup>b</sup>,Arkansas,Beef Council,3,40223,0,40223,0
5213,r027,United States<sup>b</sup> -> Arkansas -> Corn and Grain Sorghum Board,United States<sup>b</sup>,Arkansas,Corn and Grain Sorghum Board,3,965000,0,965000,0
5213,r028,United States<sup>b</sup> -> Arkansas -> Economic Development Commission,United States<sup>b</sup>,Arkansas,Economic Development Commission,3,5446430,0,5446430,0
5213,r029,United States<sup>b</sup> -> Arkansas -> Game and Fish Commission,United States<sup>b</sup>,Arkansas,Game and Fish Commission,3,954281,0,954281,0
5213,r030,United States<sup>b</sup> -> Arkansas -> Natural Heritage Commission,United States<sup>b</sup>,Arkansas,Natural Heritage Commission,3,274611,142678,131933,0
5213,r031,United States<sup>b</sup> -> Arkansas -> Rice Research and Promotion Board,United States<sup>b</sup>,Arkansas,Rice Research and Promotion Board,3,8623500,0,8623500,0
5213,r032,United States<sup>b</sup> -> Arkansas -> Soybean Promotion Board,United States<sup>b</sup>,Arkansas,Soybean Promotion Board,3,2625555,0,2625555,0
5213,r033,"United States<sup>b</sup> -> Arkansas -> Transportation, Department of",United States<sup>b</sup>,Arkansas,"Transportation, Department of",3,690108,46340,643768,0
5213,r034,United States<sup>b</sup> -> Arkansas -> Wheat Promotion Board,United States<sup>b</sup>,Arkansas,Wheat Promotion Board,3,50000,0,50000,0
5213,r035,United States<sup>b</sup> -> California,United States<sup>b</sup>,California,,2,533900597,81087677,452812920,0
5213,r036,United States<sup>b</sup> -> California -> Air Resources Board,United States<sup>b</sup>,California,Air Resources Board,3,16709642,10222932,6486710,0
5213,r037,United States<sup>b</sup> -> California -> Children and Families Commission (First 5 California),United States<sup>b</sup>,California,Children and Families Commission (First 5 California),3,3518680,0,3518680,0
5213,r038,"United States<sup>b</sup> -> California -> Conservation, Department of",United States<sup>b</sup>,California,"Conservation, Department of",3,1143000,398000,745000,0
5213,r039,"United States<sup>b</sup> -> California -> Corrections and Rehabilitation, Department of",United States<sup>b</sup>,California,"Corrections and Rehabilitation, Department of",3,1974791,0,1974791,0
5213,r040,United States<sup>b</sup> -> California -> Covered California,United States<sup>b</sup>,California,Covered California,3,3209181,0,3209181,0
5213,r041,United States<sup>b</sup> -> California -> Delta Stewardship Council,United States<sup>b</sup>,California,Delta Stewardship Council,3,5602379,0,5602379,0
5213,r042,United States<sup>b</sup> -> California -> Earthquake Authority,United States<sup>b</sup>,California,Earthquake Authority,3,2664000,500000,2164000,0
5213,r043,United States<sup>b</sup> -> California -> Energy Commission,United States<sup>b</sup>,California,Energy Commission,3,219532543,19478336,200054207,0
5213,r044,"United States<sup>b</sup> -> California -> Environmental Health Hazard Assessment, Office of",United States<sup>b</sup>,California,"Environmental Health Hazard Assessment, Office of",3,19726954,17372704,2354250,0
5213,r045,"United States<sup>b</sup> -> California -> Food and Agriculture, Department of",United States<sup>b</sup>,California,"Food and Agriculture, Department of",3,4213376,0,4213376,0
5213,r046,"United States<sup>b</sup> -> California -> Forestry and Fire Protection, Department of",United States<sup>b</sup>,California,"Forestry and Fire Protection, Department of",3,3500000,500000,3000000,0
5213,r047,United States<sup>b</sup> -> California -> Horse Racing Board,United States<sup>b</sup>,California,Horse Racing Board,3,627442,0,627442,0
5213,r048,"United States<sup>b</sup> -> California -> Housing and Community Development, Department of",United States<sup>b</sup>,California,"Housing and Community Development, Department of",3,75000,0,75000,0
5213,r049,United States<sup>b</sup> -> California -> Institute for Regenerative Medicine,United States<sup>b</sup>,California,Institute for Regenerative Medicine,3,127546003,0,127546003,0
5213,r050,United States<sup>b</sup> -> California -> Mental Health Services Oversight and Accountability Commission,United States<sup>b</sup>,California,Mental Health Services Oversight and Accountability Commission,3,2500000,0,2500000,0
5213,r051,"United States<sup>b</sup> -> California -> Motor Vehicles, Department of",United States<sup>b</sup>,California,"Motor Vehicles, Department of",3,1401521,1401521,0,0
5213,r052,"United States<sup>b</sup> -> California -> Pesticide Regulation, Department of ",United States<sup>b</sup>,California,"Pesticide Regulation, Department of ",3,14088416,10404433,3683983,0
5213,r053,"United States<sup>b</sup> -> California -> Public Health, Department of",United States<sup>b</sup>,California,"Public Health, Department of",3,3370497,1351,3369146,0
5213,r054,"United States<sup>b</sup> -> California -> Public Utilities Commission, Executive Division",United States<sup>b</sup>,California,"Public Utilities Commission, Executive Division",3,37000000,0,37000000,0
5213,r055,"United States<sup>b</sup> -> California -> Rehabilitation, Department of ",United States<sup>b</sup>,California,"Rehabilitation, Department of ",3,2814595,439191,2375404,0
5213,r056,United States<sup>b</sup> -> California -> State Coastal Conservancy,United States<sup>b</sup>,California,State Coastal Conservancy,3,1620693,0,1620693,0
5213,r057,United States<sup>b</sup> -> California -> State Water Resources Control Board,United States<sup>b</sup>,California,State Water Resources Control Board,3,17957684,3188854,14768830,0
5213,r058,"United States<sup>b</sup> -> California -> Transportation, Department of",United States<sup>b</sup>,California,"Transportation, Department of",3,41248806,15881012,25367794,0
5213,r059,"United States<sup>b</sup> -> California -> Water Resources, Department of",United States<sup>b</sup>,California,"Water Resources, Department of",3,1855394,1299343,556051,0
5213,r060,United States<sup>b</sup> -> Colorado,United States<sup>b</sup>,Colorado,,2,34365638,12047699,22317939,0
5213,r061,"United States<sup>b</sup> -> Colorado -> Agriculture, Department of",United States<sup>b</sup>,Colorado,"Agriculture, Department of",3,635148,305327,329821,0
5213,r062,"United States<sup>b</sup> -> Colorado -> Economic Development and International Trade, Office of",United States<sup>b</sup>,Colorado,"Economic Development and International Trade, Office of",3,15456483,0,15456483,0
5213,r063,"United States<sup>b</sup> -> Colorado -> Higher Education Competitive, Research Authority",United States<sup>b</sup>,Colorado,"Higher Education Competitive, Research Authority",3,2455224,0,2455224,0
5213,r064,"United States<sup>b</sup> -> Colorado -> Higher Education, Department of ",United States<sup>b</sup>,Colorado,"Higher Education, Department of ",3,124839,53135,71704,0
5213,r065,"United States<sup>b</sup> -> Colorado -> Natural Resources, Department of",United States<sup>b</sup>,Colorado,"Natural Resources, Department of",3,8002949,7914944,88005,0
5213,r066,"United States<sup>b</sup> -> Colorado -> Public Health and Environment, Department of",United States<sup>b</sup>,Colorado,"Public Health and Environment, Department of",3,3808558,2344944,1463614,0
5213,r067,"United States<sup>b</sup> -> Colorado -> Public Safety, Department of",United States<sup>b</sup>,Colorado,"Public Safety, Department of",3,826494,826494,0,0
5213,r068,"United States<sup>b</sup> -> Colorado -> Transportation, Department of",United States<sup>b</sup>,Colorado,"Transportation, Department of",3,2833633,602855,2230778,0
5213,r069,United States<sup>b</sup> -> Colorado -> Wine Industry Development Board,United States<sup>b</sup>,Colorado,Wine Industry Development Board,3,222310,0,222310,0
5213,r070,United States<sup>b</sup> -> Connecticut,United States<sup>b</sup>,Connecticut,,2,58810853,25868030,32942823,0
5213,r071,United States<sup>b</sup> -> Connecticut -> Agricultural Experiment Station,United States<sup>b</sup>,Connecticut,Agricultural Experiment Station,3,12445226,12445226,0,0
5213,r072,"United States<sup>b</sup> -> Connecticut -> Children and Families, Department of",United States<sup>b</sup>,Connecticut,"Children and Families, Department of",3,604461,0,604461,0
5213,r073,"United States<sup>b</sup> -> Connecticut -> Education, Department of",United States<sup>b</sup>,Connecticut,"Education, Department of",3,429097,0,429097,0
5213,r074,"United States<sup>b</sup> -> Connecticut -> Energy and Environmental Protection, Department of",United States<sup>b</sup>,Connecticut,"Energy and Environmental Protection, Department of",3,7498136,6802949,695187,0
5213,r075,United States<sup>b</sup> -> Connecticut -> Innovation Inc.,United States<sup>b</sup>,Connecticut,Innovation Inc.,3,27245173,0,27245173,0
5213,r076,"United States<sup>b</sup> -> Connecticut -> Mental Health and Addiction Services, Department of",United States<sup>b</sup>,Connecticut,"Mental Health and Addiction Services, Department of",3,6310349,6310349,0,0
5213,r077,"United States<sup>b</sup> -> Connecticut -> Public Health, Department of",United States<sup>b</sup>,Connecticut,"Public Health, Department of",3,27000,0,27000,0
5213,r078,"United States<sup>b</sup> -> Connecticut -> Social Services, Department of",United States<sup>b</sup>,Connecticut,"Social Services, Department of",3,1516916,0,1516916,0
5213,r079,"United States<sup>b</sup> -> Connecticut -> Transportation, Department of",United States<sup>b</sup>,Connecticut,"Transportation, Department of",3,2734495,309506,2424989,0
5213,r080,United States<sup>b</sup> -> Delaware,United States<sup>b</sup>,Delaware,,2,3598156,2312965,1285191,0
5213,r081,United States<sup>b</sup> -> Delaware -> Geological Survey,United States<sup>b</sup>,Delaware,Geological Survey,3,2183965,2133165,50800,0
5213,r082,"United States<sup>b</sup> -> Delaware -> Natural Resources and Environmental Control, Department of",United States<sup>b</sup>,Delaware,"Natural Resources and Environmental Control, Department of",3,159000,159000,0,0
5213,r083,United States<sup>b</sup> -> Delaware -> Sustainable Energy Utility,United States<sup>b</sup>,Delaware,Sustainable Energy Utility,3,20800,20800,0,0
5213,r084,"United States<sup>b</sup> -> Delaware -> Transportation, Department of",United States<sup>b</sup>,Delaware,"Transportation, Department of",3,1234391,0,1234391,0
5213,r085,United States<sup>b</sup> -> District of Columbia,United States<sup>b</sup>,District of Columbia,,2,5860668,2510818,3349850,0
5213,r086,"United States<sup>b</sup> -> District of Columbia -> Energy and Environment, Department of",United States<sup>b</sup>,District of Columbia,"Energy and Environment, Department of",3,1550000,230000,1320000,0
5213,r087,"United States<sup>b</sup> -> District of Columbia -> Forensic Sciences, Department of",United States<sup>b</sup>,District of Columbia,"Forensic Sciences, Department of",3,114283,114283,0,0
5213,r088,"United States<sup>b</sup> -> District of Columbia -> Health, Department of",United States<sup>b</sup>,District of Columbia,"Health, Department of",3,1957090,1037450,919640,0
5213,r089,"United States<sup>b</sup> -> District of Columbia -> Transportation, Department of",United States<sup>b</sup>,District of Columbia,"Transportation, Department of",3,239295,129085,110210,0
5213,r090,United States<sup>b</sup> -> District of Columbia -> Water and Sewer Authority,United States<sup>b</sup>,District of Columbia,Water and Sewer Authority,3,2000000,1000000,1000000,0
5213,r091,United States<sup>b</sup> -> Florida,United States<sup>b</sup>,Florida,,2,184600202,52430371,132169831,5209705
5213,r092,"United States<sup>b</sup> -> Florida -> Agriculture and Consumer Services, Department of",United States<sup>b</sup>,Florida,"Agriculture and Consumer Services, Department of",3,22450768,2169058,20281710,0
5213,r093,"United States<sup>b</sup> -> Florida -> Business and Professional Regulation, Department of",United States<sup>b</sup>,Florida,"Business and Professional Regulation, Department of",3,88406,0,88406,0
5213,r094,"United States<sup>b</sup> -> Florida -> Citrus, Department of",United States<sup>b</sup>,Florida,"Citrus, Department of",3,1127588,156535,971053,0
5213,r095,"United States<sup>b</sup> -> Florida -> Environmental Protection, Department of",United States<sup>b</sup>,Florida,"Environmental Protection, Department of",3,217759,0,217759,0
5213,r096,United States<sup>b</sup> -> Florida -> Fish and Wildlife Conservation Commission,United States<sup>b</sup>,Florida,Fish and Wildlife Conservation Commission,3,56278906,48601987,7676919,5209705
5213,r097,"United States<sup>b</sup> -> Florida -> Health, Department of",United States<sup>b</sup>,Florida,"Health, Department of",3,91114600,0,91114600,0
5213,r098,United States<sup>b</sup> -> Florida -> Space Florida,United States<sup>b</sup>,Florida,Space Florida,3,1299010,0,1299010,0
5213,r099,"United States<sup>b</sup> -> Florida -> Transportation, Department of",United States<sup>b</sup>,Florida,"Transportation, Department of",3,12023165,1502791,10520374,0
5213,r100,United States<sup>b</sup> -> Georgia,United States<sup>b</sup>,Georgia,,2,15877238,2648196,13229042,0
5213,r101,"United States<sup>b</sup> -> Georgia -> Natural Resources, Department of",United States<sup>b</sup>,Georgia,"Natural Resources, Department of",3,997526,214928,782598,0
5213,r102,United States<sup>b</sup> -> Georgia -> Seed Development Commission,United States<sup>b</sup>,Georgia,Seed Development Commission,3,255642,0,255642,0
5213,r103,United States<sup>b</sup> -> Georgia -> Southern States Energy Board,United States<sup>b</sup>,Georgia,Southern States Energy Board,3,8092378,2433268,5659110,0
5213,r104,"United States<sup>b</sup> -> Georgia -> Transportation, Department of",United States<sup>b</sup>,Georgia,"Transportation, Department of",3,6531692,0,6531692,0
5213,r105,United States<sup>b</sup> -> Hawaii,United States<sup>b</sup>,Hawaii,,2,11122545,6531042,4591503,0
5213,r106,"United States<sup>b</sup> -> Hawaii -> Agriculture, Department of",United States<sup>b</sup>,Hawaii,"Agriculture, Department of",3,702000,384418,317582,0
5213,r107,"United States<sup>b</sup> -> Hawaii -> Business, Economic Development, and Tourism, Department of",United States<sup>b</sup>,Hawaii,"Business, Economic Development, and Tourism, Department of",3,7297767,5996624,1301143,0
5213,r108,"United States<sup>b</sup> -> Hawaii -> Land and Natural Resources, Department of",United States<sup>b</sup>,Hawaii,"Land and Natural Resources, Department of",3,385278,0,385278,0
5213,r109,United States<sup>b</sup> -> Hawaii -> Natural Energy Laboratory,United States<sup>b</sup>,Hawaii,Natural Energy Laboratory,3,2250000,150000,2100000,0
5213,r110,"United States<sup>b</sup> -> Hawaii -> Transportation, Department of",United States<sup>b</sup>,Hawaii,"Transportation, Department of",3,487500,0,487500,0
5213,r111,United States<sup>b</sup> -> Idaho,United States<sup>b</sup>,Idaho,,2,21882976,7967885,13915091,5000
5213,r112,"United States<sup>b</sup> -> Idaho -> Agriculture, Department of",United States<sup>b</sup>,Idaho,"Agriculture, Department of",3,900539,1300,899239,0
5213,r113,United States<sup>b</sup> -> Idaho -> Alfalfa and Clover Seed Commission,United States<sup>b</sup>,Idaho,Alfalfa and Clover Seed Commission,3,1500,0,1500,0
5213,r114,United States<sup>b</sup> -> Idaho -> Barley Commission,United States<sup>b</sup>,Idaho,Barley Commission,3,238859,0,238859,5000
5213,r115,United States<sup>b</sup> -> Idaho -> Bean Commission,United States<sup>b</sup>,Idaho,Bean Commission,3,28220,0,28220,0
5213,r116,United States<sup>b</sup> -> Idaho -> Beef Council,United States<sup>b</sup>,Idaho,Beef Council,3,88187,0,88187,0
5213,r117,"United States<sup>b</sup> -> Idaho -> Commerce, Department of ",United States<sup>b</sup>,Idaho,"Commerce, Department of ",3,953711,0,953711,0
5213,r118,United States<sup>b</sup> -> Idaho -> Dairy West,United States<sup>b</sup>,Idaho,Dairy West,3,2900000,0,2900000,0
5213,r119,"United States<sup>b</sup> -> Idaho -> Environmental Quality, Department of",United States<sup>b</sup>,Idaho,"Environmental Quality, Department of",3,450000,0,450000,0
5213,r120,"United States<sup>b</sup> -> Idaho -> Fish and Game, Department of",United States<sup>b</sup>,Idaho,"Fish and Game, Department of",3,10381981,7845168,2536813,0
5213,r121,United States<sup>b</sup> -> Idaho -> Honey Commission,United States<sup>b</sup>,Idaho,Honey Commission,3,1500,0,1500,0
5213,r122,United States<sup>b</sup> -> Idaho -> Oilseed Commission,United States<sup>b</sup>,Idaho,Oilseed Commission,3,62000,0,62000,0
5213,r123,United States<sup>b</sup> -> Idaho -> Pea and Lentil Commission,United States<sup>b</sup>,Idaho,Pea and Lentil Commission,3,73418,0,73418,0
5213,r124,United States<sup>b</sup> -> Idaho -> Potato Commission,United States<sup>b</sup>,Idaho,Potato Commission,3,1596042,0,1596042,0
5213,r125,United States<sup>b</sup> -> Idaho -> Transportation Department,United States<sup>b</sup>,Idaho,Transportation Department,3,3069711,121417,2948294,0
5213,r126,United States<sup>b</sup> -> Idaho -> Wheat Commission,United States<sup>b</sup>,Idaho,Wheat Commission,3,1137308,0,1137308,0
5213,r127,United States<sup>b</sup> -> Illinois,United States<sup>b</sup>,Illinois,,2,16055917,626262,15429655,0
5213,r128,"United States<sup>b</sup> -> Illinois -> Children and Family Services, Department of",United States<sup>b</sup>,Illinois,"Children and Family Services, Department of",3,2559932,0,2559932,0
5213,r129,"United States<sup>b</sup> -> Illinois -> Human Services, Department of",United States<sup>b</sup>,Illinois,"Human Services, Department of",3,244978,0,244978,0
5213,r130,United States<sup>b</sup> -> Illinois -> Nutrient Research and Education,United States<sup>b</sup>,Illinois,Nutrient Research and Education,3,3140385,0,3140385,0
5213,r131,"United States<sup>b</sup> -> Illinois -> Public Health, Department of",United States<sup>b</sup>,Illinois,"Public Health, Department of",3,399924,0,399924,0
5213,r132,"United States<sup>b</sup> -> Illinois -> Transportation, Department of",United States<sup>b</sup>,Illinois,"Transportation, Department of",3,9710698,626262,9084436,0
5213,r133,United States<sup>b</sup> -> Indiana,United States<sup>b</sup>,Indiana,,2,9591408,92268,9499140,0
5213,r134,United States<sup>b</sup> -> Indiana -> Economic Development Corporation,United States<sup>b</sup>,Indiana,Economic Development Corporation,3,595000,0,595000,0
5213,r135,"United States<sup>b</sup> -> Indiana -> Environmental Management, Department of",United States<sup>b</sup>,Indiana,"Environmental Management, Department of",3,56764,0,56764,0
5213,r136,"United States<sup>b</sup> -> Indiana -> Natural Resources, Department of",United States<sup>b</sup>,Indiana,"Natural Resources, Department of",3,100000,0,100000,0
5213,r137,United States<sup>b</sup> -> Indiana -> St. Joseph River Basin Commission,United States<sup>b</sup>,Indiana,St. Joseph River Basin Commission,3,105000,5000,100000,0
5213,r138,"United States<sup>b</sup> -> Indiana -> Transportation, Department of",United States<sup>b</sup>,Indiana,"Transportation, Department of",3,8734644,87268,8647376,0
5213,r139,United States<sup>b</sup> -> Iowa,United States<sup>b</sup>,Iowa,,2,12348062,3430444,8917618,0
5213,r140,United States<sup>b</sup> -> Iowa -> Beef Industry Council,United States<sup>b</sup>,Iowa,Beef Industry Council,3,60000,0,60000,0
5213,r141,United States<sup>b</sup> -> Iowa -> Corrections,United States<sup>b</sup>,Iowa,Corrections,3,470931,470931,0,0
5213,r142,"United States<sup>b</sup> -> Iowa -> Human Rights, Criminal and Juvenile Justice Planning, Division of, Department of",United States<sup>b</sup>,Iowa,"Human Rights, Criminal and Juvenile Justice Planning, Division of, Department of",3,417493,417493,0,0
5213,r143,"United States<sup>b</sup> -> Iowa -> Natural Resources, Department of",United States<sup>b</sup>,Iowa,"Natural Resources, Department of",3,4170756,2542020,1628736,0
5213,r144,"United States<sup>b</sup> -> Iowa -> Transportation, Department of",United States<sup>b</sup>,Iowa,"Transportation, Department of",3,7228882,0,7228882,0
5213,r145,United States<sup>b</sup> -> Kansas,United States<sup>b</sup>,Kansas,,2,13152904,999734,12153170,0
5213,r146,United States<sup>b</sup> -> Kansas -> Corn Commission,United States<sup>b</sup>,Kansas,Corn Commission,3,871765,0,871765,0
5213,r147,United States<sup>b</sup> -> Kansas -> Grain Sorghum Commission,United States<sup>b</sup>,Kansas,Grain Sorghum Commission,3,445300,0,445300,0
5213,r148,United States<sup>b</sup> -> Kansas -> Soybean Commission,United States<sup>b</sup>,Kansas,Soybean Commission,3,1200000,0,1200000,0
5213,r149,United States<sup>b</sup> -> Kansas -> State Board of Regents,United States<sup>b</sup>,Kansas,State Board of Regents,3,998756,5491,993265,0
5213,r150,United States<sup>b</sup> -> Kansas -> Sunflower Commission,United States<sup>b</sup>,Kansas,Sunflower Commission,3,20000,0,20000,0
5213,r151,"United States<sup>b</sup> -> Kansas -> Transportation, Department of",United States<sup>b</sup>,Kansas,"Transportation, Department of",3,3637912,937241,2700671,0
5213,r152,United States<sup>b</sup> -> Kansas -> Water Office,United States<sup>b</sup>,Kansas,Water Office,3,429361,57002,372359,0
5213,r153,United States<sup>b</sup> -> Kansas -> Wheat Commission,United States<sup>b</sup>,Kansas,Wheat Commission,3,1138289,0,1138289,0
5213,r154,"United States<sup>b</sup> -> Kansas -> Wildlife, Parks, and Tourism, Department of",United States<sup>b</sup>,Kansas,"Wildlife, Parks, and Tourism, Department of",3,4411521,0,4411521,0
