table_id,row_id,position_and_degree_field_full_path,position_and_degree_field_level_1,position_and_degree_field_level_2,position_and_degree_field_hierarchy_depth,field_all_s_e_doctorate_holders,field_native_born_u_s_citizens,field_foreign_born_naturalized_u_s_citizens,field_foreign_born_noncitizens
4407,r001,All positions,All positions,,1,350.4,234.9,67.2,48.4
4407,r002,All positions -> Physical sciences,All positions,Physical sciences,2,49.8,32.9,9.2,7.8
4407,r003,All positions -> Mathematics and statistics,All positions,Mathematics and statistics,2,20.6,11.1,5.7,3.9
4407,r004,All positions -> Computer and information sciences,All positions,Computer and information sciences,2,10.8,4.8,3.3,2.7
4407,r005,All positions -> Life sciences,All positions,Life sciences,2,119.8,85.2,19.4,15.2
4407,r006,All positions -> Psychology,All positions,Psychology,2,39.8,33.6,4.5,1.7
4407,r007,All positions -> Social sciences,All positions,Social sciences,2,64.8,47.4,10.8,6.7
4407,r008,All positions -> Engineering,All positions,Engineering,2,45.0,20.0,14.5,10.6
4407,r009,Full-time faculty<sup>a</sup>,Full-time faculty<sup>a</sup>,,1,246.8,168.1,51.0,27.8
4407,r010,Full-time faculty<sup>a</sup> -> Physical sciences,Full-time faculty<sup>a</sup>,Physical sciences,2,33.0,22.7,6.7,3.6
4407,r011,Full-time faculty<sup>a</sup> -> Mathematics and statistics,Full-time faculty<sup>a</sup>,Mathematics and statistics,2,16.3,8.9,4.5,2.9
4407,r012,Full-time faculty<sup>a</sup> -> Computer and information sciences,Full-time faculty<sup>a</sup>,Computer and information sciences,2,8.6,3.8,2.9,1.9
4407,r013,Full-time faculty<sup>a</sup> -> Life sciences,Full-time faculty<sup>a</sup>,Life sciences,2,77.1,57.6,13.2,6.3
4407,r014,Full-time faculty<sup>a</sup> -> Psychology,Full-time faculty<sup>a</sup>,Psychology,2,27.9,23.7,3.2,1.1
4407,r015,Full-time faculty<sup>a</sup> -> Social sciences,Full-time faculty<sup>a</sup>,Social sciences,2,50.4,36.6,8.7,5.1
4407,r016,Full-time faculty<sup>a</sup> -> Engineering,Full-time faculty<sup>a</sup>,Engineering,2,33.4,14.7,11.9,6.8
4407,r017,Postdoctorates,Postdoctorates,,1,18.6,8.7,1.3,8.7
4407,r018,Postdoctorates -> Physical sciences,Postdoctorates,Physical sciences,2,3.6,1.5,0.2,2.0
4407,r019,Postdoctorates -> Mathematics and statistics,Postdoctorates,Mathematics and statistics,2,0.7,0.3,s,0.4
4407,r020,Postdoctorates -> Computer and information sciences,Postdoctorates,Computer and information sciences,2,0.2,s,s,0.1
4407,r021,Postdoctorates -> Life sciences,Postdoctorates,Life sciences,2,10.5,5.5,0.7,4.3
4407,r022,Postdoctorates -> Psychology,Postdoctorates,Psychology,2,0.8,0.6,s,0.2
4407,r023,Postdoctorates -> Social sciences,Postdoctorates,Social sciences,2,0.5,0.4,0.1,0.1
4407,r024,Postdoctorates -> Engineering,Postdoctorates,Engineering,2,2.3,0.5,0.2,1.6
4407,r025,Other positions<sup>b</sup>,Other positions<sup>b</sup>,,1,85.0,58.1,15.0,11.9
4407,r026,Other positions<sup>b</sup> -> Physical sciences,Other positions<sup>b</sup>,Physical sciences,2,13.3,8.7,2.4,2.2
4407,r027,Other positions<sup>b</sup> -> Mathematics and statistics,Other positions<sup>b</sup>,Mathematics and statistics,2,3.6,1.9,1.1,0.6
4407,r028,Other positions<sup>b</sup> -> Computer and information sciences,Other positions<sup>b</sup>,Computer and information sciences,2,1.9,0.9,0.4,0.7
4407,r029,Other positions<sup>b</sup> -> Life sciences,Other positions<sup>b</sup>,Life sciences,2,32.2,22.1,5.5,4.6
4407,r030,Other positions<sup>b</sup> -> Psychology,Other positions<sup>b</sup>,Psychology,2,11.0,9.4,1.2,0.4
4407,r031,Other positions<sup>b</sup> -> Social sciences,Other positions<sup>b</sup>,Social sciences,2,13.9,10.4,2.1,1.4
4407,r032,Other positions<sup>b</sup> -> Engineering,Other positions<sup>b</sup>,Engineering,2,9.3,4.8,2.5,2.1
