table_id,row_id,_b_ethnicity_race_and_citizenship_status_b_full_path,_b_ethnicity_race_and_citizenship_status_b_level_1,_b_ethnicity_race_and_citizenship_status_b_level_2,_b_ethnicity_race_and_citizenship_status_b_level_3,_b_ethnicity_race_and_citizenship_status_b_level_4,_b_ethnicity_race_and_citizenship_status_b_hierarchy_depth,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022,field_2023
11648,r001,Male doctorate recipients,Male doctorate recipients,,,,1,28326,29008,29532,29572,29442,29742,30105,29844,28045,30457,30356
11648,r002,Male doctorate recipients -> U.S. citizen or permanent resident,Male doctorate recipients,U.S. citizen or permanent resident,,,2,16550,16660,17218,17530,17561,17312,17258,16769,15304,16756,16669
11648,r003,Male doctorate recipients -> Temporary visa holder,Male doctorate recipients,Temporary visa holder,,,2,10103,10204,10395,10671,10601,11308,11767,11868,11475,12359,12194
11648,r004,Male doctorate recipients -> Unknown citizenship,Male doctorate recipients,Unknown citizenship,,,2,1673,2144,1919,1371,1280,1122,1080,1207,1266,1342,1493
11648,r005,Male doctorate recipients -> Hispanic or Latino,Male doctorate recipients,Hispanic or Latino,,,2,1523,1588,1758,1766,1804,1865,2011,2047,2017,2288,2383
11648,r006,Male doctorate recipients -> Hispanic or Latino -> U.S. citizen or permanent resident,Male doctorate recipients,Hispanic or Latino,U.S. citizen or permanent resident,,3,905,999,1119,1134,1151,1196,1302,1266,1288,1513,1549
11648,r007,Male doctorate recipients -> Hispanic or Latino -> Temporary visa holder,Male doctorate recipients,Hispanic or Latino,Temporary visa holder,,3,612,580,634,630,634,666,706,778,726,773,827
11648,r008,Male doctorate recipients -> Hispanic or Latino -> Unknown citizenship,Male doctorate recipients,Hispanic or Latino,Unknown citizenship,,3,6,9,5,2,19,3,3,3,3,2,7
11648,r009,Male doctorate recipients -> Not Hispanic or Latino,Male doctorate recipients,Not Hispanic or Latino,,,2,,,,,,,,,,,
11648,r010,Male doctorate recipients -> Not Hispanic or Latino -> American Indian or Alaska Native,Male doctorate recipients,Not Hispanic or Latino,American Indian or Alaska Native,,3,62,54,64,63,49,44,58,39,40,43,43
11648,r011,Male doctorate recipients -> Not Hispanic or Latino -> American Indian or Alaska Native -> U.S. citizen or permanent resident,Male doctorate recipients,Not Hispanic or Latino,American Indian or Alaska Native,U.S. citizen or permanent resident,4,56,49,58,57,48,43,56,39,38,39,39
11648,r012,Male doctorate recipients -> Not Hispanic or Latino -> American Indian or Alaska Native -> Temporary visa holder<sup>a</sup>,Male doctorate recipients,Not Hispanic or Latino,American Indian or Alaska Native,Temporary visa holder<sup>a</sup>,4,,,,6,,,,0,,,
11648,r013,Male doctorate recipients -> Not Hispanic or Latino -> American Indian or Alaska Native -> Unknown citizenship,Male doctorate recipients,Not Hispanic or Latino,American Indian or Alaska Native,Unknown citizenship,4,,,,0,,,,0,,,
11648,r014,Male doctorate recipients -> Not Hispanic or Latino -> Asian,Male doctorate recipients,Not Hispanic or Latino,Asian,,3,8038,8091,8235,8538,8669,8902,9182,9187,8951,9855,9948
11648,r015,Male doctorate recipients -> Not Hispanic or Latino -> Asian -> U.S. citizen or permanent resident,Male doctorate recipients,Not Hispanic or Latino,Asian,U.S. citizen or permanent resident,4,1264,1243,1359,1432,1656,1562,1626,1532,1445,1714,1845
11648,r016,Male doctorate recipients -> Not Hispanic or Latino -> Asian -> Temporary visa holder,Male doctorate recipients,Not Hispanic or Latino,Asian,Temporary visa holder,4,6761,6842,6867,7081,6997,7315,7532,7636,7490,8132,8090
11648,r017,Male doctorate recipients -> Not Hispanic or Latino -> Asian -> Unknown citizenship,Male doctorate recipients,Not Hispanic or Latino,Asian,Unknown citizenship,4,13,6,9,25,16,25,24,19,16,9,13
11648,r018,Male doctorate recipients -> Not Hispanic or Latino -> Black or African American,Male doctorate recipients,Not Hispanic or Latino,Black or African American,,3,1101,1151,1113,1205,1204,1324,1260,1317,1249,1417,1452
11648,r019,Male doctorate recipients -> Not Hispanic or Latino -> Black or African American -> U.S. citizen or permanent resident,Male doctorate recipients,Not Hispanic or Latino,Black or African American,U.S. citizen or permanent resident,4,801,821,807,863,849,923,892,917,884,946,1006
11648,r020,Male doctorate recipients -> Not Hispanic or Latino -> Black or African American -> Temporary visa holder,Male doctorate recipients,Not Hispanic or Latino,Black or African American,Temporary visa holder,4,297,329,306,341,347,398,365,396,359,470,443
11648,r021,Male doctorate recipients -> Not Hispanic or Latino -> Black or African American -> Unknown citizenship,Male doctorate recipients,Not Hispanic or Latino,Black or African American,Unknown citizenship,4,3,1,0,1,8,3,3,4,6,1,3
11648,r022,Male doctorate recipients -> Not Hispanic or Latino -> White,Male doctorate recipients,Not Hispanic or Latino,White,,3,14608,14624,15101,15155,14949,14982,14883,14565,12915,13642,13104
11648,r023,Male doctorate recipients -> Not Hispanic or Latino -> White -> U.S. citizen or permanent resident,Male doctorate recipients,Not Hispanic or Latino,White,U.S. citizen or permanent resident,4,12582,12590,12978,13033,12665,12608,12363,12084,10713,11403,11109
11648,r024,Male doctorate recipients -> Not Hispanic or Latino -> White -> Temporary visa holder,Male doctorate recipients,Not Hispanic or Latino,White,Temporary visa holder,4,2005,2021,2101,2103,2247,2360,2477,2449,2186,2238,1988
11648,r025,Male doctorate recipients -> Not Hispanic or Latino -> White -> Unknown citizenship,Male doctorate recipients,Not Hispanic or Latino,White,Unknown citizenship,4,21,13,22,19,37,14,43,32,16,1,7
11648,r026,Male doctorate recipients -> Not Hispanic or Latino -> More than one race,Male doctorate recipients,Not Hispanic or Latino,More than one race,,3,432,451,436,511,517,556,588,606,548,624,649
11648,r027,Male doctorate recipients -> Not Hispanic or Latino -> More than one race -> U.S. citizen or permanent resident,Male doctorate recipients,Not Hispanic or Latino,More than one race,U.S. citizen or permanent resident,4,388,411,394,455,462,485,495,530,483,557,575
11648,r028,Male doctorate recipients -> Not Hispanic or Latino -> More than one race -> Temporary visa holder,Male doctorate recipients,Not Hispanic or Latino,More than one race,Temporary visa holder,4,44,40,42,56,,,,76,,,
11648,r029,Male doctorate recipients -> Not Hispanic or Latino -> More than one race -> Unknown citizenship,Male doctorate recipients,Not Hispanic or Latino,More than one race,Unknown citizenship,4,0,0,0,0,,,,0,,,
11648,r030,Male doctorate recipients -> Not Hispanic or Latino -> Other race or race not reported,Male doctorate recipients,Not Hispanic or Latino,Other race or race not reported,,3,243,249,291,278,476,528,521,478,615,570,658
