table_id,row_id,state_full_path,state_level_1,state_level_2,state_hierarchy_depth,field_total,field_paid_for_by_the_company,field_foreign_owner,field_another_u_s_company,field_other_businesses_outside_the_united_states,field_u_s_university_or_college,field_u_s_nonprofit_organization,field_u_s_federal_government,field_u_s_state_or_local_government,field_all_other_organizations_outside_the_united_states
5623,r026,All states -> Mississippi,All states,Mississippi,2,"['    3,905 ', '&nbsp;']","['D', '&nbsp;']","['    0 ', '&nbsp;']","['D', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['D', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
5623,r027,All states -> Missouri,All states,Missouri,2,"['    36,821 ', '&nbsp;']","['    28,715 ', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['D', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
5623,r028,All states -> Montana,All states,Montana,2,"['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['    0 ', '&nbsp;']"
5623,r029,All states -> Nebraska,All states,Nebraska,2,"['    12,892 ', '&nbsp;']","['D', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['D', '&nbsp;']","['    0 ', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['    0 ', '&nbsp;']"
5623,r030,All states -> Nevada,All states,Nevada,2,"['    27,720 ', '&nbsp;']","['    16,066 ', '&nbsp;']","['    0 ', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['D', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
5623,r031,All states -> New Hampshire,All states,New Hampshire,2,"['    35,638 ', 'r']","['    14,516 ', '&nbsp;']","['    0 ', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['D', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
5623,r032,All states -> New Jersey,All states,New Jersey,2,"['    62,644 ', '&nbsp;']","['    51,635 ', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['    0 ', '&nbsp;']","['D', '&nbsp;']","['    0 ', '&nbsp;']","['D', '&nbsp;']"
5623,r033,All states -> New Mexico,All states,New Mexico,2,"['    23,945 ', '&nbsp;']","['    15,991 ', '&nbsp;']","['    0 ', '&nbsp;']","['D', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
5623,r034,All states -> New York,All states,New York,2,"['    154,737 ', '&nbsp;']","['    107,332 ', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['    0 ', '&nbsp;']","['    35,155 ', '&nbsp;']","['D', '&nbsp;']","['    0 ', '&nbsp;']"
5623,r035,All states -> North Carolina,All states,North Carolina,2,"['    106,708 ', '&nbsp;']","['    86,708 ', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['    12,994 ', '&nbsp;']","['D', '&nbsp;']","['    0 ', '&nbsp;']"
