table_id,row_id,debt_level_and_broad_field_of_study_full_path,debt_level_and_broad_field_of_study_level_1,debt_level_and_broad_field_of_study_level_2,debt_level_and_broad_field_of_study_level_3,debt_level_and_broad_field_of_study_level_4,debt_level_and_broad_field_of_study_hierarchy_depth,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018
1767,r001,All doctorate recipients,All doctorate recipients,,,,1,45137,43898,44781,46490,46449,46819,48759,49767,49229,50094
1767,r002,All doctorate recipients -> No debt,All doctorate recipients,No debt,,,2,28442,28105,28663,29297,28883,29333,30891,31978,32606,33877
1767,r003,"All doctorate recipients -> $10,000 or less",All doctorate recipients,"$10,000 or less",,,2,3915,3510,3697,4030,3931,3842,4190,4069,3799,3839
1767,r004,"All doctorate recipients -> $10,001&#8211;$30,000",All doctorate recipients,"$10,001&#8211;$30,000",,,2,4582,4238,4314,4565,4609,4435,4464,4376,3896,3727
1767,r005,"All doctorate recipients -> $30,001 or more",All doctorate recipients,"$30,001 or more",,,2,8198,8045,8107,8598,9026,9209,9214,9344,8928,8651
1767,r006,All doctorate recipients -> Life sciences<sup>a</sup>,All doctorate recipients,Life sciences<sup>a</sup>,,,2,10507,10466,10673,11115,10867,10917,11306,11633,11616,11798
1767,r007,All doctorate recipients -> Life sciences<sup>a</sup> -> No debt,All doctorate recipients,Life sciences<sup>a</sup>,No debt,,3,7158,7268,7451,7658,7318,7427,7812,8098,8214,8402
1767,r008,"All doctorate recipients -> Life sciences<sup>a</sup> -> $10,000 or less",All doctorate recipients,Life sciences<sup>a</sup>,"$10,000 or less",,3,930,849,853,943,904,860,941,913,913,879
1767,r009,"All doctorate recipients -> Life sciences<sup>a</sup> -> $10,001&#8211;$30,000",All doctorate recipients,Life sciences<sup>a</sup>,"$10,001&#8211;$30,000",,3,1019,944,909,1001,1016,997,943,940,817,817
1767,r010,"All doctorate recipients -> Life sciences<sup>a</sup> -> $30,001 or more",All doctorate recipients,Life sciences<sup>a</sup>,"$30,001 or more",,3,1400,1405,1460,1513,1629,1633,1610,1682,1672,1700
1767,r011,All doctorate recipients -> Life sciences<sup>a</sup> -> Physical sciences and earth sciences,All doctorate recipients,Life sciences<sup>a</sup>,Physical sciences and earth sciences,,3,4749,4629,4900,5009,5005,5203,5328,5748,5626,5873
