table_id,row_id,abbreviation,degree_title
1031,r001,PhD,Doctor of Philosophy
1031,r002,DA,Doctor of Arts
1031,r003,DBA ,Doctor of Business Administration
1031,r004,DDes,Doctor of Design
1031,r005,"DEng, DESc, DES",Doctor of Engineering or Engineering Science
1031,r006,DFA ,Doctor of Fine Arts
1031,r007,DHL ,Doctor of Hebrew Letters
1031,r008,DMA ,Doctor of Musical Arts
1031,r009,DME ,Doctor of Music Education
1031,r010,DML ,Doctor of Modern Languages
1031,r011,DNSc ,Doctor of Nursing Science
1031,r012,DPH ,Doctor of Public Health
1031,r013,"DSc, ScD ",Doctor of Science
1031,r014,EdD ,Doctor of Education
1031,r015,JCD ,Doctor of Canon Law
1031,r016,"JSD, SJD ",Doctor of Juridical Science
1031,r017,STD ,Doctor of Sacred Theology
1031,r018,ThD ,Doctor of Theology
