table_id,row_id,_b_fy_2020_survey_b_full_path,_b_fy_2020_survey_b_level_1,_b_fy_2020_survey_b_level_2,_b_fy_2020_survey_b_hierarchy_depth,field_fy_2021_survey
7921,r001,A. T. Still U.,A. T. Still U.,,1,A. T. Still U. of Health Sciences
7921,r002,Carlos Albizu U.,Carlos Albizu U.,,1,Albizu U.
7921,r003,Cooper Union for the Advancement of Science and Art,Cooper Union for the Advancement of Science and Art,,1,Cooper Union
7921,r004,Hartford Seminary,Hartford Seminary,,1,Hartford International U. for Religion and Peace
7921,r005,Linfield C.,Linfield C.,,1,Linfield U.
7921,r006,"Saint John's U., Collegeville","Saint John's U., Collegeville",,1,Saint John's U.
7921,r007,"St. Thomas U., Miami Gardens","St. Thomas U., Miami Gardens",,1,St. Thomas U.
7921,r008,"SUNY, Downstate Medical Center","SUNY, Downstate Medical Center",,1,"SUNY, Downstate Health Sciences U."
7921,r009,U. Colorado Denver and Anschutz Medical Campus,U. Colorado Denver and Anschutz Medical Campus,,1,Multiple campuses
7921,r010,,,,1,U. Colorado Anschutz Medical Campus
7921,r011,,,,1,U. Colorado Denver
7921,r012,Multiple campuses,Multiple campuses,,1,U. South Florida
7921,r013,"Multiple campuses -> U. South Florida, Sarasota-Manatee",Multiple campuses,"U. South Florida, Sarasota-Manatee",2,
7921,r014,"Multiple campuses -> U. South Florida, Saint Petersburg",Multiple campuses,"U. South Florida, Saint Petersburg",2,
7921,r015,"Multiple campuses -> U. South Florida, Tampa",Multiple campuses,"U. South Florida, Tampa",2,
