table_id,row_id,indicator_and_highest_degree_level_full_path,indicator_and_highest_degree_level_level_1,indicator_and_highest_degree_level_level_2,indicator_and_highest_degree_level_level_3,indicator_and_highest_degree_level_hierarchy_depth,field_all_s_e_fields,field_biological_agricultural_and_environmental_life_sciences,field_computer_and_mathematical_sciences,field_physical_sciences,field_social_sciences,field_engineering
1611,r001,Unemployment rate (%),Unemployment rate (%),,,1,,,,,,
1611,r002,Unemployment rate (%) -> All degree levels,Unemployment rate (%),All degree levels,,2,4.5,5.1,3.9,1.7,5.1,4.3
1611,r003,Unemployment rate (%) -> All degree levels -> Bachelor&#8217;s,Unemployment rate (%),All degree levels,Bachelor&#8217;s,3,5.0,6.3,2.6,s,5.6,5.4
1611,r004,Unemployment rate (%) -> All degree levels -> Master&#8217;s,Unemployment rate (%),All degree levels,Master&#8217;s,3,3.2,s,s,s,3.8,s
1611,r005,Unemployment rate (%) -> All degree levels -> Doctorate,Unemployment rate (%),All degree levels,Doctorate,3,2.8,s,s,s,s,s
1611,r006,Involuntarily out-of-field rate (%),Involuntarily out-of-field rate (%),,,1,,,,,,
1611,r007,Involuntarily out-of-field rate (%) -> All degree levels,Involuntarily out-of-field rate (%),All degree levels,,2,9.9,10.4,3.1,10.5,16.7,1.9
1611,r008,Involuntarily out-of-field rate (%) -> All degree levels -> Bachelor&#8217;s,Involuntarily out-of-field rate (%),All degree levels,Bachelor&#8217;s,3,12.8,13.2,s,15.3,19.6,2.5
1611,r009,Involuntarily out-of-field rate (%) -> All degree levels -> Master&#8217;s,Involuntarily out-of-field rate (%),All degree levels,Master&#8217;s,3,4.0,4.1,1.2,s,8.7,1.2
1611,r010,Involuntarily out-of-field rate (%) -> All degree levels -> Doctorate,Involuntarily out-of-field rate (%),All degree levels,Doctorate,3,0.6,s,s,s,s,s
1611,r011,Median annual salary ($),Median annual salary ($),,,1,,,,,,
1611,r012,Median annual salary ($) -> All degree levels,Median annual salary ($),All degree levels,,2,43000,34000,70000,37000,36000,68000
1611,r013,Median annual salary ($) -> All degree levels -> Bachelor&#8217;s,Median annual salary ($),All degree levels,Bachelor&#8217;s,3,37000,32000,55000,32000,33000,63000
1611,r014,Median annual salary ($) -> All degree levels -> Master&#8217;s,Median annual salary ($),All degree levels,Master&#8217;s,3,62000,41000,80000,39000,42000,79000
1611,r015,Median annual salary ($) -> All degree levels -> Doctorate,Median annual salary ($),All degree levels,Doctorate,3,70000,55000,108000,64000,70000,90000
