table_id,row_id,_b_field_b_full_path,_b_field_b_level_1,_b_field_b_level_2,_b_field_b_level_3,_b_field_b_level_4,_b_field_b_hierarchy_depth,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021
7952,r001,All R&D fields,All R&D fields,,,,1,37477582,40768251,40142223,39445931,37961118,37846802,38788615,40248750,41861164,44461456,46114365,49143460
7952,r002,All R&D fields -> Science,All R&D fields,Science,,,2,30791579,33373047,32497010,31764798,30400058,30316969,31093059,32204140,33519672,35550465,36757298,39063689
7952,r003,All R&D fields -> Science -> Computer and information sciences,All R&D fields,Science,Computer and information sciences,,3,1175343,1294280,1360430,1552300,1390677,1419654,1443376,1497640,1630076,1794570,2000015,1994728
7952,r004,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",,3,2013754,2181206,2203399,2094769,2049449,2065928,1991778,2042334,2048305,2067239,2109698,2145163
7952,r005,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric science and meteorology",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric science and meteorology,4,338687,383740,389095,397620,389370,453694,513280,503368,485737,460463,470998,484265
7952,r006,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geological and earth sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Geological and earth sciences,4,735094,799906,818785,767849,740590,699066,604474,685673,697973,676590,697295,772157
7952,r007,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean sciences and marine sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Ocean sciences and marine sciences,4,666930,705852,673888,662219,663049,647098,665139,656802,649212,698401,713454,640634
7952,r008,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences nec",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences nec",4,273043,291708,321631,267081,256440,266070,208885,196491,215383,231785,227951,248107
7952,r009,All R&D fields -> Science -> Life sciences,All R&D fields,Science,Life sciences,,3,21702125,23663408,22753602,22227173,21270352,21163876,21795284,22749784,23864977,25436404,26232263,28452956
7952,r010,All R&D fields -> Science -> Life sciences -> Agricultural sciences,All R&D fields,Science,Life sciences,Agricultural sciences,4,957710,1042740,1137729,1111006,1084890,1096949,977258,978308,950634,989763,1073804,1099585
7952,r011,All R&D fields -> Science -> Life sciences -> Biological and biomedical sciences,All R&D fields,Science,Life sciences,Biological and biomedical sciences,4,7579196,8213534,7741440,7604784,7238875,7103719,7699352,8180020,8572395,9261709,9338221,10001728
7952,r012,All R&D fields -> Science -> Life sciences -> Health sciences,All R&D fields,Science,Life sciences,Health sciences,4,12068659,13184595,12681515,12287305,11742489,11722981,12101391,12688025,13393534,14173989,14707735,16138445
