table_id,row_id,_b_state_b_full_path,_b_state_b_level_1,_b_state_b_level_2,_b_state_b_hierarchy_depth,field_fy_2020,field_fy_2021,field_fy_2022
12384,r001,All states,All states,,1,"['3,153,781', '  ']","['3,790,460', '  ']","['3,258,449', '  ']"
12384,r002,All states -> Alabama,All states,Alabama,2,"['12,630', '  ']","['6,900', '  ']","['1,453', '  ']"
12384,r003,All states -> Alaska,All states,Alaska,2,"['7,367', '  ']","['7,217', '  ']","['7,441', '  ']"
12384,r004,All states -> Arizona,All states,Arizona,2,"['95,978', '  ']","['103,478', '  ']","['96,304', '  ']"
12384,r005,All states -> Arkansas,All states,Arkansas,2,"['5,563', '  ']","['9,338', '  ']","['9,371', '  ']"
12384,r006,All states -> California,All states,California,2,"['327,719', '  ']","['348,896', '  ']","['332,058', '  ']"
12384,r007,All states -> Colorado,All states,Colorado,2,"['102,229', '  ']","['103,205', '  ']","['122,087', '  ']"
12384,r008,All states -> Connecticut,All states,Connecticut,2,"['12,252', '  ']","['21,248', '  ']","['11,234', '  ']"
12384,r009,All states -> Delaware,All states,Delaware,2,"['S', '&nbsp;']","['S', '&nbsp;']","['S', '&nbsp;']"
12384,r010,All states -> District of Columbia,All states,District of Columbia,2,"['22,897', '  ']","['18,744', '  ']","['21,156', '  ']"
12384,r011,All states -> Florida,All states,Florida,2,"['42,139', '  ']","['162,755', '  ']","['158,937', '  ']"
12384,r012,All states -> Georgia,All states,Georgia,2,"['83,527', '  ']","['65,091', '  ']","['61,074', '  ']"
12384,r013,All states -> Hawaii,All states,Hawaii,2,"['13,034', '  ']","['11,844', '  ']","['2,690', '  ']"
12384,r014,All states -> Idaho,All states,Idaho,2,"['19,401', '  ']","['19,090', '  ']","['20,022', '  ']"
12384,r015,All states -> Illinois,All states,Illinois,2,"['42,502', '  ']","['106,346', '  ']","['105,461', '  ']"
12384,r016,All states -> Indiana,All states,Indiana,2,"['54,589', '  ']","['50,352', '  ']","['15,929', '  ']"
12384,r017,All states -> Iowa,All states,Iowa,2,"['5,152', '  ']","['6,246', '  ']","['140', '  ']"
12384,r018,All states -> Kansas,All states,Kansas,2,"['1,855', '  ']","['8,892', '  ']","['192', '  ']"
12384,r019,All states -> Kentucky,All states,Kentucky,2,"['11,336', '  ']","['12,723', '  ']","['11,489', '  ']"
12384,r020,All states -> Louisiana,All states,Louisiana,2,"['30,717', 'i ']","['12,331', '  ']","['46,519', '  ']"
12384,r021,All states -> Maine,All states,Maine,2,"['31,831', '  ']","['31,129', '  ']","['34,198', '  ']"
12384,r022,All states -> Maryland,All states,Maryland,2,"['53,345', '  ']","['44,202', '  ']","['47,219', '  ']"
12384,r023,All states -> Massachusetts,All states,Massachusetts,2,"['156,581', '  ']","['178,004', '  ']","['181,504', '  ']"
12384,r024,All states -> Michigan,All states,Michigan,2,"['93,527', '  ']","['224,635', '  ']","['191,008', '  ']"
12384,r025,All states -> Minnesota,All states,Minnesota,2,"['180,654', '  ']","['171,767', '  ']","['161,309', '  ']"
12384,r026,All states -> Mississippi,All states,Mississippi,2,"['675', '  ']","['479', '  ']","['421', '  ']"
12384,r027,All states -> Missouri,All states,Missouri,2,"['83,994', '  ']","['26,657', '  ']","['85,567', '  ']"
12384,r028,All states -> Montana,All states,Montana,2,"['2,982', '  ']","['3,270', '  ']","['4,201', '  ']"
12384,r029,All states -> Nebraska,All states,Nebraska,2,"['9,674', '  ']","['3,557', '  ']","['7,219', '  ']"
12384,r030,All states -> Nevada,All states,Nevada,2,"['117', '  ']","['9,184', '  ']","['8,602', '  ']"
12384,r031,All states -> New Hampshire,All states,New Hampshire,2,"['13,276', '  ']","['11,926', '  ']","['13,051', '  ']"
12384,r032,All states -> New Jersey,All states,New Jersey,2,"['52,607', '  ']","['116,454', '  ']","['41,802', '  ']"
12384,r033,All states -> New Mexico,All states,New Mexico,2,"['1,345', '  ']","['430', '  ']","['216', '  ']"
12384,r034,All states -> New York,All states,New York,2,"['252,595', '  ']","['236,299', '  ']","['223,477', '  ']"
12384,r035,All states -> North Carolina,All states,North Carolina,2,"['38,897', '  ']","['25,451', '  ']","['45,742', '  ']"
12384,r036,All states -> North Dakota,All states,North Dakota,2,"['476', '  ']","['66', '  ']","['87', '  ']"
