table_id,row_id,indicators_2020_,chinaa,oecd_and_eurostat_isced_1997_2012_and_earlier_,oecd_and_eurostat_isced_f_2013_2013_and_later_,taiwan
1555,r001,Physical and biological sciences and mathematics and statistics,Science,42 Life sciences,"05 Natural sciences, mathematics, and statistics",Life sciences
1555,r002,,,44 Physical sciences,,Natural science
1555,r003,,,46 Mathematics and statistics,,Mathematics and statistics
1555,r004,Computer sciences,NA,48 Computing ,06 Information and communication technologies,Computer sciences
1555,r005,Agricultural sciences,Agricultural sciences,6 Agriculture,"08 Agriculture, forestry, fisheries, and veterinary",Agricultural science
1555,r006,Social and behavioral sciences,Economics,"31 Social and behavioral science ","03 Social sciences, journalism and information",Social and behavioral science
1555,r007,,,32 Journalism and information,,
1555,r008,Engineering,Engineering,"5 Engineering, manufacturing, and construction","07 Engineering, manufacturing, and construction",Engineering
