table_id,row_id,_b_field_and_research_animal_space_b_full_path,_b_field_and_research_animal_space_b_level_1,_b_field_and_research_animal_space_b_level_2,_b_field_and_research_animal_space_b_hierarchy_depth,field_started_in_fy_2006_or_fy_2007,field_started_in_fy_2008_or_fy_2009,field_started_in_fy_2010_or_fy_2011,field_started_in_fy_2012_or_fy_2013,field_started_in_fy_2014_or_fy_2015,field_started_in_fy_2016_or_fy_2017,field_started_in_fy_2018_or_fy_2019,field_started_in_fy_2020_or_fy_2021,field_started_in_fy_2022_or_fy_2023,field_planned_to_start_in_fy_2024_or_fy_2025,field_deferred_projects_included_in_institutional_plan,field_deferred_projects_not_included_in_institutional_plan
12860,r001,All research space,All research space,,1,3361.6,3015.8,3508.9,3745.9,4133.4,5079.5,5483.4,4902.6,6555.6,7565.1,9389.5,5228.4
12860,r002,All research space -> Agricultural sciences,All research space,Agricultural sciences,2,107.1,144.8,87.8,147.4,55.0,135.5,196.1,237.8,252.9,545.3,532.6,201.1
12860,r003,All research space -> Biological and biomedical sciences,All research space,Biological and biomedical sciences,2,867.6,1061.1,1317.0,1089.2,1005.2,1301.4,1745.2,1608.6,1937.8,2308.1,2279.4,1177.9
12860,r004,All research space -> Computer and information sciences,All research space,Computer and information sciences,2,59.2,34.2,48.3,60.2,42.5,149.3,110.6,161.7,146.9,493.4,89.4,65.7
12860,r005,All research space -> Engineering,All research space,Engineering,2,235.9,438.8,434.3,592.4,707.3,1002.3,757.7,732.3,1040.2,932.9,2011.8,1112.7
12860,r006,"All research space -> Geosciences, atmospheric sciences, and ocean sciences",All research space,"Geosciences, atmospheric sciences, and ocean sciences",2,88.0,78.3,146.5,109.8,150.4,210.8,237.4,155.1,175.3,150.2,366.5,303.4
12860,r007,All research space -> Health sciences,All research space,Health sciences,2,1408.5,702.4,774.8,983.5,1023.9,1250.0,1376.7,1052.2,1326.3,1535.1,1716.4,937.1
12860,r008,All research space -> Mathematics and statistics,All research space,Mathematics and statistics,2,13.3,10.7,39.6,54.1,52.5,28.4,14.7,78.5,56.3,55.7,46.5,18.7
12860,r009,All research space -> Natural resources and conservation,All research space,Natural resources and conservation,2,na,na,na,na,43.0,31.7,73.0,84.8,79.9,93.4,179.5,198.2
12860,r010,All research space -> Physical sciences,All research space,Physical sciences,2,410.2,408.7,361.1,531.6,786.2,739.7,526.1,532.8,1026.3,966.0,1328.7,673.3
12860,r011,All research space -> Psychology,All research space,Psychology,2,77.8,47.5,100.6,65.6,113.1,67.6,139.1,50.5,191.0,95.6,318.2,138.7
12860,r012,All research space -> Social sciences,All research space,Social sciences,2,42.3,45.0,95.7,89.1,134.8,60.7,199.5,111.8,224.1,208.1,422.5,211.9
12860,r013,All research space -> Other fields of S&E,All research space,Other fields of S&E,2,51.6,44.3,103.2,22.8,19.4,102.2,107.5,96.3,98.5,181.2,98.1,189.7
12860,r014,All research space -> Research animal space<sup>a</sup>,All research space,Research animal space<sup>a</sup>,2,178.6,285.1,na,na,na,na,na,na,na,na,na,na
