table_id,row_id,institution_type_and_field_full_path,institution_type_and_field_level_1,institution_type_and_field_level_2,institution_type_and_field_level_3,institution_type_and_field_level_4,institution_type_and_field_level_5,institution_type_and_field_level_6,institution_type_and_field_hierarchy_depth,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018
3253,r001,Number,Number,,,,,,1,,,,,,,,,,,
3253,r002,All institutions,All institutions,,,,,,1,,,,,,,,,,,
3253,r003,All institutions -> All fields                       ,All institutions,All fields                       ,,,,,2,10768,11407,11485,11126,10740,10768,10211,9697,9316,9194,8838
3253,r004,All institutions -> All fields                        -> S&E,All institutions,All fields                       ,S&E,,,,3,3392,3564,3624,3445,3411,3446,3192,2972,2930,2844,2844
3253,r005,All institutions -> All fields                        -> S&E -> Science,All institutions,All fields                       ,S&E,Science,,,4,3048,3217,3258,3123,3102,3090,2872,2656,2616,2549,2486
3253,r006,All institutions -> All fields                        -> S&E -> Science -> Agricultural sciences,All institutions,All fields                       ,S&E,Science,Agricultural sciences,,5,172,207,175,182,213,225,193,206,182,205,231
3253,r007,All institutions -> All fields                        -> S&E -> Science -> Biological sciences,All institutions,All fields                       ,S&E,Science,Biological sciences,,5,508,577,550,546,576,528,493,435,473,452,452
3253,r008,All institutions -> All fields                        -> S&E -> Science -> Computer sciences,All institutions,All fields                       ,S&E,Science,Computer sciences,,5,221,213,248,226,231,267,278,281,229,255,250
3253,r009,"All institutions -> All fields                        -> S&E -> Science -> Earth, atmospheric, and ocean sciences",All institutions,All fields                       ,S&E,Science,"Earth, atmospheric, and ocean sciences",,5,28,29,44,31,47,33,43,44,36,37,46
3253,r010,All institutions -> All fields                        -> S&E -> Science -> Mathematics and statistics,All institutions,All fields                       ,S&E,Science,Mathematics and statistics,,5,73,71,76,84,58,77,61,68,51,61,61
3253,r011,All institutions -> All fields                        -> S&E -> Science -> Physical sciences,All institutions,All fields                       ,S&E,Science,Physical sciences,,5,107,134,108,102,87,103,109,77,91,75,85
3253,r012,All institutions -> All fields                        -> S&E -> Science -> Psychology,All institutions,All fields                       ,S&E,Science,Psychology,,5,637,632,748,651,711,672,660,601,629,609,547
3253,r013,All institutions -> All fields                        -> S&E -> Science -> Social sciences,All institutions,All fields                       ,S&E,Science,Social sciences,,5,1302,1354,1309,1301,1179,1185,1035,944,925,855,814
3253,r014,All institutions -> All fields                        -> S&E -> Engineering ,All institutions,All fields                       ,S&E,Engineering ,,,4,344,347,366,322,309,356,320,316,314,295,358
3253,r015,All institutions -> All fields                        -> Non-S&E,All institutions,All fields                       ,Non-S&E,,,,3,7376,7843,7861,7681,7329,7322,7019,6725,6386,6350,5994
3253,r016,All institutions -> Tribal colleges and universities,All institutions,Tribal colleges and universities,,,,,2,,,,,,,,,,,
3253,r017,All institutions -> Tribal colleges and universities -> All fields                       ,All institutions,Tribal colleges and universities,All fields                       ,,,,3,173,160,177,200,253,284,295,321,301,341,376
3253,r018,All institutions -> Tribal colleges and universities -> All fields                        -> S&E,All institutions,Tribal colleges and universities,All fields                       ,S&E,,,4,61,52,42,62,75,96,91,119,92,119,170
