table_id,row_id,institution,rank,totala,male,female
11707,r001,"U. Michigan, Ann Arbor",1,900,506,394
11707,r002,"U. California, Berkeley",2,834,488,346
11707,r003,"Purdue U., West Lafayette",3,810,510,300
11707,r004,"Texas A&M U., College Station",4,806,506,300
11707,r005,Stanford U.,5,799,474,325
11707,r006,"U. Texas, Austin",6,767,429,337
11707,r007,U. Wisconsin-Madison,7,761,412,349
11707,r008,"U. California, Los Angeles",8,749,410,339
11707,r009,"Ohio State U., Columbus",9,748,403,345
11707,r010,U. Florida,10,745,410,335
11707,r011,"U. Illinois, Urbana-Champaign",11,731,418,313
11707,r012,"U. Minnesota, Twin Cities",12,726,356,369
11707,r013,Harvard U.,13,725,380,345
11707,r014,"U. Washington, Seattle",14,710,356,354
11707,r015,Pennsylvania State U.,15,691,362,328
11707,r016,Massachusetts Institute of Technology,16,684,456,228
11707,r017,Walden U.,17,612,179,433
11707,r018,"U. California, Davis",18,609,315,294
11707,r019,Columbia U. in the City of New York,19,606,319,287
11707,r020,"U. Maryland, College Park",20,595,328,267
11707,r021,Cornell U.,21,549,318,231
11707,r022,"U. California, San Diego",22,537,334,203
11707,r023,North Carolina State U.,23,536,296,240
11707,r024,U. Southern California,24,535,312,223
11707,r025,Georgia Institute of Technology,25,531,367,164
11707,r026,Johns Hopkins U.,25,531,294,237
11707,r027,U. Georgia,27,528,222,306
11707,r028,"U. North Carolina, Chapel Hill",28,526,227,299
11707,r029,Michigan State U.,29,515,278,237
11707,r030,"Arizona State U., Tempe",30,510,285,225
11707,r031,U. Pennsylvania,31,508,278,230
11707,r032,Virginia Polytechnic Institute and State U.,32,502,288,214
11707,r033,Northwestern U.,33,473,241,232
11707,r034,"U. California, Irvine",34,471,264,207
11707,r035,U. Chicago,35,467,278,189
11707,r036,Princeton U.,36,445,265,180
11707,r037,U. Arizona,36,445,231,213
11707,r038,Yale U.,38,442,243,199
11707,r039,Duke U.,39,435,262,173
11707,r040,New York U.,39,435,244,190
11707,r041,"U. Pittsburgh, Pittsburgh",41,430,208,222
11707,r042,Texas Tech U.,42,417,203,214
11707,r043,U. Colorado Boulder,43,409,236,173
11707,r044,Iowa State U.,44,401,231,170
11707,r045,"Rutgers, State U. New Jersey, New Brunswick",44,401,190,211
11707,r046,Boston U.,46,392,205,187
11707,r047,Florida State U.,47,383,203,180
11707,r048,"U. Virginia, Charlottesville",48,380,200,180
11707,r049,"U. Tennessee, Knoxville",49,378,214,164
11707,r050,"Indiana U., Bloomington",50,376,198,178
