table_id,row_id,time_period,column_level_1,column_level_2,column_hierarchy_depth,value
7559,r001,Doctorate recipients reporting bachelor's degree,All fields,,1,49523
7559,r002,Doctorate recipients reporting bachelor's degree,Science and engineering ,Total,2,39263
7559,r003,Doctorate recipients reporting bachelor's degree,Science and engineering ,Agricultural sciences and natural resources,2,1147
7559,r004,Doctorate recipients reporting bachelor's degree,Science and engineering ,Biological and biomedical sciences,2,7901
7559,r005,Doctorate recipients reporting bachelor's degree,Science and engineering ,Computer and information sciences,2,2059
7559,r006,Doctorate recipients reporting bachelor's degree,Science and engineering ,Engineering,2,9122
7559,r007,Doctorate recipients reporting bachelor's degree,Science and engineering ,"Geosciences, atmospheric, and ocean sciences",2,1006
7559,r008,Doctorate recipients reporting bachelor's degree,Science and engineering ,Health sciences,2,2380
7559,r009,Doctorate recipients reporting bachelor's degree,Science and engineering ,Mathematics and statistics,2,1847
7559,r010,Doctorate recipients reporting bachelor's degree,Science and engineering ,Multidisciplinary/ interdisciplinary sciences,2,1228
7559,r011,Doctorate recipients reporting bachelor's degree,Science and engineering ,Physical sciences,2,4612
7559,r012,Doctorate recipients reporting bachelor's degree,Science and engineering ,Psychology,2,3425
7559,r013,Doctorate recipients reporting bachelor's degree,Science and engineering ,Social sciences,2,4536
7559,r014,Doctorate recipients reporting bachelor's degree,Non-science and engineering,Total,2,10260
7559,r015,Doctorate recipients reporting bachelor's degree,Non-science and engineering,Business,2,1261
7559,r016,Doctorate recipients reporting bachelor's degree,Non-science and engineering,Education,2,3508
7559,r017,Doctorate recipients reporting bachelor's degree,Non-science and engineering,Humanities,2,2892
7559,r018,Doctorate recipients reporting bachelor's degree,Non-science and engineering,Visual and performing arts,2,733
7559,r019,Doctorate recipients reporting bachelor's degree,Non-science and engineering,Othera,2,1866
7559,r020,Doctorate recipients reporting bachelor's degree -> U.S. baccalaureate-origin institutions,All fields,,1,31036
7559,r021,Doctorate recipients reporting bachelor's degree -> U.S. baccalaureate-origin institutions,Science and engineering ,Total,2,23597
7559,r022,Doctorate recipients reporting bachelor's degree -> U.S. baccalaureate-origin institutions,Science and engineering ,Agricultural sciences and natural resources,2,667
