table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_performed_by_the_company_total,field_performed_by_the_company_paid_for_by_the_company,field_performed_by_the_company_paid_for_by_others,field_performed_by_others_total,field_performed_by_others_paid_for_by_the_company,field_performed_by_others_paid_for_by_others
2076,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['400,100', '  ']","['339,036', '  ']","['61,065', '  ']","['52,492', '  ']","['42,704', '  ']","['9,789', 'i ']"
2076,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['257,227', '  ']","['216,155', '  ']","['41,072', '  ']","['46,803', '  ']","['39,185', '  ']","['7,619', 'i ']"
2076,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['4,697', 'i ']","['4,453', 'i ']","['244', '  ']","['157', '  ']","['150', '  ']","['7', '  ']"
2076,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['1,076', '  ']","['968', '  ']","['107', '  ']","['218', '  ']","['218', '  ']","['0', '  ']"
2076,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['920', '  ']","['919', '  ']","['1', '  ']","['22', '  ']","['22', '  ']","['*', '  ']"
2076,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['175', '  ']","['170', '  ']","['5', '  ']","['9', '  ']","['9', '  ']","['0', '  ']"
2076,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['1,322', '  ']","['1,292', '  ']","['29', '  ']","['43', '  ']","['42', '  ']","['1', '  ']"
2076,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['229', '  ']","['218', '  ']","['11', '  ']","['4', '  ']","['4', '  ']","['*', '  ']"
2076,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['316', '  ']","['301', '  ']","['15', '  ']","['65', '  ']","['63', '  ']","['2', '  ']"
2076,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['74,977', '  ']","['63,285', '  ']","['11,692', '  ']","['36,053', '  ']","['31,294', '  ']","['4,759', '  ']"
2076,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['2,574', '  ']","['2,393', '  ']","['181', '  ']","['77 - 126', '  ']","['77 - 90', '  ']","['0 - 36', '  ']"
2076,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['628', '  ']","['612', '  ']","['16', '  ']","['17', '  ']","['17', '  ']","['*', '  ']"
2076,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['1,376 - 1,475', '  ']","['1,092', '  ']","['284 - 383', '  ']","['115 - 153', '  ']","['116', '  ']","['0 - 36', '  ']"
