table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_copyrights_very_important,field_copyrights_somewhat_important,field_copyrights_not_important,field_trade_secrets_very_important,field_trade_secrets_somewhat_important,field_trade_secrets_not_important,field_mask_works_very_important,field_mask_works_somewhat_important,field_mask_works_not_important
776,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81",28.1,34.7,37.2,58.9,25.7,15.4,5.3,10.0,84.6
776,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,28.3,34.5,37.2,63.1,26.0,10.9,6.6,11.1,82.4
776,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,37.2,30.0,32.8,76.1,12.7,11.1,,,95.3
776,r004,All industries -> Manufacturing industries -> Beverages and tobacco products,All industries,Manufacturing industries,Beverages and tobacco products,,,3,312,64.5,26.5,9.0,66.6,,,0.0,,
776,r005,"All industries -> Manufacturing industries -> Textiles, apparel, and leather products",All industries,Manufacturing industries,"Textiles, apparel, and leather products",,,3,313–16,25.9,44.8,29.3,46.1,36.3,17.6,,,
776,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,31.3,37.5,31.3,56.3,25.0,18.8,0.0,0.0,100.0
776,r007,All industries -> Manufacturing industries -> Paper ,All industries,Manufacturing industries,Paper ,,,3,322,27.6,34.5,37.9,62.1,24.1,13.8,0.0,,
776,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,42.6,26.8,30.6,61.8,19.1,19.1,,,84.7
776,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,,,30.8,73.6,,,0.0,0.0,100.0
776,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,22.1,39.4,38.4,73.8,17.9,8.3,3.2,8.8,88.0
776,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,19.4,39.7,40.9,85.7,9.3,5.0,5.8,8.7,85.5
776,r012,"All industries -> Manufacturing industries -> Chemicals -> Resins, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resins, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,23.8,40.9,35.3,78.6,,,,,85.3
776,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticides, fertilizers, and other agricultural chemicals ",All industries,Manufacturing industries,Chemicals,"Pesticides, fertilizers, and other agricultural chemicals ",,4,3253,20.1,,,89.8,10.2,0.0,0.0,0.0,100.0
776,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,21.8,37.8,40.4,69.5,20.6,9.9,2.8,9.9,87.3
776,r015,"All industries -> Manufacturing industries -> Chemicals -> Soaps, cleaning compounds, and toilet preparations",All industries,Manufacturing industries,Chemicals,"Soaps, cleaning compounds, and toilet preparations",,4,3256,33.9,32.5,33.6,61.0,25.8,13.3,0.0,6.6,93.4
776,r016,"All industries -> Manufacturing industries -> Chemicals -> Paints, coatings, adhesives, and other chemicals ",All industries,Manufacturing industries,Chemicals,"Paints, coatings, adhesives, and other chemicals ",,4,"3255, 3259",18.3,42.3,39.4,84.5,11.3,4.2,4.2,5.6,90.3
776,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,18.3,31.0,50.7,59.4,23.1,17.5,,,94.1
776,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,21.5,30.8,47.7,67.7,22.0,10.3,6.6,,
776,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,33.1,30.6,36.3,66.2,16.9,16.9,7.5,7.5,85.0
776,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,17.1,29.5,53.4,51.6,24.0,24.4,4.5,8.4,87.1
776,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,34.9,33.7,31.4,59.1,29.3,11.6,2.1,16.5,81.4
776,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implements ,All industries,Manufacturing industries,Machinery,Agricultural implements ,,4,33311,38.0,32.8,29.2,43.8,35.8,20.4,,,82.0
776,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery ,All industries,Manufacturing industries,Machinery,Semiconductor machinery ,,4,333242,18.9,37.9,43.2,53.0,,,,,62.1
776,r024,"All industries -> Manufacturing industries -> Machinery -> Engines, turbines, and power transmission equipment ",All industries,Manufacturing industries,Machinery,"Engines, turbines, and power transmission equipment ",,4,3336,21.0,43.0,36.1,65.0,21.1,13.9,0.0,0.0,100.0
776,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery ,All industries,Manufacturing industries,Machinery,Other machinery ,,4,other 333,36.4,32.9,30.6,60.0,28.6,11.4,1.8,16.8,81.3
776,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,38.4,37.6,24.0,72.6,18.8,8.6,20.1,20.3,59.5
776,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,34.6,48.6,16.8,75.1,14.1,10.8,15.4,13.4,71.2
776,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductors and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductors and other electronic components,,4,3344,38.6,40.6,20.8,77.2,16.9,5.9,43.3,27.5,29.2
776,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,33.1,36.6,30.3,67.7,24.2,8.1,8.8,21.2,70.0
776,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatuses ",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatuses ",5,"334510, 334517",23.1,47.7,29.2,75.1,24.9,0.0,,,64.2
776,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical systems and instruments ",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical systems and instruments ",5,334511,46.0,22.1,31.9,74.0,10.0,16.0,22.6,16.2,61.2
776,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling devices ",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling devices ,5,other 3345,34.5,35.1,30.4,62.7,27.4,9.9,7.7,17.4,74.9
776,r033,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,56.6,22.7,20.7,74.5,12.8,12.7,11.9,11.8,76.3
776,r034,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,32.1,40.8,27.1,58.2,30.9,10.9,5.9,18.8,75.3
776,r035,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,21.2,32.6,46.2,65.9,18.3,15.7,3.3,4.3,92.4
776,r036,"All industries -> Manufacturing industries -> Transportation equipment -> Automobiles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Automobiles, bodies, trailers, and parts",,4,3361–63,18.5,40.5,40.9,59.8,24.9,15.3,4.3,4.5,91.2
776,r037,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,23.3,23.2,53.5,79.6,7.4,13.0,2.0,2.0,96.0
776,r038,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Aircraft, aircraft engines, and aircraft parts ",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Aircraft, aircraft engines, and aircraft parts ",5,336411–13,24.5,22.5,53.1,80.6,7.1,12.2,2.2,2.2,95.6
776,r039,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Guided missiles, space vehicles, and related parts ",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Guided missiles, space vehicles, and related parts ",5,"336414–15, 336419",,,57.5,69.1,,,0.0,0.0,100.0
776,r040,"All industries -> Manufacturing industries -> Transportation equipment -> Military armored vehicles, tanks, and tank components ",All industries,Manufacturing industries,Transportation equipment,"Military armored vehicles, tanks, and tank components ",,4,336992,,,52.2,,,,0.0,,
776,r041,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,29.9,18.9,51.2,57.0,18.5,24.6,,,86.9
776,r042,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,42.3,34.6,23.1,46.2,34.6,19.2,11.5,0.0,88.5
776,r043,All industries -> Manufacturing industries -> Miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous manufacturing,,,3,339,21.8,27.7,50.5,43.8,51.7,4.5,6.7,6.3,87.0
776,r044,All industries -> Manufacturing industries -> Miscellaneous manufacturing -> Medical equipment and supplies ,All industries,Manufacturing industries,Miscellaneous manufacturing,Medical equipment and supplies ,,4,3391,19.4,24.3,56.4,39.4,57.2,3.3,7.0,6.1,86.9
776,r045,All industries -> Manufacturing industries -> Miscellaneous manufacturing -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous manufacturing,Other miscellaneous manufacturing,,4,3399,33.9,45.0,21.1,65.7,23.9,10.5,5.1,7.2,87.7
776,r046,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81",27.9,34.9,37.2,53.3,25.4,21.2,3.6,8.7,87.6
776,r047,"All industries -> Nonmanufacturing industries -> Mining, extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, extraction, and support activities",,,3,21,40.9,30.6,28.5,72.0,17.2,10.8,0.0,12.0,88.0
