table_id,row_id,location_full_path,location_level_1,location_level_2,location_level_3,location_hierarchy_depth,field_total,field_paid_for_by_the_company,field_paid_for_by_others
2730,r001,Total,Total,,,1,"['100,376', '  ']","['90,429', '  ']","['9,947', '  ']"
2730,r002,Total -> Puerto Rico<sup>a</sup>,Total,Puerto Rico<sup>a</sup>,,2,"['493', '  ']","['476', '  ']","['17', '  ']"
2730,r003,Total -> Canada,Total,Canada,,2,"['6,140', '  ']","['5,559', '  ']","['581', '  ']"
2730,r004,Total -> Latin America and Other Western Hemisphere,Total,Latin America and Other Western Hemisphere,,2,"['6,436', '  ']","['6,009', '  ']","['427', '  ']"
2730,r005,Total -> Latin America and Other Western Hemisphere -> Argentina,Total,Latin America and Other Western Hemisphere,Argentina,3,"['298', '  ']","['180', '  ']","['118', '  ']"
2730,r006,Total -> Latin America and Other Western Hemisphere -> Brazil,Total,Latin America and Other Western Hemisphere,Brazil,3,"['1,529', '  ']","['1,402', '  ']","['128', '  ']"
2730,r007,Total -> Latin America and Other Western Hemisphere -> Chile,Total,Latin America and Other Western Hemisphere,Chile,3,"['129', '  ']","['102', '  ']","['27', '  ']"
2730,r008,Total -> Latin America and Other Western Hemisphere -> Mexico,Total,Latin America and Other Western Hemisphere,Mexico,3,"['1,532', '  ']","['1,448', '  ']","['84', '  ']"
2730,r009,Total -> Latin America and Other Western Hemisphere -> Other Latin American and Western Hemisphere locations,Total,Latin America and Other Western Hemisphere,Other Latin American and Western Hemisphere locations,3,"['2,948', '  ']","['2,877', '  ']","['71', '  ']"
2730,r010,Total -> Africa,Total,Africa,,2,"['328', '  ']","['223', '  ']","['105', '  ']"
2730,r011,Total -> Africa -> South Africa,Total,Africa,South Africa,3,"['236', '  ']","['138', '  ']","['99', '  ']"
2730,r012,Total -> Africa -> Other African locations,Total,Africa,Other African locations,3,"['92', '  ']","['85', '  ']","['6', '  ']"
2730,r013,Total -> Asia and Pacific,Total,Asia and Pacific,,2,"['33,045', '  ']","['30,826', '  ']","['2,218', '  ']"
2730,r014,Total -> Asia and Pacific -> Australia,Total,Asia and Pacific,Australia,3,"['1,953', '  ']","['1,786', '  ']","['168', '  ']"
2730,r015,Total -> Asia and Pacific -> China,Total,Asia and Pacific,China,3,"['7,867', '  ']","['7,392', '  ']","['475', '  ']"
2730,r016,Total -> Asia and Pacific -> Hong Kong,Total,Asia and Pacific,Hong Kong,3,"['347', '  ']","['321', '  ']","['26', 'i ']"
2730,r017,Total -> Asia and Pacific -> India,Total,Asia and Pacific,India,3,"['9,521', '  ']","['9,235', '  ']","['286', '  ']"
2730,r018,Total -> Asia and Pacific -> Indonesia,Total,Asia and Pacific,Indonesia,3,"['28', '  ']","['27', '  ']","['2', '  ']"
2730,r019,Total -> Asia and Pacific -> Japan,Total,Asia and Pacific,Japan,3,"['3,986', '  ']","['3,326', '  ']","['660', '  ']"
2730,r020,Total -> Asia and Pacific -> Malaysia,Total,Asia and Pacific,Malaysia,3,"['879', '  ']","['867', '  ']","['12', '  ']"
