table_id,row_id,_b_state_b_full_path,_b_state_b_level_1,_b_state_b_level_2,_b_state_b_hierarchy_depth,field_fy_2020,field_fy_2021,field_fy_2022
12378,r001,All states,All states,,1,"['2,855', '  ']","['2,836', '  ']","['2,662', '  ']"
12378,r002,All states -> Alabama,All states,Alabama,2,"['6', '  ']","['24', '  ']","['26', '  ']"
12378,r003,All states -> Alaska,All states,Alaska,2,"['12', '  ']","['18', '  ']","['17', '  ']"
12378,r004,All states -> Arizona,All states,Arizona,2,"['44', '  ']","['28', '  ']","['26', '  ']"
12378,r005,All states -> Arkansas,All states,Arkansas,2,"['10', '  ']","['8', '  ']","['7', '  ']"
12378,r006,All states -> California,All states,California,2,"['481', '  ']","['391', '  ']","['363', '  ']"
12378,r007,All states -> Colorado,All states,Colorado,2,"['92', '  ']","['60', '  ']","['67', '  ']"
12378,r008,All states -> Connecticut,All states,Connecticut,2,"['22', '  ']","['51', '  ']","['32', '  ']"
12378,r009,All states -> Delaware,All states,Delaware,2,"['S', '&nbsp;']","['S', '&nbsp;']","['S', '&nbsp;']"
12378,r010,All states -> District of Columbia,All states,District of Columbia,2,"['299', '  ']","['251', '  ']","['289', '  ']"
12378,r011,All states -> Florida,All states,Florida,2,"['68', '  ']","['101', '  ']","['52', '  ']"
12378,r012,All states -> Georgia,All states,Georgia,2,"['27', '  ']","['27', '  ']","['60', '  ']"
12378,r013,All states -> Hawaii,All states,Hawaii,2,"['35', '  ']","['13', '  ']","['10', '  ']"
12378,r014,All states -> Idaho,All states,Idaho,2,"['5', '  ']","['11', '  ']","['11', '  ']"
12378,r015,All states -> Illinois,All states,Illinois,2,"['174', '  ']","['147', '  ']","['147', '  ']"
12378,r016,All states -> Indiana,All states,Indiana,2,"['7', '  ']","['32', '  ']","['5', '  ']"
12378,r017,All states -> Iowa,All states,Iowa,2,"['5', '  ']","['7', '  ']","['3', '  ']"
12378,r018,All states -> Kansas,All states,Kansas,2,"['7', '  ']","['13', '  ']","['3', '  ']"
12378,r019,All states -> Kentucky,All states,Kentucky,2,"['8', '  ']","['20', '  ']","['5', '  ']"
12378,r020,All states -> Louisiana,All states,Louisiana,2,"['24', '  ']","['18', '  ']","['13', '  ']"
12378,r021,All states -> Maine,All states,Maine,2,"['10', '  ']","['25', '  ']","['47', '  ']"
12378,r022,All states -> Maryland,All states,Maryland,2,"['107', '  ']","['90', '  ']","['123', '  ']"
12378,r023,All states -> Massachusetts,All states,Massachusetts,2,"['132', '  ']","['170', '  ']","['152', '  ']"
12378,r024,All states -> Michigan,All states,Michigan,2,"['56', '  ']","['73', '  ']","['66', '  ']"
12378,r025,All states -> Minnesota,All states,Minnesota,2,"['39', '  ']","['41', '  ']","['65', '  ']"
12378,r026,All states -> Mississippi,All states,Mississippi,2,"['10', '  ']","['9', '  ']","['1', 'r']"
12378,r027,All states -> Missouri,All states,Missouri,2,"['36', '  ']","['29', '  ']","['29', '  ']"
12378,r028,All states -> Montana,All states,Montana,2,"['8', '  ']","['9', '  ']","['12', '  ']"
12378,r029,All states -> Nebraska,All states,Nebraska,2,"['6', '  ']","['16', '  ']","['11', '  ']"
12378,r030,All states -> Nevada,All states,Nevada,2,"['2', 'r']","['13', '  ']","['4', '  ']"
12378,r031,All states -> New Hampshire,All states,New Hampshire,2,"['3', '  ']","['1', 'r']","['11', '  ']"
12378,r032,All states -> New Jersey,All states,New Jersey,2,"['44', '  ']","['108', '  ']","['70', '  ']"
12378,r033,All states -> New Mexico,All states,New Mexico,2,"['33', '  ']","['21', '  ']","['10', '  ']"
12378,r034,All states -> New York,All states,New York,2,"['246', '  ']","['298', '  ']","['286', '  ']"
12378,r035,All states -> North Carolina,All states,North Carolina,2,"['27', '  ']","['43', '  ']","['63', '  ']"
12378,r036,All states -> North Dakota,All states,North Dakota,2,"['1', 'r']","['1', 'r']","['2', '  ']"
12378,r037,All states -> Ohio,All states,Ohio,2,"['65', '  ']","['46', '  ']","['59', '  ']"
12378,r038,All states -> Oklahoma,All states,Oklahoma,2,"['35', '  ']","['18', '  ']","['9', '  ']"
12378,r039,All states -> Oregon,All states,Oregon,2,"['57', '  ']","['55', '  ']","['40', '  ']"
12378,r040,All states -> Pennsylvania,All states,Pennsylvania,2,"['92', '  ']","['100', '  ']","['77', '  ']"
12378,r041,All states -> Rhode Island,All states,Rhode Island,2,"['18', '  ']","['13', '  ']","['9', '  ']"
12378,r042,All states -> South Carolina,All states,South Carolina,2,"['6', '  ']","['13', '  ']","['14', '  ']"
12378,r043,All states -> South Dakota,All states,South Dakota,2,"['1', 'r']","['8', '  ']","['10', '  ']"
12378,r044,All states -> Tennessee,All states,Tennessee,2,"['40', '  ']","['24', '  ']","['48', '  ']"
12378,r045,All states -> Texas,All states,Texas,2,"['116', '  ']","['122', '  ']","['62', '  ']"
12378,r046,All states -> Utah,All states,Utah,2,"['28', '  ']","['4', '  ']","['12', '  ']"
12378,r047,All states -> Vermont,All states,Vermont,2,"['5', '  ']","['16', '  ']","['2', '  ']"
12378,r048,All states -> Virginia,All states,Virginia,2,"['165', '  ']","['113', '  ']","['98', '  ']"
12378,r049,All states -> Washington,All states,Washington,2,"['108', '  ']","['81', '  ']","['88', '  ']"
12378,r050,All states -> West Virginia,All states,West Virginia,2,"['16', '  ']","['7', '  ']","['4', '  ']"
12378,r051,All states -> Wisconsin,All states,Wisconsin,2,"['23', '  ']","['49', '  ']","['38', '  ']"
12378,r052,All states -> Wyoming,All states,Wyoming,2,"['3', '  ']","['4', '  ']","['4', '  ']"
