table_id,row_id,race_and_ethnicity_full_path,race_and_ethnicity_level_1,race_and_ethnicity_level_2,race_and_ethnicity_hierarchy_depth,field_s_e_occupations_1995,field_s_e_occupations_2017,field_s_e_highest_degrees_1995,field_s_e_highest_degrees_2017
1604,r001,Total (number),Total (number),,1,3186000,6769000,10115000,14501000
1604,r002,Total (number) -> American Indian or Alaska Native,Total (number),American Indian or Alaska Native,2,0.3,0.2,0.3,0.3
1604,r003,Total (number) -> Asian,Total (number),Asian,2,9.6,19.8,6.7,15.7
1604,r004,Total (number) -> Black or African American,Total (number),Black or African American,2,3.4,5.6,5.2,6.7
1604,r005,Total (number) -> Hispanic or Latino,Total (number),Hispanic or Latino,2,2.8,7.5,3.2,8.6
1604,r006,Total (number) -> Native Hawaiian or Other Pacific Islander,Total (number),Native Hawaiian or Other Pacific Islander,2,NA,0.3,NA,0.3
1604,r007,Total (number) -> White,Total (number),White,2,83.9,65.0,84.5,66.4
1604,r008,Total (number) -> More than one race,Total (number),More than one race,2,NA,1.6,NA,2.0
