table_id,row_id,_b_detailed_field_b_full_path,_b_detailed_field_b_level_1,_b_detailed_field_b_level_2,_b_detailed_field_b_level_3,_b_detailed_field_b_level_4,_b_detailed_field_b_level_5,_b_detailed_field_b_hierarchy_depth,field_total_number,field_total_percent,field_u_s_citizens_and_permanent_residents_hispanic_or_latino_number,field_u_s_citizens_and_permanent_residents_hispanic_or_latino_percent,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_american_indian_or_alaska_native_number,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_american_indian_or_alaska_native_percent,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_asian_number,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_asian_percent,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_black_or_african_american_number,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_black_or_african_american_percent,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander_number,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander_percent,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_white_number,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_white_percent,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_more_than_one_race_number,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_more_than_one_race_percent,field_u_s_citizens_and_permanent_residents_unknown_ethnicity_and_race_number,field_u_s_citizens_and_permanent_residents_unknown_ethnicity_and_race_percent,field_temporary_visa_holders_number,field_temporary_visa_holders_percent
10693,r001,All detailed fields,All detailed fields,,,,,1,798534,100.0,69621,100.0,2082,100.0,61426,100.0,44016,100.0,738,100.0,279657,100.0,19331,100.0,23428,100.0,298235,100.0
10693,r002,All detailed fields -> Science,All detailed fields,Science,,,,2,538166,67.4,48508,69.7,1335,64.1,40603,66.1,29714,67.5,537,72.8,190960,68.3,13393,69.3,15914,67.9,197202,66.1
10693,r003,All detailed fields -> Science -> Agricultural and veterinary sciences,All detailed fields,Science,Agricultural and veterinary sciences,,,3,11596,1.5,886,1.3,29,1.4,396,0.6,457,1.0,14,1.9,5680,2.0,237,1.2,256,1.1,3641,1.2
10693,r004,All detailed fields -> Science -> Agricultural and veterinary sciences -> Agricultural sciences,All detailed fields,Science,Agricultural and veterinary sciences,Agricultural sciences,,4,10310,1.3,773,1.1,29,1.4,344,0.6,407,0.9,13,1.8,5044,1.8,207,1.1,200,0.9,3293,1.1
10693,r005,All detailed fields -> Science -> Agricultural and veterinary sciences -> Veterinary biomedical and clinical sciences,All detailed fields,Science,Agricultural and veterinary sciences,Veterinary biomedical and clinical sciences,,4,1286,0.2,113,0.2,0,0.0,52,0.1,50,0.1,1,0.1,636,0.2,30,0.2,56,0.2,348,0.1
10693,r006,All detailed fields -> Science -> Biological and biomedical sciences,All detailed fields,Science,Biological and biomedical sciences,,,3,102700,12.9,10691,15.4,239,11.5,10386,16.9,6413,14.6,115,15.6,44818,16.0,3271,16.9,3271,14.0,23496,7.9
10693,r007,All detailed fields -> Science -> Biological and biomedical sciences -> Biochemistry,All detailed fields,Science,Biological and biomedical sciences,Biochemistry,,4,5905,0.7,628,0.9,20,1.0,507,0.8,234,0.5,7,0.9,2525,0.9,196,1.0,127,0.5,1661,0.6
10693,r008,All detailed fields -> Science -> Biological and biomedical sciences -> Biology ,All detailed fields,Science,Biological and biomedical sciences,Biology ,,4,15569,1.9,1785,2.6,42,2.0,1044,1.7,893,2.0,29,3.9,7782,2.8,504,2.6,437,1.9,3053,1.0
10693,r009,All detailed fields -> Science -> Biological and biomedical sciences -> Biomedical sciences,All detailed fields,Science,Biological and biomedical sciences,Biomedical sciences,,4,10836,1.4,1178,1.7,23,1.1,1594,2.6,1272,2.9,8,1.1,4138,1.5,329,1.7,360,1.5,1934,0.6
10693,r010,All detailed fields -> Science -> Biological and biomedical sciences -> Biophysics,All detailed fields,Science,Biological and biomedical sciences,Biophysics,,4,895,0.1,86,0.1,0,0.0,114,0.2,20,0.05,0,0.0,352,0.1,32,0.2,16,0.1,275,0.1
