table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total_outside_the_united_states,field_puerto_ricoa,field_canada,field_austria,field_belgium,field_czech_republic,field_denmark,field_finland,field_france,field_germany,field_hungary,field_ireland,field_italy,field_luxembourg,field_netherlands,field_norway,field_poland,field_russia,field_spain,field_sweden,field_switzerland,field_turkey,field_united_kingdom,field_other_european_locations
1463,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['77,146', '  ']","['159', '  ']","['4,734', '  ']","['348', '  ']","['1,576', '&nbsp;']","['335', '  ']","['548', ' ']","['724', '  ']","['2,926', '  ']","['8,422', '  ']","['242', '  ']","['2,754', '&nbsp;']","['1,312', '  ']","['205', ' ']","['1,362', '  ']","['428', '  ']","['608', '  ']","['282', '  ']","['671', '&nbsp;']","['1,196', '  ']","['2,988', ' ']","['91', '  ']","['8,600', '  ']","['2,883', '  ']"
1463,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['52,689', '  ']","['141', '  ']","['2,848', '  ']","['283', '  ']","['1,354', '&nbsp;']","['163', '  ']","['443', ' ']","['338', '  ']","['1,878', '  ']","['7,233', '  ']","['121', '  ']","['1,316', '&nbsp;']","['1,031', '  ']","['196', ' ']","['913', '  ']","['335', '  ']","['436', '  ']","['162', '  ']","['491', '&nbsp;']","['715', '  ']","['1,871', ' ']","['65', '  ']","['4,764', '  ']","['2,238', '  ']"
1463,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['994', '  ']","['*', '  ']","['60', '  ']","['2', '  ']","['4', '&nbsp;']","['1', '  ']","['*', ' ']","['*', '  ']","['45', '  ']","['62', '  ']","['1', '  ']","['*', '&nbsp;']","['6', '  ']","['0', ' ']","['16', '  ']","['11', '  ']","['6', '  ']","['4', '  ']","['9', '&nbsp;']","['3', '  ']","['13', ' ']","['1', '  ']","['95', '  ']","['58', '  ']"
1463,r004,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['12,313', '  ']","['74', '  ']","['544', '  ']","['62', '  ']","['995', '&nbsp;']","['28', '  ']","['138', ' ']","['48', '  ']","['476', '  ']","['980', '  ']","['24', '  ']","['691', '&nbsp;']","['230', '  ']","['165', ' ']","['399', '  ']","['25', '  ']","['67', '  ']","['57', '  ']","['204', '&nbsp;']","['157', '  ']","['924', ' ']","['49', '  ']","['1,679', '  ']","['912', '  ']"
1463,r005,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['9,914', '  ']","['32', '  ']","['474', '  ']","['58', '  ']","['840', '&nbsp;']","['27', '  ']","['112', ' ']","['43', '  ']","['342', '  ']","['644', '  ']","['21', '  ']","['691', '&nbsp;']","['199', '  ']","['2', ' ']","['212', '  ']","['20', '  ']","['60', '  ']","['55', '  ']","['184', '&nbsp;']","['151', '  ']","['860', ' ']","['46', '  ']","['1,414', '  ']","['862', '  ']"
1463,r006,All industries -> Manufacturing industries -> Chemicals -> Other chemicals,All industries,Manufacturing industries,Chemicals,Other chemicals,,4,other 325,"['2,399', '  ']","['41', '  ']","['71', 'i ']","['4', '  ']","['155', '&nbsp;']","['1', '  ']","['26', ' ']","['5', '  ']","['134', 'i ']","['336', '  ']","['4', '  ']","['1', '&nbsp;']","['31', '  ']","['163', ' ']","['188', 'i ']","['6', '  ']","['7', '  ']","['2', '  ']","['20', '&nbsp;']","['6', '  ']","['65', ' ']","['3', '  ']","['265', '  ']","['50', 'i ']"
1463,r007,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['831', '  ']","['13', '  ']","['25', '  ']","['*', '  ']","['23', '&nbsp;']","['1', '  ']","['2', ' ']","['2', '  ']","['42', '  ']","['135', '  ']","['3', '  ']","['1', '&nbsp;']","['21', '  ']","['2', ' ']","['25', '  ']","['0', '  ']","['4', '  ']","['2', '  ']","['20', '&nbsp;']","['47', '  ']","['5', ' ']","['0', '  ']","['23', '  ']","['6', '  ']"
1463,r008,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['185', '  ']","['0', '  ']","['16', '  ']","['0', '  ']","['0', '&nbsp;']","['*', '  ']","['1', ' ']","['0', '  ']","['14', '  ']","['18', '  ']","['0', '  ']","['*', '&nbsp;']","['0', '  ']","['0', ' ']","['0', '  ']","['0', '  ']","['4', '  ']","['3', '  ']","['*', '&nbsp;']","['0', '  ']","['0', ' ']","['0', '  ']","['2', '  ']","['3', '  ']"
1463,r009,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['245', '  ']","['0', '  ']","['7', '  ']","['6', '  ']","['2', '&nbsp;']","['*', '  ']","['*', ' ']","['0', '  ']","['17', '  ']","['25', '  ']","['0', '  ']","['0', '&nbsp;']","['13', '  ']","['0', ' ']","['3', '  ']","['0', '  ']","['*', '  ']","['*', '  ']","['2', '&nbsp;']","['1', '  ']","['8', ' ']","['0', '  ']","['55', '  ']","['*', '  ']"
1463,r010,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['3,179', '  ']","['1', '  ']","['80', '  ']","['55', '  ']","['33', '&nbsp;']","['8', '  ']","['16', ' ']","['81', 'i ']","['185', '  ']","['573', '  ']","['1', '  ']","['11', '&nbsp;']","['63', '  ']","['0', ' ']","['63', '  ']","['120', '  ']","['10', '  ']","['2', '  ']","['25', '&nbsp;']","['94', '  ']","['95', ' ']","['*', '  ']","['248', '  ']","['70', '  ']"
1463,r011,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['20,791', '  ']","['3', '  ']","['1,541', '  ']","['102', '  ']","['120', '&nbsp;']","['64', '  ']","['243', ' ']","['161', '  ']","['607', '  ']","['1,958', '  ']","['29', '  ']","['439', '&nbsp;']","['163', '  ']","['27', ' ']","['156', '  ']","['130', '  ']","['163', '  ']","['73', '  ']","['151', '&nbsp;']","['227', '  ']","['324', ' ']","['6', '  ']","['1,196', '  ']","['212', '  ']"
1463,r012,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['1,436', '  ']","['0', '  ']","['193', 'i ']","['28', '  ']","['9', '&nbsp;']","['1', '  ']","['2', ' ']","['4', '  ']","['56', '  ']","['206', '  ']","['2', '  ']","['2', '&nbsp;']","['116', '  ']","['0', ' ']","['47', '  ']","['8', '  ']","['18', '  ']","['0', '  ']","['3', 'i']","['5', '  ']","['57', ' ']","['*', '  ']","['93', '  ']","['61', '  ']"
1463,r013,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['9,050', '  ']","['D', '  ']","['238', '  ']","['D', '  ']","['101', '&nbsp;']","['D', '  ']","['4', ' ']","['D', '  ']","['326', '  ']","['2,943', '  ']","['60', '  ']","['D', '&nbsp;']","['375', '  ']","['*', ' ']","['162', '  ']","['D', '  ']","['150', '  ']","['D', '  ']","['67', 'i']","['139', '  ']","['80', ' ']","['D', '  ']","['1,145', '  ']","['216', 'i ']"
1463,r014,All industries -> Manufacturing industries -> Miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous manufacturing,,,3,339,"['2,792', '  ']","['D', '  ']","['90', '  ']","['13', '  ']","['38', '&nbsp;']","['D', '&nbsp;']","['31', ' ']","['D', '  ']","['80', '  ']","['276', '  ']","['*', '  ']","['166', '&nbsp;']","['31', '  ']","['1', 'i']","['36', '  ']","['D', '  ']","['11', 'i ']","['11', '  ']","['6', '&nbsp;']","['40', '  ']","['115', ' ']","['D', '&nbsp;']","['148', '  ']","['674', '  ']"
1463,r015,All industries -> Manufacturing industries -> Other manufacturing,All industries,Manufacturing industries,Other manufacturing,,,3,"312–16, 321–24, 331, 337","['873', '  ']","['0', '  ']","['53', '  ']","['D', '  ']","['30', '&nbsp;']","['0', '  ']","['6', ' ']","['1', '  ']","['30', '  ']","['56', '  ']","['*', '  ']","['D', '&nbsp;']","['13', '  ']","['0', ' ']","['6', '  ']","['*', '  ']","['2', '  ']","['D', '  ']","['4', '&nbsp;']","['3', '  ']","['250', ' ']","['D', '  ']","['78', '  ']","['26', 'i ']"
1463,r016,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['24,457', '  ']","['18', '  ']","['1,886', '  ']","['65', 'i ']","['222', '&nbsp;']","['172', '  ']","['104', ' ']","['387', '  ']","['1,047', '  ']","['1,189', '  ']","['120', '  ']","['1,437', '&nbsp;']","['281', '  ']","['9', ' ']","['449', '  ']","['92', '  ']","['172', '  ']","['120', 'i ']","['180', '&nbsp;']","['481', '  ']","['1,117', ' ']","['25', 'i ']","['3,836', '  ']","['645', '  ']"
1463,r017,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['12', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']","['*', '&nbsp;']","['0', '  ']","['0', ' ']","['0', '  ']","['0', '  ']","['5', '  ']","['0', '  ']","['0', '&nbsp;']","['0', '  ']","['0', ' ']","['1', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '&nbsp;']","['0', '  ']","['0', ' ']","['0', '  ']","['*', '  ']","['0', '  ']"
1463,r018,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['13,384', '  ']","['D', '  ']","['1,078', '  ']","['32', '  ']","['92', '&nbsp;']","['90', '  ']","['78', ' ']","['348', '  ']","['656', 'i ']","['394', '  ']","['61', '  ']","['1,109', '&nbsp;']","['135', '  ']","['8', ' ']","['129', '  ']","['77', '  ']","['60', '  ']","['52', '  ']","['52', '&nbsp;']","['425', '  ']","['645', ' ']","['3', '  ']","['1,895', '  ']","['455', '  ']"
1463,r019,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['49', '  ']","['0', '  ']","['9', '  ']","['0', '  ']","['0', '&nbsp;']","['0', '  ']","['1', ' ']","['0', '  ']","['0', '  ']","['5', '  ']","['0', '  ']","['1', '&nbsp;']","['0', '  ']","['0', ' ']","['*', '  ']","['*', '  ']","['0', '  ']","['0', '  ']","['*', '&nbsp;']","['1', '  ']","['0', ' ']","['0', '  ']","['8', '  ']","['0', '  ']"
1463,r020,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['1,752', '  ']","['*', '  ']","['157', '  ']","['6', '  ']","['4', '&nbsp;']","['*', '  ']","['3', ' ']","['10', 'i ']","['80', '  ']","['54', '  ']","['47', '  ']","['96', '&nbsp;']","['2', '  ']","['0', ' ']","['41', '  ']","['11', '  ']","['6', '  ']","['18', '  ']","['6', '&nbsp;']","['131', '  ']","['15', ' ']","['*', '  ']","['295', '  ']","['121', '  ']"
1463,r021,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['11,583', '  ']","['D', '  ']","['913', '  ']","['25', '  ']","['88', '&nbsp;']","['90', '  ']","['74', ' ']","['338', '  ']","['577', 'i ']","['335', '  ']","['14', '  ']","['1,011', '&nbsp;']","['133', '  ']","['8', ' ']","['88', '  ']","['67', '  ']","['54', '  ']","['35', '  ']","['46', '&nbsp;']","['294', '  ']","['629', ' ']","['3', '  ']","['1,593', '  ']","['334', '  ']"
1463,r022,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['9,176', '  ']","['D', '&nbsp;']","['688', '  ']","['33', 'i ']","['110', 'i']","['81', 'i ']","['23', 'i']","['38', '  ']","['380', '  ']","['647', '  ']","['49', 'i ']","['204', '&nbsp;']","['146', 'i ']","['*', ' ']","['186', 'i ']","['12', '  ']","['107', 'i ']","['64', 'i ']","['124', 'i']","['42', 'i ']","['447', ' ']","['18', 'i ']","['1,651', '  ']","['166', 'i ']"
1463,r023,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['64', '  ']","['0', '  ']","['5', '  ']","['0', '  ']","['0', '&nbsp;']","['0', '  ']","['*', ' ']","['0', '  ']","['*', '  ']","['1', '  ']","['0', '  ']","['0', '&nbsp;']","['*', '  ']","['0', ' ']","['1', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '&nbsp;']","['*', '  ']","['0', ' ']","['0', '  ']","['41', '  ']","['*', '  ']"
1463,r024,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['5,412', '  ']","['D', '&nbsp;']","['291', '  ']","['28', 'i ']","['109', 'i']","['33', 'i ']","['20', 'i']","['31', '  ']","['277', '  ']","['318', '  ']","['39', 'i ']","['61', 'i']","['113', 'i ']","['*', ' ']","['153', 'i ']","['7', '  ']","['80', 'i ']","['61', 'i ']","['83', 'i']","['33', 'i ']","['401', ' ']","['16', 'i ']","['1,344', '  ']","['146', 'i ']"
1463,r025,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Biotechnology research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Biotechnology research and development,5,541711,"['1,615', '  ']","['0', '  ']","['50', '  ']","['1', '  ']","['41', '&nbsp;']","['10', '  ']","['6', ' ']","['4', '  ']","['45', '  ']","['130', '  ']","['11', '  ']","['4', '&nbsp;']","['29', '  ']","['0', ' ']","['19', '  ']","['4', '  ']","['27', '  ']","['13', '  ']","['15', '&nbsp;']","['9', '  ']","['373', ' ']","['5', '  ']","['456', '  ']","['28', '  ']"
1463,r026,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Other scientific research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Other scientific research and development,5,other 5417,"['3,797', '  ']","['D', '&nbsp;']","['240', '  ']","['27', 'i ']","['68', 'i']","['24', 'i ']","['14', 'i']","['27', '  ']","['232', 'i ']","['188', 'i ']","['28', 'i ']","['57', 'i']","['84', 'i ']","['*', ' ']","['134', 'i ']","['2', 'i ']","['53', 'i ']","['48', 'i ']","['68', 'i']","['25', 'i ']","['28', 'i']","['11', 'i ']","['888', '  ']","['117', 'i ']"
1463,r027,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,other 54,"['3,701', '  ']","['0', '  ']","['392', '  ']","['5', '  ']","['2', 'i']","['48', 'i ']","['3', ' ']","['8', '  ']","['103', '  ']","['328', '  ']","['10', '  ']","['143', '&nbsp;']","['33', '  ']","['0', ' ']","['32', '  ']","['5', '  ']","['27', '  ']","['3', '  ']","['41', '&nbsp;']","['9', '  ']","['46', ' ']","['2', '  ']","['266', '  ']","['20', '  ']"
1463,r028,All industries -> Nonmanufacturing industries -> Other nonmanufacturing,All industries,Nonmanufacturing industries,Other nonmanufacturing,,,3,"21–23, 44–45, 48–49, 52–53, 55–56, 621–24, 71–72, 81","['1,885', '  ']","['*', '  ']","['120', '  ']","['*', '  ']","['20', '&nbsp;']","['1', '  ']","['4', 'i']","['*', '  ']","['11', '  ']","['143', '  ']","['10', '  ']","['125', '&nbsp;']","['1', '  ']","['1', 'i']","['133', '  ']","['4', '  ']","['5', '  ']","['4', '  ']","['5', '&nbsp;']","['13', '  ']","['26', ' ']","['4', '  ']","['290', '  ']","['24', '  ']"
1463,r029,All companies (number of domestic employees),All companies (number of domestic employees),,,,,1,–,"['77,146', '  ']","['159', '  ']","['4,734', '  ']","['348', '  ']","['1,576', '&nbsp;']","['335', '  ']","['548', ' ']","['724', '  ']","['2,926', '  ']","['8,422', '  ']","['242', '  ']","['2,754', '&nbsp;']","['1,312', '  ']","['205', ' ']","['1,362', '  ']","['428', '  ']","['608', '  ']","['282', '  ']","['671', '&nbsp;']","['1,196', '  ']","['2,988', ' ']","['91', '  ']","['8,600', '  ']","['2,883', '  ']"
1463,r030,All companies (number of domestic employees) -> Micro companies<sup>b</sup>,All companies (number of domestic employees),Micro companies<sup>b</sup>,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
1463,r031,All companies (number of domestic employees) -> Micro companies<sup>b</sup> -> 5&#8211;9,All companies (number of domestic employees),Micro companies<sup>b</sup>,5&#8211;9,,,3,–,"['145', '  ']","['0', '  ']","['*', '  ']","['0', '  ']","['0', '&nbsp;']","['0', '  ']","['0', ' ']","['*', '  ']","['*', '  ']","['*', '  ']","['0', '  ']","['*', '&nbsp;']","['98', '  ']","['0', ' ']","['*', '  ']","['*', '  ']","['*', '  ']","['1', '  ']","['0', '&nbsp;']","['0', '  ']","['8', ' ']","['0', '  ']","['2', '  ']","['0', '  ']"
1463,r032,All companies (number of domestic employees) -> Small companies,All companies (number of domestic employees),Small companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
1463,r033,All companies (number of domestic employees) -> Small companies -> 10&#8211;19,All companies (number of domestic employees),Small companies,10&#8211;19,,,3,–,"['101', '  ']","['0', '  ']","['4', '  ']","['0', '  ']","['2', '&nbsp;']","['0', '  ']","['0', ' ']","['0', '  ']","['14', '  ']","['1', '  ']","['0', '  ']","['0', '&nbsp;']","['0', '  ']","['0', ' ']","['*', '  ']","['1', '  ']","['0', '  ']","['0', '  ']","['0', '&nbsp;']","['0', '  ']","['1', ' ']","['0', '  ']","['18', '  ']","['*', '  ']"
1463,r034,All companies (number of domestic employees) -> Small companies -> 20&#8211;49,All companies (number of domestic employees),Small companies,20&#8211;49,,,3,–,"['338', '  ']","['0', '  ']","['7', '  ']","['*', '  ']","['2', '&nbsp;']","['*', '  ']","['1', ' ']","['D', '  ']","['9', '  ']","['11', '  ']","['D', '  ']","['18', '&nbsp;']","['*', '  ']","['0', ' ']","['*', '  ']","['*', '  ']","['1', '  ']","['0', '  ']","['30', '&nbsp;']","['D', '  ']","['2', ' ']","['0', '  ']","['23', '  ']","['6', '  ']"
1463,r035,All companies (number of domestic employees) -> Medium companies,All companies (number of domestic employees),Medium companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
1463,r036,All companies (number of domestic employees) -> Medium companies -> 50&#8211;99,All companies (number of domestic employees),Medium companies,50&#8211;99,,,3,–,"['364', '  ']","['*', '  ']","['29', '  ']","['0', '  ']","['1', '&nbsp;']","['2', '  ']","['1', ' ']","['D', '  ']","['16', '  ']","['10', '  ']","['D', '  ']","['3', '&nbsp;']","['13', '  ']","['*', ' ']","['4', '  ']","['*', '  ']","['D', '  ']","['3', '  ']","['2', '&nbsp;']","['D', '  ']","['14', ' ']","['0', '  ']","['24', '  ']","['10', '  ']"
1463,r037,All companies (number of domestic employees) -> Medium companies -> 100&#8211;249,All companies (number of domestic employees),Medium companies,100&#8211;249,,,3,–,"['1,319', '  ']","['D', '  ']","['48', '  ']","['*', '  ']","['2', '&nbsp;']","['3', '  ']","['14', ' ']","['0', '  ']","['20', '  ']","['57', '  ']","['1', '  ']","['8', '&nbsp;']","['17', '  ']","['*', ' ']","['79', '  ']","['2', '  ']","['23', '  ']","['13', '  ']","['1', '&nbsp;']","['2', '  ']","['281', ' ']","['0', '  ']","['65', '  ']","['34', '  ']"
1463,r038,All companies (number of domestic employees) -> Large companies,All companies (number of domestic employees),Large companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
1463,r039,All companies (number of domestic employees) -> Large companies -> 250&#8211;499,All companies (number of domestic employees),Large companies,250&#8211;499,,,3,–,"['1,774', '  ']","['*', '  ']","['136', '  ']","['15', '  ']","['5', '&nbsp;']","['2', '  ']","['4', ' ']","['D', '  ']","['53', '  ']","['161', '  ']","['48', '  ']","['19', '&nbsp;']","['25', '  ']","['0', ' ']","['39', '  ']","['12', '  ']","['D', '  ']","['5', '  ']","['3', '&nbsp;']","['125', '  ']","['87', ' ']","['*', '  ']","['213', '  ']","['28', '  ']"
1463,r040,All companies (number of domestic employees) -> Large companies -> 500&#8211;999,All companies (number of domestic employees),Large companies,500&#8211;999,,,3,–,"['2,159', '  ']","['*', '  ']","['127', '  ']","['5', '  ']","['15', '&nbsp;']","['*', '  ']","['16', ' ']","['14', '  ']","['44', '  ']","['148', '  ']","['29', '  ']","['39', 'i']","['16', '  ']","['2', ' ']","['18', '  ']","['16', '  ']","['4', '  ']","['11', '  ']","['5', '&nbsp;']","['72', '  ']","['23', ' ']","['*', '  ']","['282', '  ']","['56', '  ']"
1463,r041,"All companies (number of domestic employees) -> Large companies -> 1,000&#8211;4,999",All companies (number of domestic employees),Large companies,"1,000&#8211;4,999",,,3,–,"['15,626', '  ']","['28', '  ']","['1,667', '  ']","['83', '  ']","['251', '&nbsp;']","['82', 'i ']","['269', ' ']","['156', 'i ']","['1,069', 'i ']","['1,594', '  ']","['32', '  ']","['387', '&nbsp;']","['163', '  ']","['25', ' ']","['422', '  ']","['68', '  ']","['79', '  ']","['37', '  ']","['133', '&nbsp;']","['417', '  ']","['543', ' ']","['11', '  ']","['1,592', '  ']","['387', '  ']"
1463,r042,"All companies (number of domestic employees) -> Large companies -> 5,000&#8211;9,999",All companies (number of domestic employees),Large companies,"5,000&#8211;9,999",,,3,–,"['8,986', '  ']","['D', '  ']","['507', '  ']","['35', '  ']","['86', '&nbsp;']","['64', '  ']","['51', ' ']","['16', '  ']","['234', '  ']","['610', '  ']","['26', '  ']","['954', '&nbsp;']","['99', '  ']","['5', ' ']","['296', '  ']","['8', '  ']","['126', '  ']","['22', 'i ']","['89', '&nbsp;']","['86', '  ']","['153', ' ']","['8', 'i ']","['839', '  ']","['226', '  ']"
1463,r043,"All companies (number of domestic employees) -> Large companies -> 10,000&#8211;24,999",All companies (number of domestic employees),Large companies,"10,000&#8211;24,999",,,3,–,"['14,661', '  ']","['50', '  ']","['654', '  ']","['77', '  ']","['376', '&nbsp;']","['41', '  ']","['52', ' ']","['68', '  ']","['539', '  ']","['1,663', '  ']","['36', 'i ']","['196', '&nbsp;']","['365', '  ']","['164', ' ']","['257', 'i ']","['125', '  ']","['103', '  ']","['76', 'i ']","['257', '&nbsp;']","['215', '  ']","['326', ' ']","['37', '  ']","['2,048', '  ']","['492', '  ']"
