table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_domestic_r_d_us_millions_,field_percent_of_domestic_sales_of_r_d_performers_or_fundersa,field_percent_of_domestic_sales_of_r_d_performers_onlyb
8809,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['585,694', '']","['5.2', '&nbsp;']","['5.4', '&nbsp;']"
8809,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['350,276', '']","['6.2', '&nbsp;']","['6.2', '&nbsp;']"
8809,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['5,496', '']","['0.9', '&nbsp;']","['0.9', '&nbsp;']"
8809,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['1,351', '']","['0.9', '&nbsp;']","['0.9', '&nbsp;']"
8809,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['832', '']","['1.3', '&nbsp;']","['1.3', '&nbsp;']"
8809,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['197', '']","['0.4', '&nbsp;']","['0.4', '&nbsp;']"
8809,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['934 - 936', '']","['D', '&nbsp;']","['1.1', '&nbsp;']"
8809,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['287', '']","['0.9', '&nbsp;']","['1.0', '&nbsp;']"
8809,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['1,518', '']","['0.7', '&nbsp;']","['0.7', '&nbsp;']"
8809,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['130,839', '']","['11.7', '&nbsp;']","['11.8', '&nbsp;']"
