table_id,row_id,degree_level_race_and_ethnicity_full_path,degree_level_race_and_ethnicity_level_1,degree_level_race_and_ethnicity_level_2,degree_level_race_and_ethnicity_hierarchy_depth,field_2012,field_2021,field_change_in_degrees_number,field_change_in_degrees_percent
9792,r001,Certificates,Certificates,,1,,,,
9792,r002,Certificates -> American Indian or Alaska Native,Certificates,American Indian or Alaska Native,2,464,699,235,50.6
9792,r003,Certificates -> Asian,Certificates,Asian,2,1420,4923,3503,246.7
9792,r004,Certificates -> Black or African American,Certificates,Black or African American,2,5481,10480,4999,91.2
9792,r005,Certificates -> Hispanic or Latino,Certificates,Hispanic or Latino,2,5899,13874,7975,135.2
9792,r006,Certificates -> Native Hawaiian or Other Pacific Islander,Certificates,Native Hawaiian or Other Pacific Islander,2,134,226,92,68.7
9792,r007,Certificates -> White,Certificates,White,2,22970,41571,18601,81.0
9792,r008,Certificates -> More than one race,Certificates,More than one race,2,514,2808,2294,446.3
9792,r009,Associate's degrees,Associate's degrees,,1,,,,
9792,r010,Associate's degrees -> American Indian or Alaska Native,Associate's degrees,American Indian or Alaska Native,2,1282,1115,-167,-13.0
9792,r011,Associate's degrees -> Asian,Associate's degrees,Asian,2,6726,16359,9633,143.2
9792,r012,Associate's degrees -> Black or African American,Associate's degrees,Black or African American,2,12339,12125,-214,-1.7
9792,r013,Associate's degrees -> Hispanic or Latino,Associate's degrees,Hispanic or Latino,2,18570,49155,30585,164.7
9792,r014,Associate's degrees -> Native Hawaiian or Other Pacific Islander,Associate's degrees,Native Hawaiian or Other Pacific Islander,2,662,594,-68,-10.3
9792,r015,Associate's degrees -> White,Associate's degrees,White,2,64037,61161,-2876,-4.5
9792,r016,Associate's degrees -> More than one race,Associate's degrees,More than one race,2,1554,6335,4781,307.7
9792,r017,Bachelor's degrees,Bachelor's degrees,,1,,,,
9792,r018,Bachelor's degrees -> American Indian or Alaska Native,Bachelor's degrees,American Indian or Alaska Native,2,3661,3038,-623,-17.0
9792,r019,Bachelor's degrees -> Asian,Bachelor's degrees,Asian,2,54924,84161,29237,53.2
9792,r020,Bachelor's degrees -> Black or African American,Bachelor's degrees,Black or African American,2,55148,67450,12302,22.3
9792,r021,Bachelor's degrees -> Hispanic or Latino,Bachelor's degrees,Hispanic or Latino,2,63425,134194,70769,111.6
9792,r022,Bachelor's degrees -> Native Hawaiian or Other Pacific Islander,Bachelor's degrees,Native Hawaiian or Other Pacific Islander,2,1568,1530,-38,-2.4
9792,r023,Bachelor's degrees -> White,Bachelor's degrees,White,2,379086,410637,31551,8.3
9792,r024,Bachelor's degrees -> More than one race,Bachelor's degrees,More than one race,2,10234,33991,23757,232.1
9792,r025,Master's degrees,Master's degrees,,1,,,,
9792,r026,Master's degrees -> American Indian or Alaska Native,Master's degrees,American Indian or Alaska Native,2,554,518,-36,-6.5
9792,r027,Master's degrees -> Asian,Master's degrees,Asian,2,10216,16509,6293,61.6
9792,r028,Master's degrees -> Black or African American,Master's degrees,Black or African American,2,9883,14191,4308,43.6
9792,r029,Master's degrees -> Hispanic or Latino,Master's degrees,Hispanic or Latino,2,8878,17779,8901,100.3
9792,r030,Master's degrees -> Native Hawaiian or Other Pacific Islander,Master's degrees,Native Hawaiian or Other Pacific Islander,2,207,264,57,27.5
9792,r031,Master's degrees -> White,Master's degrees,White,2,71362,80229,8867,12.4
9792,r032,Master's degrees -> More than one race,Master's degrees,More than one race,2,1945,5131,3186,163.8
9792,r033,Doctoral degrees,Doctoral degrees,,1,,,,
9792,r034,Doctoral degrees -> American Indian or Alaska Native,Doctoral degrees,American Indian or Alaska Native,2,123,106,-17,-13.8
9792,r035,Doctoral degrees -> Asian,Doctoral degrees,Asian,2,2527,2947,420,16.6
9792,r036,Doctoral degrees -> Black or African American,Doctoral degrees,Black or African American,2,1535,2664,1129,73.6
9792,r037,Doctoral degrees -> Hispanic or Latino,Doctoral degrees,Hispanic or Latino,2,1537,2817,1280,83.3
9792,r038,Doctoral degrees -> Native Hawaiian or Other Pacific Islander,Doctoral degrees,Native Hawaiian or Other Pacific Islander,2,24,40,16,66.7
9792,r039,Doctoral degrees -> White,Doctoral degrees,White,2,18632,19409,777,4.2
9792,r040,Doctoral degrees -> More than one race,Doctoral degrees,More than one race,2,255,1014,759,297.6
