table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_companies_u_s_totala_number_,field_united_states,field_nebraska,field_nevada,field_new_hampshire,field_new_jersey,field_new_mexico,field_new_york,field_north_carolina,field_north_dakota,field_ohio,field_oklahoma,field_oregon,field_pennsylvania,field_rhode_island,field_south_carolina,field_south_dakota,field_tennessee,field_texas,field_utah,field_vermont,field_virginia,field_washington,field_west_virginia,field_wisconsin,field_wyoming,field_undistributedb
12289,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['28,450', '  ']","['608,058', '  ']","['1,395', '  ']","['1,471', '  ']","['1,449', '  ']","['20,144', '  ']","['1,514', '  ']","['29,915', '  ']","['11,503', '  ']","['454', '  ']","['10,501', '  ']","['1,820', '  ']","['12,426', '  ']","['17,151', '  ']","['594', '  ']","['2,319', '  ']","['201', '  ']","['2,147', '  ']","['26,151', '  ']","['3,748', '  ']","['614', '  ']","['6,451', '  ']","['55,718', '  ']","['444', '  ']","['6,470', '  ']","['78', '  ']","['703', '  ']"
12289,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['14,310', '  ']","['326,998', '  ']","['359', '  ']","['833', '  ']","['839', '  ']","['14,062', '  ']","['1,254', '  ']","['10,564', '  ']","['6,789', '  ']","['305', '  ']","['8,339', '  ']","['608', '  ']","['10,085', '  ']","['12,445', '  ']","['482', '  ']","['1,162', '  ']","['129', '  ']","['1,097', '  ']","['13,505', '  ']","['1,486', '  ']","['487', '  ']","['1,878', '  ']","['6,322', '  ']","['377', '  ']","['4,321', '  ']","['31', '  ']","['349', '  ']"
12289,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['950', '  ']","['D', '  ']","['74', '  ']","['8', 'e ']","['17', '  ']","['266', '  ']","['4', 'e ']","['360', '  ']","['195', '  ']","['9', 'e ']","['190', '  ']","['75', '  ']","['54', '  ']","['125', '  ']","['71', 'i ']","['32', '  ']","['7', 'e ']","['69', '  ']","['402', '  ']","['27', '  ']","['7', 'e ']","['64', '  ']","['76', 'e ']","['1', 'e ']","['172', '  ']","['1', 'e ']","['D', '  ']"
12289,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['160', '  ']","['660', '  ']","['*', 'e ']","['*', 'e ']","['*', 'e ']","['1', 'e ']","['*', 'e ']","['20', '  ']","['78', '  ']","['*', 'e ']","['2', '  ']","['1', '  ']","['2', 'e ']","['4', '  ']","['*', 'e ']","['*', 'e ']","['*', 'e ']","['1', 'e ']","['63', '  ']","['5', 'r ']","['1', 'e ']","['109', '  ']","['50', '  ']","['*', 'e ']","['6', '  ']","['*', 'e ']","['D', '  ']"
12289,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['260', '  ']","['D', '  ']","['*', 'e ']","['*', 'e ']","['7', '  ']","['18', '  ']","['*', 'e ']","['25', '  ']","['60', '  ']","['*', 'e ']","['94', '  ']","['2', '  ']","['15', '  ']","['2', 'i ']","['4', '  ']","['66', '  ']","['*', 'e ']","['1', '  ']","['5', '  ']","['2', '  ']","['4', '  ']","['1', 'e ']","['16', '  ']","['*', 'e ']","['10', '  ']","['*', '  ']","['D', '  ']"
12289,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['100', '  ']","['254', '  ']","['*', 'e ']","['*', 'e ']","['*', 'e ']","['1', '  ']","['*', '  ']","['3', '  ']","['12', '  ']","['8', '  ']","['4', '  ']","['*', '  ']","['8', '  ']","['5', '  ']","['*', '  ']","['5', '  ']","['*', 'e ']","['5', '  ']","['18', '  ']","['1', '  ']","['*', 'e ']","['3', '  ']","['12', '  ']","['1', '  ']","['10', '  ']","['*', 'e ']","['D', '  ']"
12289,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['100', '  ']","['1,004', '  ']","['1', '  ']","['*', '  ']","['*', 'e ']","['22', '  ']","['*', 'e ']","['18', '  ']","['33', '  ']","['*', '  ']","['23', '  ']","['2', '  ']","['*', 'e ']","['39', '  ']","['3', '  ']","['85', '  ']","['*', 'e ']","['9', '  ']","['26', '  ']","['*', 'e ']","['*', 'e ']","['112', '  ']","['24', '  ']","['*', 'e ']","['316', '  ']","['0', '  ']","['2', '  ']"
12289,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['140', '  ']","['164', '  ']","['*', 'e ']","['*', 'e ']","['*', 'e ']","['2', '  ']","['*', 'e ']","['6', '  ']","['14', 'i ']","['*', 'e ']","['*', 'i ']","['*', 'e ']","['*', 'i ']","['7', '  ']","['*', 'e ']","['1', 'i ']","['*', 'e ']","['9', '  ']","['5', '  ']","['1', 'i ']","['*', 'e ']","['*', 'e ']","['*', '  ']","['4', '  ']","['8', 'i ']","['*', 'e ']","['8', '  ']"
12289,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['80', '  ']","['856', '  ']","['*', 'e ']","['*', 'e ']","['*', 'e ']","['270', '  ']","['*', 'e ']","['*', 'e ']","['5', '  ']","['0', '  ']","['6', '  ']","['44', '  ']","['5', '  ']","['7', '  ']","['*', 'e ']","['*', 'e ']","['*', 'e ']","['*', 'e ']","['356', '  ']","['D', '  ']","['0', '  ']","['1', '  ']","['*', '  ']","['*', 'e ']","['2', '  ']","['0', '  ']","['D', '  ']"
12289,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['2,240', '  ']","['113,518', '  ']","['99', 'i ']","['27', 'i ']","['74', '  ']","['11,301', '  ']","['8', 'e ']","['5,458', '  ']","['2,360', '  ']","['19', '  ']","['2,499', '  ']","['15', '  ']","['98', '  ']","['8,912', '  ']","['45', '  ']","['248', 'i ']","['24', '  ']","['322', '  ']","['1,076', '  ']","['359', '  ']","['47', '  ']","['407', 'i ']","['2,064', '  ']","['263', 'i ']","['695', '  ']","['9', 'e ']","['D', '  ']"
