table_id,row_id,technology,companies_number_,no_use,testing_but_not_using_in_production_or_service,in_use_for_less_than_5_of_production_or_service,in_use_for_between_5_and_25_of_production_or_service,in_use_for_more_than_25_of_production_or_service,don_t_know
2682,r001,Augmented reality,"['    3,500,973 ', '&nbsp;']","['    80.3 ', '&nbsp;']","['    0.3 ', '&nbsp;']","['    0.2 ', '&nbsp;']","['    0.2 ', '&nbsp;']","['    0.2 ', '&nbsp;']","['    18.7 ', '&nbsp;']"
2682,r002,Automated guided vehicles (AGVs) or AGV systems,"['    3,500,973 ', '&nbsp;']","['    81.9 ', '&nbsp;']","['    0.2 ', '&nbsp;']","['    0.2 ', '&nbsp;']","['    0.1 ', '&nbsp;']","['    0.3 ', '&nbsp;']","['    17.3 ', '&nbsp;']"
2682,r003,Automated storage and retrieval systems,"['    3,500,973 ', '&nbsp;']","['    77.1 ', '&nbsp;']","['    0.3 ', '&nbsp;']","['    0.7 ', '&nbsp;']","['    0.8 ', '&nbsp;']","['    2.3 ', '&nbsp;']","['    18.7 ', '&nbsp;']"
2682,r004,Machine learning,"['    3,500,973 ', '&nbsp;']","['    79.9 ', '&nbsp;']","['    0.5 ', '&nbsp;']","['    0.7 ', '&nbsp;']","['    0.6 ', '&nbsp;']","['    0.7 ', '&nbsp;']","['    17.6 ', '&nbsp;']"
2682,r005,Machine vision software,"['    3,500,973 ', '&nbsp;']","['    81.1 ', '&nbsp;']","['    0.3 ', '&nbsp;']","['    0.4 ', '&nbsp;']","['    0.3 ', '&nbsp;']","['    0.5 ', '&nbsp;']","['    17.4 ', '&nbsp;']"
2682,r006,Natural language processing,"['    3,500,973 ', '&nbsp;']","['    81.3 ', '&nbsp;']","['    0.3 ', '&nbsp;']","['    0.4 ', '&nbsp;']","['    0.2 ', '&nbsp;']","['    0.4 ', '&nbsp;']","['    17.4 ', '&nbsp;']"
2682,r007,Radio-frequency identification (RFID) inventory system,"['    3,500,973 ', '&nbsp;']","['    82.1 ', '&nbsp;']","['    0.2 ', '&nbsp;']","['    0.3 ', '&nbsp;']","['    0.2 ', '&nbsp;']","['    0.2 ', '&nbsp;']","['    17.0 ', '&nbsp;']"
2682,r008,Robotics,"['    3,500,973 ', '&nbsp;']","['    82.4 ', '&nbsp;']","['    0.2 ', '&nbsp;']","['    0.3 ', '&nbsp;']","['    0.2 ', '&nbsp;']","['    0.3 ', '&nbsp;']","['    16.6 ', '&nbsp;']"
2682,r009,"Touchscreens/ kiosks for customer interface (e.g., self-checkout, self-check-in, touchscreen ordering)","['    3,500,973 ', '&nbsp;']","['    79.2 ', '&nbsp;']","['    0.6 ', '&nbsp;']","['    1.1 ', '&nbsp;']","['    0.9 ', '&nbsp;']","['    1.6 ', '&nbsp;']","['    16.6 ', '&nbsp;']"
2682,r010,Voice recognition software,"['    3,500,973 ', '&nbsp;']","['    80.8 ', '&nbsp;']","['    0.6 ', '&nbsp;']","['    0.9 ', '&nbsp;']","['    0.6 ', '&nbsp;']","['    0.5 ', '&nbsp;']","['    16.6 ', '&nbsp;']"
