table_id,row_id,business_activity_sup_a_sup_full_path,business_activity_sup_a_sup_level_1,business_activity_sup_a_sup_level_2,business_activity_sup_a_sup_hierarchy_depth,field_business_codeb,field_sales_worldwide,field_sales_domestic,field_sales_foreign
9648,r035,All business activities -> Photographic and photocopying equipment manufacturing,All business activities,Photographic and photocopying equipment manufacturing,2,33331,"['1,389', '  ']","['1,196', '  ']","['194', '  ']"
9648,r036,"All business activities -> Commercial, service industry, temperature control, and air-flow control machinery manufacturing",All business activities,"Commercial, service industry, temperature control, and air-flow control machinery manufacturing",2,33332,"['113,315', '  ']","['78,388', '  ']","['34,927', '  ']"
9648,r037,All business activities -> Digital cameras manufacturing,All business activities,Digital cameras manufacturing,2,33333,"['2,079', '  ']","['1,987', '  ']","['92', '  ']"
9648,r038,"All business activities -> Engine, turbine, and power transmission equipment manufacturing",All business activities,"Engine, turbine, and power transmission equipment manufacturing",2,33360,"['129,923', '  ']","['67,284', '  ']","['62,639', '  ']"
9648,r039,All business activities -> Metalworking and other general purpose machinery manufacturing,All business activities,Metalworking and other general purpose machinery manufacturing,2,33390,"['123,723', '  ']","['85,232', '  ']","['38,491', '  ']"
9648,r040,All business activities -> Computers and peripheral equipment manufacturing and magnetic and optical media,All business activities,Computers and peripheral equipment manufacturing and magnetic and optical media,2,33412,"['544,417', '  ']","['240,413', '  ']","['304,004', '  ']"
9648,r041,"All business activities -> Telephone apparatus manufacturing, including routers, modems, and gateways",All business activities,"Telephone apparatus manufacturing, including routers, modems, and gateways",2,33421,"['72,948', '  ']","['40,402', '  ']","['32,546', '  ']"
9648,r042,"All business activities -> Radio, television, and wireless communication equipment manufacturing",All business activities,"Radio, television, and wireless communication equipment manufacturing",2,33422,"['44,090', '  ']","['36,858', '  ']","['7,231', '  ']"
9648,r043,"All business activities -> Other communication equipment manufacturing (except radio, television, and wireless communication equipment)",All business activities,"Other communication equipment manufacturing (except radio, television, and wireless communication equipment)",2,33429,"['11,023', '  ']","['8,182', '  ']","['2,841', '  ']"
9648,r044,All business activities -> Audio and video equipment manufacturing,All business activities,Audio and video equipment manufacturing,2,33430,"['12,414', '  ']","['9,270', '  ']","['3,145', '  ']"
9648,r045,All business activities -> Semiconductor and other electronic components manufacturing,All business activities,Semiconductor and other electronic components manufacturing,2,33440,"['451,443', '  ']","['236,165', '  ']","['215,279', '  ']"
9648,r046,"All business activities -> Electromedical, electrotherapeutic, and irradiation apparatus manufacturing",All business activities,"Electromedical, electrotherapeutic, and irradiation apparatus manufacturing",2,33451,"['41,958', '  ']","['27,944', '  ']","['14,014', '  ']"
9648,r047,"All business activities -> Search, detection, navigation, guidance, aeronautical, and nautical system and instruments manufacturing",All business activities,"Search, detection, navigation, guidance, aeronautical, and nautical system and instruments manufacturing",2,33452,"['36,390', '  ']","['33,469', '  ']","['2,921', '  ']"
9648,r048,All business activities -> Measuring and control instruments manufacturing (not listed elsewhere),All business activities,Measuring and control instruments manufacturing (not listed elsewhere),2,33459,"['109,876', '  ']","['70,193', '  ']","['39,683', '  ']"
9648,r049,"All business activities -> Electrical equipment, appliances, and components manufacturing",All business activities,"Electrical equipment, appliances, and components manufacturing",2,33500,"['204,520', '  ']","['132,548', '  ']","['71,971', '  ']"
9648,r050,All business activities -> Motor vehicles manufacturing,All business activities,Motor vehicles manufacturing,2,33610,"['482,782', '  ']","['348,358', '  ']","['134,424', '  ']"
9648,r051,All business activities -> Motor vehicle body and trailer manufacturing,All business activities,Motor vehicle body and trailer manufacturing,2,33620,"['40,201', '  ']","['35,524', '  ']","['4,676', '  ']"
9648,r052,All business activities -> Motor vehicle parts manufacturing,All business activities,Motor vehicle parts manufacturing,2,33630,"['289,837', '  ']","['174,755', '  ']","['115,082', '  ']"
9648,r053,All business activities -> Aircraft manufacturing,All business activities,Aircraft manufacturing,2,33641,"['112,168', '  ']","['105,780', '  ']","['6,387', '  ']"
9648,r054,All business activities -> Aircraft engine and engine parts manufacturing,All business activities,Aircraft engine and engine parts manufacturing,2,33642,"['101,036', '  ']","['70,572', '  ']","['30,464', '  ']"
9648,r055,All business activities -> Other aircraft parts and auxiliary equipment manufacturing,All business activities,Other aircraft parts and auxiliary equipment manufacturing,2,33643,"['59,199', '  ']","['50,612', '  ']","['8,587', '  ']"
9648,r056,"All business activities -> Guided missiles, space vehicles, and related parts manufacturing",All business activities,"Guided missiles, space vehicles, and related parts manufacturing",2,33644,"['45,508', '  ']","['42,741', '  ']","['2,767', '  ']"
9648,r057,All business activities -> Railroad rolling stock manufacturing,All business activities,Railroad rolling stock manufacturing,2,33651,"['14,276', '  ']","['10,646', 'i ']","['3,630', 'i ']"
9648,r058,All business activities -> Ship and boat building,All business activities,Ship and boat building,2,33660,"['20,558', '  ']","['18,408', '  ']","['2,150', '  ']"
9648,r059,"All business activities -> Motorcycle, bicycle, and parts manufacturing",All business activities,"Motorcycle, bicycle, and parts manufacturing",2,33691,"['13,464', '  ']","['6,788', '  ']","['6,676', '  ']"
9648,r060,"All business activities -> Military armored vehicle, tank, and tank components manufacturing",All business activities,"Military armored vehicle, tank, and tank components manufacturing",2,33692,"['17,819', 'i ']","['16,026', '  ']","['1,793', 'i ']"
9648,r061,All business activities -> All other transportation equipment manufacturing,All business activities,All other transportation equipment manufacturing,2,33699,"['18,746', '  ']","['16,621', '  ']","['2,124', '  ']"
9648,r062,All business activities -> Furniture and related products manufacturing,All business activities,Furniture and related products manufacturing,2,33700,"['53,564', '  ']","['46,172', '  ']","['7,392', '  ']"
9648,r063,All business activities -> Medical equipment and supplies manufacturing,All business activities,Medical equipment and supplies manufacturing,2,33910,"['354,587', '  ']","['233,592', '  ']","['120,995', '  ']"
9648,r064,"All business activities -> Miscellaneous manufacturing not listed elsewhere (games, office supplies, slot machines, etc.)",All business activities,"Miscellaneous manufacturing not listed elsewhere (games, office supplies, slot machines, etc.)",2,33990,"['148,520', '  ']","['100,515', '  ']","['48,004', '  ']"
9648,r065,"All business activities -> Merchant wholesalers, durable goods",All business activities,"Merchant wholesalers, durable goods",2,42300,"['273,073', '  ']","['246,611', '  ']","['26,461', '  ']"
9648,r066,"All business activities -> Merchant wholesalers, nondurable goods",All business activities,"Merchant wholesalers, nondurable goods",2,42400,"['1,244,756', '  ']","['1,047,955', 'i ']","['196,801', '  ']"
9648,r067,All business activities -> Wholesale electronic markets and agents and brokers (business to business),All business activities,Wholesale electronic markets and agents and brokers (business to business),2,42500,"['26,909', '  ']","['26,624', '  ']","['285', '  ']"
9648,r068,All business activities -> Retail trade (except electronic shopping and electronic auctions),All business activities,Retail trade (except electronic shopping and electronic auctions),2,44000,"['612,483', '  ']","['564,943', '  ']","['47,540', '  ']"
9648,r069,All business activities -> Electronic shopping and electronic auctions,All business activities,Electronic shopping and electronic auctions,2,45411,"['177,183 - 451,673', '  ']","['177,184', '  ']","['0 - 274,489', '  ']"
9648,r070,All business activities -> Transportation,All business activities,Transportation,2,48000,"['262,617', '  ']","['206,420', '  ']","['56,197', '  ']"
9648,r071,"All business activities -> Couriers, messengers, and express delivery services",All business activities,"Couriers, messengers, and express delivery services",2,49200,"['77,787 - 352,277', '  ']","['77,788', '  ']","['0 - 274,489', '  ']"
9648,r072,All business activities -> Warehousing and storage,All business activities,Warehousing and storage,2,49300,"['3,820 - 278,310', '  ']","['3,821', '  ']","['0 - 274,489', '  ']"
9648,r073,"All business activities -> Newspaper, periodical, book, and directory publishers (except Internet)",All business activities,"Newspaper, periodical, book, and directory publishers (except Internet)",2,51110,"['7,116', '  ']","['5,427', '  ']","['1,690', '  ']"
9648,r074,All business activities -> Software publishers (except Internet),All business activities,Software publishers (except Internet),2,51120,"['261,541', '  ']","['163,090', '  ']","['98,450', '  ']"
9648,r075,All business activities -> Motion picture and sound recording (except Internet),All business activities,Motion picture and sound recording (except Internet),2,51200,"['37,689', '  ']","['36,551', '  ']","['1,138', '  ']"
9648,r076,All business activities -> Broadcasting (except Internet),All business activities,Broadcasting (except Internet),2,51500,"['161,160', '  ']","['125,414', '  ']","['35,746', '  ']"
9648,r077,All business activities -> Wired telecommunications carriers,All business activities,Wired telecommunications carriers,2,51710,"['156,938', '  ']","['153,019', '  ']","['3,919', 'i ']"
9648,r078,All business activities -> Wireless telecommunications carriers (except satellite),All business activities,Wireless telecommunications carriers (except satellite),2,51720,"['275,173', '  ']","['274,485', '  ']","['688', 'i ']"
9648,r079,All business activities -> Satellite telecommunications,All business activities,Satellite telecommunications,2,51740,"['34,165', '  ']","['32,956', '  ']","['1,208', '  ']"
9648,r080,All business activities -> Other telecommunications (not listed elsewhere),All business activities,Other telecommunications (not listed elsewhere),2,51790,"['15,314', '  ']","['14,546', '  ']","['767', '  ']"
9648,r081,"All business activities -> Data processing, hosting, and related services",All business activities,"Data processing, hosting, and related services",2,51800,"['139,242', '  ']","['91,782', '  ']","['47,460', '  ']"
9648,r082,All business activities -> Cloud computing applications and Internet-based software services,All business activities,Cloud computing applications and Internet-based software services,2,51801,"['347,399', '  ']","['253,071', '  ']","['94,328', '  ']"
9648,r083,"All business activities -> Other information services, including Internet publishing, broadcasting, and Web search portals",All business activities,"Other information services, including Internet publishing, broadcasting, and Web search portals",2,51910,"['337,368', '  ']","['184,891', '  ']","['152,477', '  ']"
9648,r084,All business activities -> Finance: banking and credit intermediation,All business activities,Finance: banking and credit intermediation,2,52200,"['647,339', '  ']","['581,988', '  ']","['65,351', '  ']"
9648,r085,"All business activities -> Securities, commodity contracts, and other financial investments and related activities, including funds and trusts",All business activities,"Securities, commodity contracts, and other financial investments and related activities, including funds and trusts",2,52310,"['160,242', '  ']","['127,753', '  ']","['32,489', '  ']"
9648,r086,All business activities -> Insurance carriers and related activities,All business activities,Insurance carriers and related activities,2,52400,"['956,121', '  ']","['938,357', '  ']","['17,764', '  ']"
9648,r087,All business activities -> Real estate,All business activities,Real estate,2,53100,"['28,907', '  ']","['28,905', '  ']","['1', '  ']"
9648,r088,All business activities -> Rental and leasing services,All business activities,Rental and leasing services,2,53200,"['35,633', '  ']","['25,953', '  ']","['9,680', '  ']"
9648,r089,"All business activities -> Lessors of nonfinancial intangible assets, including patent licensing",All business activities,"Lessors of nonfinancial intangible assets, including patent licensing",2,53300,"['8,950', '  ']","['7,112', '  ']","['1,838', '  ']"
9648,r090,"All business activities -> Legal, accounting, tax preparation, bookkeeping, and payroll services",All business activities,"Legal, accounting, tax preparation, bookkeeping, and payroll services",2,54111,"['30,913', '  ']","['28,216', '  ']","['2,697', '  ']"
9648,r091,"All business activities -> Architectural, engineering, and related services",All business activities,"Architectural, engineering, and related services",2,54130,"['122,015', '  ']","['106,100', '  ']","['15,915', '  ']"
9648,r092,All business activities -> Specialized design services,All business activities,Specialized design services,2,54140,"['543', '  ']","['489', '  ']","['55', '  ']"
9648,r093,All business activities -> Computer systems design and related services,All business activities,Computer systems design and related services,2,54150,"['276,104', '  ']","['196,449', '  ']","['79,654', '  ']"
9648,r094,"All business activities -> Management, scientific, and technical consulting services",All business activities,"Management, scientific, and technical consulting services",2,54160,"['72,593', '  ']","['66,367', '  ']","['6,226', '  ']"
9648,r095,All business activities -> Research and development services in the social sciences and humanities,All business activities,Research and development services in the social sciences and humanities,2,54172,"['1,545', '  ']","['1,543', '  ']","['1', '  ']"
9648,r096,All business activities -> Research and development services in biotechnology,All business activities,Research and development services in biotechnology,2,54173,"['18,474', '  ']","['12,334', '  ']","['6,140', '  ']"
9648,r097,"All business activities -> Research and development services in the physical, engineering, and life sciences (except biotechnology)",All business activities,"Research and development services in the physical, engineering, and life sciences (except biotechnology)",2,54174,"['61,543', '  ']","['46,153', '  ']","['15,390', 'i ']"
9648,r098,All business activities -> Research and development services in nanotechnology,All business activities,Research and development services in nanotechnology,2,54175,"['317', '  ']","['315', '  ']","['2', '  ']"
9648,r099,All business activities -> Advertising and related services,All business activities,Advertising and related services,2,54180,"['136,087 - 410,577', '  ']","['136,088', '  ']","['0 - 274,489', '  ']"
9648,r100,"All business activities -> Professional, scientific, and technical services (not listed elsewhere)",All business activities,"Professional, scientific, and technical services (not listed elsewhere)",2,54190,"['31,870', '  ']","['28,758', '  ']","['3,112', '  ']"
9648,r101,All business activities -> Management of companies and enterprises,All business activities,Management of companies and enterprises,2,55100,"['13,688', 'i ']","['13,584', 'i ']","['104', 'i ']"
9648,r102,All business activities -> Administrative and support services,All business activities,Administrative and support services,2,56100,"['63,477', '  ']","['54,124', '  ']","['9,353', '  ']"
9648,r103,All business activities -> Waste management and remediation services,All business activities,Waste management and remediation services,2,56200,"['18,548', 'r ']","['17,919', 'r ']","['629', '  ']"
9648,r104,All business activities -> Offices of physicians,All business activities,Offices of physicians,2,62110,"['46,737', '  ']","['46,737', '  ']","['0', '  ']"
9648,r105,All business activities -> Medical and diagnostic laboratories,All business activities,Medical and diagnostic laboratories,2,62150,"['59,662', '  ']","['54,021', '  ']","['5,641', 'i ']"
9648,r106,"All business activities -> Other ambulatory health care services (ambulance, dental, home health care)",All business activities,"Other ambulatory health care services (ambulance, dental, home health care)",2,62199,"['35,085', '  ']","['28,942', '  ']","['6,143', '  ']"
9648,r107,All business activities -> Hospitals and nursing care facilities,All business activities,Hospitals and nursing care facilities,2,62200,"['20,567', '  ']","['20,567', '  ']","['0', '  ']"
9648,r108,All business activities -> Social assistance services,All business activities,Social assistance services,2,62400,"['98', '  ']","['98', '  ']","['0', '  ']"
9648,r109,"All business activities -> Arts, entertainment, and recreation",All business activities,"Arts, entertainment, and recreation",2,71000,"['17,999', '  ']","['16,119', '  ']","['1,880', '  ']"
9648,r110,All business activities -> Accommodation and food services,All business activities,Accommodation and food services,2,72000,"['66,202', '  ']","['43,144', '  ']","['23,058', '  ']"
9648,r111,All business activities -> Other services (not listed elsewhere),All business activities,Other services (not listed elsewhere),2,81000,"['245,169', '  ']","['172,482', '  ']","['72,687', '  ']"
9648,r112,All business activities -> Less: intersegment eliminations,All business activities,Less: intersegment eliminations,2,–,"['242,276', '  ']","['146,835', '  ']","['95,441', '  ']"
9648,r113,All business activities -> Undistributed,All business activities,Undistributed,2,–,"['0', '  ']","['0', '  ']","['0', '  ']"
