table_id,row_id,_b_broad_field_b_full_path,_b_broad_field_b_level_1,_b_broad_field_b_level_2,_b_broad_field_b_level_3,_b_broad_field_b_hierarchy_depth,field_graduate_students_all_graduate_students_total_number,field_graduate_students_all_graduate_students_percent_in_public_institutions,field_graduate_students_master_s_total_number,field_graduate_students_master_s_percent_in_public_institutions,field_graduate_students_doctoral_total_number,field_graduate_students_doctoral_percent_in_public_institutions,field_postdoctoral_appointees_total_number,field_postdoctoral_appointees_percent_in_public_institutions,field_doctorate_holding_nonfaculty_researchers_total_number,field_doctorate_holding_nonfaculty_researchers_percent_in_public_institutions
6043,r001,All broad fields,All broad fields,,,1,697813,67.0,414478,64.4,283335,70.6,65681,53.7,29661,64.9
6043,r002,All broad fields -> Science,All broad fields,Science,,2,464646,65.3,267904,62.3,196742,69.5,38741,55.9,18212,65.4
6043,r003,All broad fields -> Science -> Agricultural and veterinary sciences,All broad fields,Science,Agricultural and veterinary sciences,3,10800,95.9,6487,96.5,4313,95.0,1678,90.8,964,87.0
6043,r004,All broad fields -> Science -> Biological and biomedical sciences,All broad fields,Science,Biological and biomedical sciences,3,94825,62.5,39920,59.2,54905,64.8,21902,49.0,8112,55.9
6043,r005,All broad fields -> Science -> Computer and information sciences,All broad fields,Science,Computer and information sciences,3,98864,68.2,80690,67.7,18174,70.4,823,53.3,458,72.9
6043,r006,"All broad fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All broad fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",3,11792,84.4,5277,91.3,6515,78.8,1790,69.1,2150,83.5
6043,r007,All broad fields -> Science -> Mathematics and statistics,All broad fields,Science,Mathematics and statistics,3,31971,68.0,18284,61.8,13687,76.2,1076,66.0,201,75.6
6043,r008,All broad fields -> Science -> Multidisciplinary and interdisciplinary studies,All broad fields,Science,Multidisciplinary and interdisciplinary studies,3,14533,60.0,10980,57.2,3553,68.8,832,57.0,679,66.7
6043,r009,All broad fields -> Science -> Natural resources and conservation,All broad fields,Science,Natural resources and conservation,3,12498,83.5,8793,81.3,3705,88.7,845,84.1,573,93.4
6043,r010,All broad fields -> Science -> Physical sciences,All broad fields,Science,Physical sciences,3,42616,72.1,6275,73.4,36341,71.9,6937,61.1,2890,65.4
6043,r011,All broad fields -> Science -> Psychology,All broad fields,Science,Psychology,3,68394,51.6,47279,45.2,21115,65.9,1312,59.0,749,72.0
6043,r012,All broad fields -> Science -> Social sciences,All broad fields,Science,Social sciences,3,78353,63.5,43919,61.1,34434,66.6,1546,53.6,1436,58.3
6043,r013,All broad fields -> Engineering,All broad fields,Engineering,,2,157729,70.7,86450,68.7,71279,73.2,8462,60.9,3921,74.6
6043,r014,"All broad fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All broad fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",3,6971,75.3,4326,71.9,2645,80.8,233,68.2,149,82.6
6043,r015,"All broad fields -> Engineering -> Biological, biomedical, and biosystems engineering",All broad fields,Engineering,"Biological, biomedical, and biosystems engineering",3,12775,60.0,4536,60.8,8239,59.6,1696,45.6,525,57.5
6043,r016,"All broad fields -> Engineering -> Chemical, petroleum, and chemical-related engineering",All broad fields,Engineering,"Chemical, petroleum, and chemical-related engineering",3,10554,70.6,2942,69.8,7612,71.0,1157,59.7,330,66.1
6043,r017,"All broad fields -> Engineering -> Civil, environmental, transportation and related engineering fields",All broad fields,Engineering,"Civil, environmental, transportation and related engineering fields",3,18304,78.9,10819,77.7,7485,80.6,1006,66.5,488,81.4
6043,r018,"All broad fields -> Engineering -> Electrical, electronics, communications and computer engineering",All broad fields,Engineering,"Electrical, electronics, communications and computer engineering",3,43032,67.5,25312,63.6,17720,73.2,1302,61.6,706,79.7
6043,r019,"All broad fields -> Engineering -> Industrial, manufacturing, systems engineering and operations research",All broad fields,Engineering,"Industrial, manufacturing, systems engineering and operations research",3,14869,63.6,11030,58.2,3839,79.1,194,72.7,155,64.5
6043,r020,All broad fields -> Engineering -> Mechanical engineering,All broad fields,Engineering,Mechanical engineering,3,25782,70.9,14305,70.1,11477,72.0,1149,60.9,469,77.6
6043,r021,"All broad fields -> Engineering -> Metallurgical, mining, materials and related engineering fields",All broad fields,Engineering,"Metallurgical, mining, materials and related engineering fields",3,7181,78.4,2299,77.8,4882,78.6,630,59.5,299,78.6
6043,r022,All broad fields -> Engineering -> Other engineering,All broad fields,Engineering,Other engineering,3,18261,78.4,10881,80.4,7380,75.4,1095,76.7,800,77.8
6043,r023,All broad fields -> Health,All broad fields,Health,,2,75438,69.0,60124,67.8,15314,73.6,18478,45.6,7528,58.8
6043,r024,All broad fields -> Health -> Clinical medicine<sup>a</sup>,All broad fields,Health,Clinical medicine<sup>a</sup>,3,34544,62.0,29748,60.4,4796,71.9,16287,40.3,6500,54.7
6043,r025,All broad fields -> Health -> Other health,All broad fields,Health,Other health,3,40894,74.8,30376,75.0,10518,74.4,2191,84.3,1028,84.8
