table_id,row_id,sex_and_demographic_characteristic_160_160_160_160_160_160_160_160_160_160_160_160_160_full_path,sex_and_demographic_characteristic_160_160_160_160_160_160_160_160_160_160_160_160_160_level_1,sex_and_demographic_characteristic_160_160_160_160_160_160_160_160_160_160_160_160_160_level_2,sex_and_demographic_characteristic_160_160_160_160_160_160_160_160_160_160_160_160_160_level_3,sex_and_demographic_characteristic_160_160_160_160_160_160_160_160_160_160_160_160_160_level_4,sex_and_demographic_characteristic_160_160_160_160_160_160_160_160_160_160_160_160_160_level_5,sex_and_demographic_characteristic_160_160_160_160_160_160_160_160_160_160_160_160_160_hierarchy_depth,field_total,field_hispanic_or_latinoa,field_not_hispanic_or_latino_american_indian_or_alaska_native,field_not_hispanic_or_latino_asian,field_not_hispanic_or_latino_black_or_african_american,field_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander,field_not_hispanic_or_latino_white,field_not_hispanic_or_latino_more_than_one_race
1277,r001,Employed scientists and engineers (number),Employed scientists and engineers (number),,,,,1,27273000,2328000,79000,3546000,2008000,67000,18750000,495000
1277,r002,Employed scientists and engineers (number) -> Age (years),Employed scientists and engineers (number),Age (years),,,,2,,,,,,,,
1277,r003,Employed scientists and engineers (number) -> Age (years) -> 29 and younger,Employed scientists and engineers (number),Age (years),29 and younger,,,3,14.8,20.7,S,16.3,13.4,11.9,13.6,25.5
1277,r004,Employed scientists and engineers (number) -> Age (years) -> 30&#8211;39,Employed scientists and engineers (number),Age (years),30&#8211;39,,,3,26.4,28.9,22.8,32.5,28.5,25.4,24.5,37.6
1277,r005,Employed scientists and engineers (number) -> Age (years) -> 40&#8211;49,Employed scientists and engineers (number),Age (years),40&#8211;49,,,3,22.9,24.1,26.6,26.8,24.7,41.8,21.9,19.0
1277,r006,Employed scientists and engineers (number) -> Age (years) -> 50&#8211;75,Employed scientists and engineers (number),Age (years),50&#8211;75,,,3,35.9,26.3,40.5,24.4,33.4,20.9,40.0,18.0
1277,r007,Employed scientists and engineers (number) -> Disability status,Employed scientists and engineers (number),Disability status,,,,2,,,,,,,,
1277,r008,Employed scientists and engineers (number) -> Disability status -> Without disability,Employed scientists and engineers (number),Disability status,Without disability,,,3,89.7,87.3,83.5,92.7,89.1,91.0,89.5,89.7
1277,r009,Employed scientists and engineers (number) -> Disability status -> With disability,Employed scientists and engineers (number),Disability status,With disability,,,3,10.3,12.7,16.5,7.3,10.9,7.5,10.5,10.3
1277,r010,Employed scientists and engineers (number) -> Marital status,Employed scientists and engineers (number),Marital status,,,,2,,,,,,,,
1277,r011,Employed scientists and engineers (number) -> Marital status -> Married,Employed scientists and engineers (number),Marital status,Married,,,3,71.5,64.4,78.5,75.5,51.4,61.2,74.1,60.2
1277,r012,Employed scientists and engineers (number) -> Marital status -> Widowed,Employed scientists and engineers (number),Marital status,Widowed,,,3,1.0,0.9,,0.3,0.9,,1.2,S
1277,r013,Employed scientists and engineers (number) -> Marital status -> Separated,Employed scientists and engineers (number),Marital status,Separated,,,3,0.9,1.8,S,0.3,2.5,,0.8,0.8
1277,r014,Employed scientists and engineers (number) -> Marital status -> Divorced,Employed scientists and engineers (number),Marital status,Divorced,,,3,7.2,8.6,3.8,3.0,12.7,6.0,7.2,6.9
1277,r015,Employed scientists and engineers (number) -> Marital status -> Never married,Employed scientists and engineers (number),Marital status,Never married,,,3,19.4,24.2,15.2,20.8,32.5,29.9,16.8,31.3
1277,r016,"Employed scientists and engineers (number) -> If married, spouse's employment status",Employed scientists and engineers (number),"If married, spouse's employment status",,,,2,,,,,,,,
