table_id,row_id,_b_highest_degree_granted_b_full_path,_b_highest_degree_granted_b_level_1,_b_highest_degree_granted_b_level_2,_b_highest_degree_granted_b_hierarchy_depth,field_2015_short_form_populationa,field_2015_standard_form_population,field_2016_short_form_populationa,field_2016_standard_form_population,field_2017_short_form_populationa,field_2017_standard_form_population,field_2018_short_form_populationa,field_2018_standard_form_population,field_2019_short_form_populationa,field_2019_standard_form_population,field_2020_short_form_populationa,field_2020_standard_form_population
5371,r001,All respondents,All respondents,,1,258,640,257,639,255,643,265,646,267,647,260,655
5371,r002,All respondents -> Doctorate,All respondents,Doctorate,2,56,456,63,454,66,464,76,467,73,473,77,474
5371,r003,All respondents -> Professional,All respondents,Professional,2,43,36,40,44,42,35,44,34,45,32,43,37
5371,r004,All respondents -> Master's,All respondents,Master's,2,105,106,101,106,101,105,96,102,104,95,96,98
5371,r005,All respondents -> Bachelor's,All respondents,Bachelor's,2,54,42,53,35,46,39,49,43,45,47,44,46
