table_id,row_id,sex_and_academic_institution_full_path,sex_and_academic_institution_level_1,sex_and_academic_institution_level_2,sex_and_academic_institution_level_3,sex_and_academic_institution_level_4,sex_and_academic_institution_hierarchy_depth,field_doctorate_recipients
3263,r001,Female,Female,,,,1,
3263,r002,Female -> All institutions,Female,All institutions,,,2,16482
3263,r003,Female -> All institutions -> Top 50 institutions,Female,All institutions,Top 50 institutions,,3,7809
3263,r004,Female -> All institutions -> Top 50 institutions -> Walden U.,Female,All institutions,Top 50 institutions,Walden U.,4,251
3263,r005,Female -> All institutions -> Top 50 institutions -> U. California-Berkeley,Female,All institutions,Top 50 institutions,U. California-Berkeley,4,244
3263,r006,Female -> All institutions -> Top 50 institutions -> U. Florida,Female,All institutions,Top 50 institutions,U. Florida,4,240
3263,r007,Female -> All institutions -> Top 50 institutions -> U. Michigan-Ann Arbor,Female,All institutions,Top 50 institutions,U. Michigan-Ann Arbor,4,228
3263,r008,Female -> All institutions -> Top 50 institutions -> Alliant International U.-San Diego,Female,All institutions,Top 50 institutions,Alliant International U.-San Diego,4,207
3263,r009,Female -> All institutions -> Top 50 institutions -> Purdue U.-Main Campus,Female,All institutions,Top 50 institutions,Purdue U.-Main Campus,4,207
3263,r010,Female -> All institutions -> Top 50 institutions -> Stanford U.,Female,All institutions,Top 50 institutions,Stanford U.,4,207
3263,r011,Female -> All institutions -> Top 50 institutions -> U. Wisconsin-Madison<br>,Female,All institutions,Top 50 institutions,U. Wisconsin-Madison<br>,4,207
3263,r012,Female -> All institutions -> Top 50 institutions -> Harvard U. ,Female,All institutions,Top 50 institutions,Harvard U. ,4,206
3263,r013,Female -> All institutions -> Top 50 institutions -> U. California-Davis,Female,All institutions,Top 50 institutions,U. California-Davis,4,196
3263,r014,Female -> All institutions -> Top 50 institutions -> Ohio State U. -Main Campus,Female,All institutions,Top 50 institutions,Ohio State U. -Main Campus,4,193
3263,r015,Female -> All institutions -> Top 50 institutions -> U. Illinois at Urbana-Champaign,Female,All institutions,Top 50 institutions,U. Illinois at Urbana-Champaign,4,190
3263,r016,Female -> All institutions -> Top 50 institutions -> U. Washington-Seattle Campus,Female,All institutions,Top 50 institutions,U. Washington-Seattle Campus,4,190
3263,r017,Female -> All institutions -> Top 50 institutions -> U. Minnesota-Twin Cities,Female,All institutions,Top 50 institutions,U. Minnesota-Twin Cities,4,188
3263,r018,Female -> All institutions -> Top 50 institutions -> Rutgers U.-New Brunswick,Female,All institutions,Top 50 institutions,Rutgers U.-New Brunswick,4,184
3263,r019,Female -> All institutions -> Top 50 institutions -> Texas A &amp; M U.-College Station<br>,Female,All institutions,Top 50 institutions,Texas A &amp; M U.-College Station<br>,4,183
3263,r020,Female -> All institutions -> Top 50 institutions -> U. California-Los Angeles,Female,All institutions,Top 50 institutions,U. California-Los Angeles,4,183
3263,r021,Female -> All institutions -> Top 50 institutions -> Columbia U. in the City of New York,Female,All institutions,Top 50 institutions,Columbia U. in the City of New York,4,180
3263,r022,Female -> All institutions -> Top 50 institutions -> Pennsylvania State U.-Main Campus,Female,All institutions,Top 50 institutions,Pennsylvania State U.-Main Campus,4,178
3263,r023,Female -> All institutions -> Top 50 institutions -> Duke U.<br>,Female,All institutions,Top 50 institutions,Duke U.<br>,4,174
3263,r024,Female -> All institutions -> Top 50 institutions -> Massachusetts Institute of Technology,Female,All institutions,Top 50 institutions,Massachusetts Institute of Technology,4,169
3263,r025,Female -> All institutions -> Top 50 institutions -> Cornell U.,Female,All institutions,Top 50 institutions,Cornell U.,4,167
3263,r026,Female -> All institutions -> Top 50 institutions -> U. California-San Diego,Female,All institutions,Top 50 institutions,U. California-San Diego,4,157
3263,r027,Female -> All institutions -> Top 50 institutions -> North Carolina State U. Raleigh,Female,All institutions,Top 50 institutions,North Carolina State U. Raleigh,4,156
3263,r028,Female -> All institutions -> Top 50 institutions -> Johns Hopkins U.,Female,All institutions,Top 50 institutions,Johns Hopkins U.,4,155
3263,r029,Female -> All institutions -> Top 50 institutions -> Michigan State U.,Female,All institutions,Top 50 institutions,Michigan State U.,4,149
3263,r030,Female -> All institutions -> Top 50 institutions -> U. Maryland-College Park,Female,All institutions,Top 50 institutions,U. Maryland-College Park,4,143
3263,r031,Female -> All institutions -> Top 50 institutions -> U. North Carolina at Chapel Hill,Female,All institutions,Top 50 institutions,U. North Carolina at Chapel Hill,4,141
3263,r032,Female -> All institutions -> Top 50 institutions -> U. Texas at Austin,Female,All institutions,Top 50 institutions,U. Texas at Austin,4,138
3263,r033,Female -> All institutions -> Top 50 institutions -> Capella U.,Female,All institutions,Top 50 institutions,Capella U.,4,134
3263,r034,Female -> All institutions -> Top 50 institutions -> Northwestern U.,Female,All institutions,Top 50 institutions,Northwestern U.,4,130
3263,r035,Female -> All institutions -> Top 50 institutions -> U. Pennsylvania,Female,All institutions,Top 50 institutions,U. Pennsylvania,4,124
3263,r036,Female -> All institutions -> Top 50 institutions -> Boston U.,Female,All institutions,Top 50 institutions,Boston U.,4,121
3263,r037,Female -> All institutions -> Top 50 institutions -> U. Arizona,Female,All institutions,Top 50 institutions,U. Arizona,4,120
3263,r038,Female -> All institutions -> Top 50 institutions -> U. Georgia,Female,All institutions,Top 50 institutions,U. Georgia,4,120
3263,r039,Female -> All institutions -> Top 50 institutions -> U. Colorado Boulder,Female,All institutions,Top 50 institutions,U. Colorado Boulder,4,119
3263,r040,Female -> All institutions -> Top 50 institutions -> Yale U.,Female,All institutions,Top 50 institutions,Yale U.,4,118
3263,r041,Female -> All institutions -> Top 50 institutions -> Vanderbilt&nbsp;U.,Female,All institutions,Top 50 institutions,Vanderbilt&nbsp;U.,4,117
3263,r042,Female -> All institutions -> Top 50 institutions -> CUNY Graduate School and U. Center,Female,All institutions,Top 50 institutions,CUNY Graduate School and U. Center,4,115
3263,r043,Female -> All institutions -> Top 50 institutions -> Virginia Polytechnic Institute and State U.,Female,All institutions,Top 50 institutions,Virginia Polytechnic Institute and State U.,4,114
3263,r044,Female -> All institutions -> Top 50 institutions -> U. Chicago,Female,All institutions,Top 50 institutions,U. Chicago,4,113
3263,r045,Female -> All institutions -> Top 50 institutions -> Georgia Institute of Technology-Main Campus,Female,All institutions,Top 50 institutions,Georgia Institute of Technology-Main Campus,4,112
3263,r046,Female -> All institutions -> Top 50 institutions -> New York U.<br>,Female,All institutions,Top 50 institutions,New York U.<br>,4,111
3263,r047,Female -> All institutions -> Top 50 institutions -> Arizona State U.-Tempe,Female,All institutions,Top 50 institutions,Arizona State U.-Tempe,4,107
3263,r048,Female -> All institutions -> Top 50 institutions -> U. California-Riverside,Female,All institutions,Top 50 institutions,U. California-Riverside,4,107
3263,r049,Female -> All institutions -> Top 50 institutions -> U. Connecticut,Female,All institutions,Top 50 institutions,U. Connecticut,4,106
3263,r050,Female -> All institutions -> Top 50 institutions -> U. Southern California,Female,All institutions,Top 50 institutions,U. Southern California,4,105
3263,r051,Female -> All institutions -> Top 50 institutions -> Emory U.,Female,All institutions,Top 50 institutions,Emory U.,4,102
3263,r052,Female -> All institutions -> Top 50 institutions -> Princeton U.,Female,All institutions,Top 50 institutions,Princeton U.,4,102
3263,r053,Female -> All institutions -> Top 50 institutions -> U. California-Irvine,Female,All institutions,Top 50 institutions,U. California-Irvine,4,101
3263,r054,Female -> All institutions -> Other institutions,Female,All institutions,Other institutions,,3,8673
3263,r055,Male,Male,,,,1,
3263,r056,Male -> All institutions,Male,All institutions,,,2,23575
3263,r057,Male -> All institutions -> Top 50 institutions,Male,All institutions,Top 50 institutions,,3,12496
3263,r058,Male -> All institutions -> Top 50 institutions -> U. Michigan-Ann Arbor,Male,All institutions,Top 50 institutions,U. Michigan-Ann Arbor,4,438
3263,r059,Male -> All institutions -> Top 50 institutions -> U. California-Berkeley,Male,All institutions,Top 50 institutions,U. California-Berkeley,4,420
3263,r060,Male -> All institutions -> Top 50 institutions -> U. Illinois at Urbana-Champaign,Male,All institutions,Top 50 institutions,U. Illinois at Urbana-Champaign,4,409
3263,r061,Male -> All institutions -> Top 50 institutions -> Stanford U.,Male,All institutions,Top 50 institutions,Stanford U.,4,404
3263,r062,Male -> All institutions -> Top 50 institutions -> Purdue U.-Main Campus,Male,All institutions,Top 50 institutions,Purdue U.-Main Campus,4,403
3263,r063,Male -> All institutions -> Top 50 institutions -> Massachusetts Institute of Technology,Male,All institutions,Top 50 institutions,Massachusetts Institute of Technology,4,402
3263,r064,Male -> All institutions -> Top 50 institutions -> Texas A &amp; M U.-College Station,Male,All institutions,Top 50 institutions,Texas A &amp; M U.-College Station,4,397
3263,r065,Male -> All institutions -> Top 50 institutions -> Georgia Institute of Technology-Main Campus,Male,All institutions,Top 50 institutions,Georgia Institute of Technology-Main Campus,4,387
3263,r066,Male -> All institutions -> Top 50 institutions -> U. Texas at Austin,Male,All institutions,Top 50 institutions,U. Texas at Austin,4,342
3263,r067,Male -> All institutions -> Top 50 institutions -> U. Wisconsin-Madison,Male,All institutions,Top 50 institutions,U. Wisconsin-Madison,4,326
3263,r068,Male -> All institutions -> Top 50 institutions -> Ohio State U.-Main Campus,Male,All institutions,Top 50 institutions,Ohio State U.-Main Campus,4,324
3263,r069,Male -> All institutions -> Top 50 institutions -> U. Florida,Male,All institutions,Top 50 institutions,U. Florida,4,320
3263,r070,Male -> All institutions -> Top 50 institutions -> Harvard U.,Male,All institutions,Top 50 institutions,Harvard U.,4,300
3263,r071,Male -> All institutions -> Top 50 institutions -> U. California-Los Angeles,Male,All institutions,Top 50 institutions,U. California-Los Angeles,4,299
3263,r072,Male -> All institutions -> Top 50 institutions -> U. Minnesota-Twin Cities,Male,All institutions,Top 50 institutions,U. Minnesota-Twin Cities,4,293
3263,r073,Male -> All institutions -> Top 50 institutions -> Pennsylvania State U.-Main Campus,Male,All institutions,Top 50 institutions,Pennsylvania State U.-Main Campus,4,289
3263,r074,Male -> All institutions -> Top 50 institutions -> U. California-San Diego,Male,All institutions,Top 50 institutions,U. California-San Diego,4,278
3263,r075,Male -> All institutions -> Top 50 institutions -> U. Maryland-College Park,Male,All institutions,Top 50 institutions,U. Maryland-College Park,4,278
3263,r076,Male -> All institutions -> Top 50 institutions -> North Carolina State U. Raleigh,Male,All institutions,Top 50 institutions,North Carolina State U. Raleigh,4,270
3263,r077,Male -> All institutions -> Top 50 institutions -> Cornell U.,Male,All institutions,Top 50 institutions,Cornell U.,4,266
