table_id,row_id,_b_state_b_full_path,_b_state_b_level_1,_b_state_b_level_2,_b_state_b_hierarchy_depth,field_total
9810,r001,All states,All states,,1,"['3,811,583', '  ']"
9810,r002,All states -> Alabama,All states,Alabama,2,"['6,891', '  ']"
9810,r003,All states -> Alaska,All states,Alaska,2,"['7,207', '  ']"
9810,r004,All states -> Arizona,All states,Arizona,2,"['103,341', '  ']"
9810,r005,All states -> Arkansas,All states,Arkansas,2,"['9,325', '  ']"
9810,r006,All states -> California,All states,California,2,"['348,494', '  ']"
9810,r007,All states -> Colorado,All states,Colorado,2,"['103,070', '  ']"
9810,r008,All states -> Connecticut,All states,Connecticut,2,"['21,228', '  ']"
9810,r009,All states -> Delaware,All states,Delaware,2,"['S', '&nbsp;']"
9810,r010,All states -> District of Columbia,All states,District of Columbia,2,"['18,240', '  ']"
9810,r011,All states -> Florida,All states,Florida,2,"['162,607', '  ']"
9810,r012,All states -> Georgia,All states,Georgia,2,"['65,031', '  ']"
9810,r013,All states -> Hawaii,All states,Hawaii,2,"['11,828', '  ']"
9810,r014,All states -> Idaho,All states,Idaho,2,"['19,065', '  ']"
9810,r015,All states -> Illinois,All states,Illinois,2,"['121,772', '  ']"
9810,r016,All states -> Indiana,All states,Indiana,2,"['50,287', '  ']"
9810,r017,All states -> Iowa,All states,Iowa,2,"['6,237', '  ']"
9810,r018,All states -> Kansas,All states,Kansas,2,"['8,883', '  ']"
9810,r019,All states -> Kentucky,All states,Kentucky,2,"['12,709', '  ']"
9810,r020,All states -> Louisiana,All states,Louisiana,2,"['12,315', '  ']"
9810,r021,All states -> Maine,All states,Maine,2,"['31,084', '  ']"
9810,r022,All states -> Maryland,All states,Maryland,2,"['44,732', '  ']"
9810,r023,All states -> Massachusetts,All states,Massachusetts,2,"['177,778', '  ']"
9810,r024,All states -> Michigan,All states,Michigan,2,"['224,385', '  ']"
9810,r025,All states -> Minnesota,All states,Minnesota,2,"['171,559', '  ']"
9810,r026,All states -> Mississippi,All states,Mississippi,2,"['479', '  ']"
9810,r027,All states -> Missouri,All states,Missouri,2,"['26,622', '  ']"
9810,r028,All states -> Montana,All states,Montana,2,"['3,266', '  ']"
9810,r029,All states -> Nebraska,All states,Nebraska,2,"['3,552', '  ']"
9810,r030,All states -> Nevada,All states,Nevada,2,"['9,172', '  ']"
9810,r031,All states -> New Hampshire,All states,New Hampshire,2,"['S', '  ']"
9810,r032,All states -> New Jersey,All states,New Jersey,2,"['116,344', '  ']"
9810,r033,All states -> New Mexico,All states,New Mexico,2,"['429', '  ']"
9810,r034,All states -> New York,All states,New York,2,"['235,999', '  ']"
9810,r035,All states -> North Carolina,All states,North Carolina,2,"['25,430', '  ']"
9810,r036,All states -> North Dakota,All states,North Dakota,2,"['S', '  ']"
9810,r037,All states -> Ohio,All states,Ohio,2,"['216,019', '  ']"
9810,r038,All states -> Oklahoma,All states,Oklahoma,2,"['14,540', '  ']"
9810,r039,All states -> Oregon,All states,Oregon,2,"['17,982', '  ']"
9810,r040,All states -> Pennsylvania,All states,Pennsylvania,2,"['97,332', '  ']"
9810,r041,All states -> Rhode Island,All states,Rhode Island,2,"['16,810', '  ']"
9810,r042,All states -> South Carolina,All states,South Carolina,2,"['36,232', '  ']"
9810,r043,All states -> South Dakota,All states,South Dakota,2,"['390', '  ']"
9810,r044,All states -> Tennessee,All states,Tennessee,2,"['86,906', '  ']"
9810,r045,All states -> Texas,All states,Texas,2,"['156,715', '  ']"
9810,r046,All states -> Utah,All states,Utah,2,"['48,538', '  ']"
9810,r047,All states -> Vermont,All states,Vermont,2,"['2,393', '  ']"
9810,r048,All states -> Virginia,All states,Virginia,2,"['81,631', '  ']"
9810,r049,All states -> Washington,All states,Washington,2,"['187,435', '  ']"
9810,r050,All states -> West Virginia,All states,West Virginia,2,"['115', '  ']"
9810,r051,All states -> Wisconsin,All states,Wisconsin,2,"['677,054', '  ']"
9810,r052,All states -> Wyoming,All states,Wyoming,2,"['152', '  ']"
