table_id,row_id,employer_location_full_path,employer_location_level_1,employer_location_level_2,employer_location_level_3,employer_location_hierarchy_depth,field_all_employed_number,field_all_employed_se,field_science_total_number,field_science_total_se,field_science_biological_agricultural_and_environmental_life_sciences_number,field_science_biological_agricultural_and_environmental_life_sciences_se,field_science_computer_and_information_sciences_number,field_science_computer_and_information_sciences_se,field_science_mathematics_and_statistics_number,field_science_mathematics_and_statistics_se,field_science_physical_sciences_number,field_science_physical_sciences_se,field_science_psychology_number,field_science_psychology_se,field_science_social_sciences_number,field_science_social_sciences_se,field_engineering_number,field_engineering_se,field_health_number,field_health_se
8195,r001,All locations,All locations,,,1,872100,2425,647300,2000,226850,1275,33600,425,36600,575,137050,1025,113500,825,99700,1000,183100,1325,41650,525
8195,r002,All locations -> New England,All locations,New England,,2,81350,1750,62900,1425,25350,850,2550,275,3550,300,13400,550,9300,600,8750,475,14650,750,3850,325
8195,r003,All locations -> New England -> Connecticut,All locations,New England,Connecticut,3,12650,625,9450,550,3500,350,250,125,600,125,2000,250,1750,200,1350,200,2500,275,750,150
8195,r004,All locations -> New England -> Maine,All locations,New England,Maine,3,3350,350,2950,350,700,150,50,25,150,50,500,125,1050,250,500,125,250,100,,
8195,r005,All locations -> New England -> Massachusetts,All locations,New England,Massachusetts,3,55450,1375,42350,1150,18550,725,2100,250,2450,250,9450,500,4700,400,5150,350,10500,600,2650,275
8195,r006,All locations -> New England -> New Hampshire,All locations,New England,New Hampshire,3,3800,350,3150,350,1200,225,S,S,150,75,550,150,600,150,600,150,550,125,150,75
8195,r007,All locations -> New England -> Rhode Island,All locations,New England,Rhode Island,3,3650,375,3050,325,900,175,S,S,200,75,500,150,750,200,650,125,500,150,100,50
8195,r008,All locations -> New England -> Vermont,All locations,New England,Vermont,3,2450,275,1950,250,500,125,,,100,50,400,125,500,150,500,150,350,100,100,50
8195,r009,All locations -> Middle Atlantic,All locations,Middle Atlantic,,2,117150,1750,91650,1500,29600,1025,4350,375,6550,425,18350,650,16900,575,15950,600,19850,775,5600,450
8195,r010,All locations -> Middle Atlantic -> New Jersey,All locations,Middle Atlantic,New Jersey,3,22250,775,16850,675,5800,400,650,125,1350,200,4650,425,2650,250,1750,225,4250,400,1100,150
8195,r011,All locations -> Middle Atlantic -> New York,All locations,Middle Atlantic,New York,3,59150,1400,48400,1250,14550,750,2700,325,3400,350,8550,575,9800,525,9450,525,8650,525,2100,225
8195,r012,All locations -> Middle Atlantic -> Pennsylvania,All locations,Middle Atlantic,Pennsylvania,3,35750,1000,26400,800,9250,525,950,150,1800,250,5200,350,4450,325,4750,450,6950,475,2400,300
8195,r013,All locations -> East North Central,All locations,East North Central,,2,101700,1550,75200,1425,26900,850,2850,300,4450,375,16350,750,13550,550,11150,500,20700,875,5750,350
8195,r014,All locations -> East North Central -> Illinois,All locations,East North Central,Illinois,3,29200,1025,21750,875,6950,500,900,150,1350,225,4900,375,3850,350,3800,325,5950,525,1500,225
8195,r015,All locations -> East North Central -> Indiana,All locations,East North Central,Indiana,3,13100,675,9750,600,4150,375,500,125,550,125,1750,225,1500,225,1250,175,2600,350,800,175
8195,r016,All locations -> East North Central -> Michigan,All locations,East North Central,Michigan,3,22450,875,15550,700,5150,400,700,200,750,150,3250,350,3300,325,2400,250,5850,475,1050,150
8195,r017,All locations -> East North Central -> Ohio,All locations,East North Central,Ohio,3,24800,850,18650,800,6850,475,350,100,1250,225,4650,375,3300,275,2250,200,4550,400,1600,200
8195,r018,All locations -> East North Central -> Wisconsin,All locations,East North Central,Wisconsin,3,12100,600,9500,525,3800,325,350,125,500,100,1800,250,1550,225,1450,200,1850,250,800,150
8195,r019,All locations -> West North Central,All locations,West North Central,,2,48800,1175,37500,1075,15400,725,1300,225,2050,175,6150,425,6900,450,5700,425,8250,450,3050,300
8195,r020,All locations -> West North Central -> Iowa,All locations,West North Central,Iowa,3,6900,500,5350,425,2400,300,S,S,550,100,700,175,750,150,700,175,1100,225,450,125
8195,r021,All locations -> West North Central -> Kansas,All locations,West North Central,Kansas,3,5350,400,4500,350,1700,275,200,100,300,75,600,175,900,150,850,175,550,125,300,75
8195,r022,All locations -> West North Central -> Minnesota,All locations,West North Central,Minnesota,3,16950,700,12150,650,4200,375,500,175,550,125,2600,275,2550,300,1800,250,3600,325,1150,200
8195,r023,All locations -> West North Central -> Missouri,All locations,West North Central,Missouri,3,12600,575,9950,500,4400,325,350,125,450,100,1500,200,1550,250,1700,250,2050,300,650,150
8195,r024,All locations -> West North Central -> Nebraska,All locations,West North Central,Nebraska,3,4100,325,3200,275,1650,200,S,S,150,50,400,125,650,125,300,75,600,125,300,75
8195,r025,All locations -> West North Central -> North Dakota,All locations,West North Central,North Dakota,3,1200,175,850,150,400,100,,,,,150,75,150,75,150,50,200,100,100,50
8195,r026,All locations -> West North Central -> South Dakota,All locations,West North Central,South Dakota,3,1750,250,1500,250,650,150,,,100,50,S,S,300,100,200,75,150,75,S,S
