table_id,row_id,field_of_study_full_path,field_of_study_level_1,field_of_study_level_2,field_of_study_level_3,field_of_study_level_4,field_of_study_level_5,field_of_study_hierarchy_depth,field_all_employed_number,field_all_employed_se,field_under_35_number,field_under_35_se,field_35_39_number,field_35_39_se,field_40_44_number,field_40_44_se,field_45_49_number,field_45_49_se,field_50_54_number,field_50_54_se,field_55_59_number,field_55_59_se,field_60_64_number,field_60_64_se,field_65_75_number,field_65_75_se
8183,r001,All fields,All fields,,,,,1,872100,2425,99200,925,130150,1225,127550,1400,111200,1250,104550,1225,98950,1375,86450,1375,114100,1575
8183,r002,All fields -> Science,All fields,Science,,,,2,647300,2000,68800,850,93700,1175,94150,1200,83450,1050,78150,1150,72950,1100,64300,1175,91850,1350
8183,r003,"All fields -> Science -> Biological, agricultural, and environmental life sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",,,3,226850,1275,25650,550,37050,775,35600,800,30850,750,26050,650,24550,625,21250,725,25900,775
8183,r004,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,,4,16600,350,1450,125,1600,125,2000,175,1950,175,1600,150,2800,225,2400,200,2850,275
8183,r005,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences -> Agricultural sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,Agricultural sciences,5,900,75,100,25,100,25,100,25,50,25,50,25,100,25,150,50,200,50
8183,r006,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences -> Animal sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,Animal sciences,5,4650,200,400,75,450,75,650,125,550,100,450,100,950,175,650,100,550,100
8183,r007,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences -> Food sciences and technology",All fields,Science,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,Food sciences and technology,5,3300,200,350,75,350,75,500,100,400,100,400,75,450,75,300,75,550,150
8183,r008,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences -> Plant sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,Plant sciences,5,5800,250,450,75,550,100,500,100,700,100,500,75,1000,150,1000,175,1050,150
8183,r009,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences -> Soil sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,Soil sciences,5,2000,150,100,25,150,50,250,50,250,50,200,50,250,50,300,75,500,150
8183,r010,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Biochemistry and biophysics",All fields,Science,"Biological, agricultural, and environmental life sciences",Biochemistry and biophysics,,4,29550,600,3400,250,4050,250,4750,325,4000,325,3700,300,3500,275,2900,300,3250,275
8183,r011,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Biochemistry and biophysics -> Biochemistry",All fields,Science,"Biological, agricultural, and environmental life sciences",Biochemistry and biophysics,Biochemistry,5,24350,550,2700,225,3100,250,4000,325,3250,275,3050,275,3050,250,2450,275,2750,275
8183,r012,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Biochemistry and biophysics -> Biophysics",All fields,Science,"Biological, agricultural, and environmental life sciences",Biochemistry and biophysics,Biophysics,5,5200,200,700,100,900,125,700,100,750,125,650,100,450,75,450,75,500,100
8183,r013,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Cell, cellular biology, and molecular biology",All fields,Science,"Biological, agricultural, and environmental life sciences","Cell, cellular biology, and molecular biology",,4,32300,450,3150,250,4650,250,5800,350,4150,275,4750,350,3800,325,3200,300,2800,250
8183,r014,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Microbiological sciences and immunology",All fields,Science,"Biological, agricultural, and environmental life sciences",Microbiological sciences and immunology,,4,24750,425,2900,200,4700,200,4350,275,3300,325,2900,300,2550,225,2050,225,2050,275
8183,r015,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Microbiological sciences and immunology -> Immunology",All fields,Science,"Biological, agricultural, and environmental life sciences",Microbiological sciences and immunology,Immunology,5,9150,225,1150,125,1900,150,1850,150,1150,150,1050,175,800,125,650,150,600,150
8183,r016,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Microbiological sciences and immunology -> Microbiological sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",Microbiological sciences and immunology,Microbiological sciences,5,15650,350,1750,150,2800,200,2500,225,2150,275,1900,225,1750,200,1400,175,1400,225
8183,r017,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Natural resources and conservation",All fields,Science,"Biological, agricultural, and environmental life sciences",Natural resources and conservation,,4,9000,225,600,100,1200,100,1450,125,1300,100,1200,125,1250,125,900,125,1100,125
8183,r018,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Natural resources and conservation -> Fish, fisheries, wildlife, and wildlands science and management",All fields,Science,"Biological, agricultural, and environmental life sciences",Natural resources and conservation,"Fish, fisheries, wildlife, and wildlands science and management",5,2000,125,50,25,200,50,300,50,250,50,250,50,300,50,200,50,400,75
8183,r019,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Natural resources and conservation -> Forestry",All fields,Science,"Biological, agricultural, and environmental life sciences",Natural resources and conservation,Forestry,5,2550,150,200,50,200,50,350,50,350,50,350,50,400,50,350,50,400,100
8183,r020,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Natural resources and conservation -> Natural resource conservation, research, management, and policy",All fields,Science,"Biological, agricultural, and environmental life sciences",Natural resources and conservation,"Natural resource conservation, research, management, and policy",5,4400,175,350,75,800,100,800,100,700,100,600,100,550,125,350,100,250,75
8183,r021,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Zoology",All fields,Science,"Biological, agricultural, and environmental life sciences",Zoology,,4,6850,250,400,75,600,75,600,100,950,150,800,100,700,100,1200,150,1650,200
8183,r022,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Other biological sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",Other biological sciences,,4,107800,850,13750,425,20250,550,16700,500,15250,575,11150,450,9950,400,8600,375,12200,550
8183,r023,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Other biological sciences -> Biomathematics, bioinformatics, and computational biology",All fields,Science,"Biological, agricultural, and environmental life sciences",Other biological sciences,"Biomathematics, bioinformatics, and computational biology",5,6200,150,1550,125,1650,150,850,75,650,75,400,75,500,100,250,75,350,100
8183,r024,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Other biological sciences -> Botany and plant biology",All fields,Science,"Biological, agricultural, and environmental life sciences",Other biological sciences,Botany and plant biology,5,6150,250,450,75,500,100,650,100,1000,175,750,100,700,100,850,100,1250,150
8183,r025,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Other biological sciences -> Epidemiology, ecology, and population biology",All fields,Science,"Biological, agricultural, and environmental life sciences",Other biological sciences,"Epidemiology, ecology, and population biology",5,16950,350,1800,175,3250,225,3300,250,2800,250,1700,200,1450,175,1250,150,1350,175
8183,r026,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Other biological sciences -> Genetics",All fields,Science,"Biological, agricultural, and environmental life sciences",Other biological sciences,Genetics,5,8750,225,1150,125,1750,150,1500,175,1050,125,1100,175,950,125,600,100,700,150
8183,r027,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Other biological sciences -> Neurobiology and neuroscience",All fields,Science,"Biological, agricultural, and environmental life sciences",Other biological sciences,Neurobiology and neuroscience,5,18850,300,3300,250,4700,275,3800,325,2800,250,1800,225,1150,125,700,125,600,125
8183,r028,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Other biological sciences -> Nutrition sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",Other biological sciences,Nutrition sciences,5,4100,150,400,75,550,100,650,100,650,100,400,75,450,75,400,75,600,100
