table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_level_5,_b_agency_b_hierarchy_depth,field_2000,field_2001,field_2002,field_2003,field_2004,field_2005,field_2006,field_2007,field_2008,field_2009,field_2010
3973,r001,All agencies,All agencies,,,,,1,38470.6,44713.7,48006.7,51071.8,53357.8,53738.2,53535.7,54093.6,53893.7,63691.9,63728.0
3973,r002,All agencies -> Departments,All agencies,Departments,,,,2,,,,,,,,,,,
3973,r003,All agencies -> Departments -> Department of Agriculture,All agencies,Departments,Department of Agriculture,,,3,1611.5,1803.7,1810.4,1869.1,1918.8,2002.8,2030.5,2067.7,2019.5,2075.5,2141.0
3973,r004,All agencies -> Departments -> Department of Agriculture -> Agricultural Marketing Service,All agencies,Departments,Department of Agriculture,Agricultural Marketing Service,,4,4.3,4.1,4.4,4.1,7.9,7.7,6.3,6.4,2.5,2.1,2.2
3973,r005,All agencies -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies,Departments,Department of Agriculture,Agricultural Research Service,,4,805.1,904.9,964.4,966.4,988.3,997.0,1021.4,1027.8,1010.3,1027.1,1060.5
3973,r006,All agencies -> Departments -> Department of Agriculture -> Economic Research Service,All agencies,Departments,Department of Agriculture,Economic Research Service,,4,64.2,65.6,67.0,68.4,70.8,74.0,75.0,92.0,77.8,78.9,86.4
3973,r007,All agencies -> Departments -> Department of Agriculture -> Food Safety and Inspection Service,All agencies,Departments,Department of Agriculture,Food Safety and Inspection Service,,4,2.0,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
3973,r008,All agencies -> Departments -> Department of Agriculture -> Foreign Agricultural Service,All agencies,Departments,Department of Agriculture,Foreign Agricultural Service,,4,1.4,1.4,1.4,1.6,1.6,1.5,0.9,0.6,0.4,0.4,0.4
3973,r009,All agencies -> Departments -> Department of Agriculture -> Forest Service,All agencies,Departments,Department of Agriculture,Forest Service,,4,191.8,203.8,217.6,251.1,254.6,254.6,264.0,279.8,255.7,297.6,283.4
3973,r010,"All agencies -> Departments -> Department of Agriculture -> Grain Inspection, Packers, and Stockyards Administration",All agencies,Departments,Department of Agriculture,"Grain Inspection, Packers, and Stockyards Administration",,4,0.7,0.0,0.0,0.0,0.0,6.7,7.1,6.7,6.6,6.5,6.3
