table_id,row_id,time_period,manufacturing_level_1,manufacturing_level_2,manufacturing_hierarchy_depth,value
10955,r001_1,High R&D intensity,Manufacturing,"ISIC, Rev.4, industry code",2,303
10955,r001_2,High R&D intensity,Manufacturing,Name,2,Air and spacecraft and related machinery
10955,r001_3,High R&D intensity,Manufacturing,R&D intensity (%),2,31.69
10955,r001_4,High R&D intensity,Nonmanufacturing,"ISIC, Rev.4, industry code",2,72
10955,r001_5,High R&D intensity,Nonmanufacturing,Name,2,Scientific R&D
10955,r001_6,High R&D intensity,Nonmanufacturing,R&D intensity (%),2,30.39
10955,r002_1,,Manufacturing,"ISIC, Rev.4, industry code",2,21
10955,r002_2,,Manufacturing,Name,2,Pharmaceuticals
10955,r002_3,,Manufacturing,R&D intensity (%),2,27.98
10955,r002_4,,Nonmanufacturing,"ISIC, Rev.4, industry code",2,582
10955,r002_5,,Nonmanufacturing,Name,2,Software publishing
10955,r002_6,,Nonmanufacturing,R&D intensity (%),2,28.94
10955,r003_1,,Manufacturing,"ISIC, Rev.4, industry code",2,26
10955,r003_2,,Manufacturing,Name,2,"Computer, electronic, and optical products"
10955,r003_3,,Manufacturing,R&D intensity (%),2,24.05
10955,r004_1,Medium-high R&D intensity,Manufacturing,"ISIC, Rev.4, industry code",2,252
10955,r004_2,Medium-high R&D intensity,Manufacturing,Name,2,Weapons and ammunition
10955,r004_3,Medium-high R&D intensity,Manufacturing,R&D intensity (%),2,18.87
10955,r004_4,Medium-high R&D intensity,Nonmanufacturing,"ISIC, Rev.4, industry code",2,62–63
10955,r004_5,Medium-high R&D intensity,Nonmanufacturing,Name,2,IT and other information services
10955,r004_6,Medium-high R&D intensity,Nonmanufacturing,R&D intensity (%),2,5.92
10955,r005_1,,Manufacturing,"ISIC, Rev.4, industry code",2,29
10955,r005_2,,Manufacturing,Name,2,"Motor vehicles, trailers, and semi-trailers"
10955,r005_3,,Manufacturing,R&D intensity (%),2,15.36
10955,r006_1,,Manufacturing,"ISIC, Rev.4, industry code",2,325
10955,r006_2,,Manufacturing,Name,2,Medical and dental instruments
10955,r006_3,,Manufacturing,R&D intensity (%),2,9.29
10955,r007_1,,Manufacturing,"ISIC, Rev.4, industry code",2,28
10955,r007_2,,Manufacturing,Name,2,Machinery and equipment nec
10955,r007_3,,Manufacturing,R&D intensity (%),2,7.89
10955,r008_1,,Manufacturing,"ISIC, Rev.4, industry code",2,20
10955,r008_2,,Manufacturing,Name,2,Chemicals and chemical products
10955,r008_3,,Manufacturing,R&D intensity (%),2,6.52
10955,r009_1,,Manufacturing,"ISIC, Rev.4, industry code",2,27
10955,r009_2,,Manufacturing,Name,2,Electrical equipment
10955,r009_3,,Manufacturing,R&D intensity (%),2,6.22
10955,r010_1,,Manufacturing,"ISIC, Rev.4, industry code",2,30X
10955,r010_2,,Manufacturing,Name,2,"Railroad, military vehicles, and transport nec (ISIC 302, 304, and 309)"
10955,r010_3,,Manufacturing,R&D intensity (%),2,5.72
10955,r011_1,Medium R&D intensity,Manufacturing,"ISIC, Rev.4, industry code",2,22
10955,r011_2,Medium R&D intensity,Manufacturing,Name,2,Rubber and plastic products
10955,r011_3,Medium R&D intensity,Manufacturing,R&D intensity (%),2,3.58
10955,r012_1,,Manufacturing,"ISIC, Rev.4, industry code",2,301
10955,r012_2,,Manufacturing,Name,2,Building of ships and boats
10955,r012_3,,Manufacturing,R&D intensity (%),2,2.99
10955,r013_1,,Manufacturing,"ISIC, Rev.4, industry code",2,32X
10955,r013_2,,Manufacturing,Name,2,Other manufacturing except medical and dental instruments
10955,r013_3,,Manufacturing,R&D intensity (%),2,2.85
10955,r014_1,,Manufacturing,"ISIC, Rev.4, industry code",2,23
10955,r014_2,,Manufacturing,Name,2,Other nonmetallic mineral products
10955,r014_3,,Manufacturing,R&D intensity (%),2,2.24
10955,r015_1,,Manufacturing,"ISIC, Rev.4, industry code",2,24
10955,r015_2,,Manufacturing,Name,2,Basic metals
10955,r015_3,,Manufacturing,R&D intensity (%),2,2.07
10955,r016_1,,Manufacturing,"ISIC, Rev.4, industry code",2,33
10955,r016_2,,Manufacturing,Name,2,Repair and installation of machinery and equipment
10955,r016_3,,Manufacturing,R&D intensity (%),2,1.93
10955,r017_1,Medium-low R&D intensity,Manufacturing,"ISIC, Rev.4, industry code",2,13
10955,r017_2,Medium-low R&D intensity,Manufacturing,Name,2,Textiles
10955,r017_3,Medium-low R&D intensity,Manufacturing,R&D intensity (%),2,1.73
10955,r017_4,Medium-low R&D intensity,Nonmanufacturing,"ISIC, Rev.4, industry code",2,69–75X
10955,r017_5,Medium-low R&D intensity,Nonmanufacturing,Name,2,"Professional, scientific, and technical activities except scientific R&D services (ISIC 69–75 except 72)"
10955,r017_6,Medium-low R&D intensity,Nonmanufacturing,R&D intensity (%),2,1.76
10955,r018_1,,Manufacturing,"ISIC, Rev.4, industry code",2,15
10955,r018_2,,Manufacturing,Name,2,Leather and related products
10955,r018_3,,Manufacturing,R&D intensity (%),2,1.65
10955,r018_4,,Nonmanufacturing,"ISIC, Rev.4, industry code",2,61
10955,r018_5,,Nonmanufacturing,Name,2,Telecommunications
10955,r018_6,,Nonmanufacturing,R&D intensity (%),2,1.45
10955,r019_1,,Manufacturing,"ISIC, Rev.4, industry code",2,17
10955,r019_2,,Manufacturing,Name,2,Paper and paper products
10955,r019_3,,Manufacturing,R&D intensity (%),2,1.58
10955,r019_4,,Nonmanufacturing,"ISIC, Rev.4, industry code",2,05–09
10955,r019_5,,Nonmanufacturing,Name,2,Mining and quarrying
10955,r019_6,,Nonmanufacturing,R&D intensity (%),2,0.8
10955,r020_1,,Manufacturing,"ISIC, Rev.4, industry code",2,10–12
10955,r020_2,,Manufacturing,Name,2,"Food products, beverages, and tobacco"
10955,r020_3,,Manufacturing,R&D intensity (%),2,1.44
10955,r020_4,,Nonmanufacturing,"ISIC, Rev.4, industry code",2,581
10955,r020_5,,Nonmanufacturing,Name,2,Publishing of books and periodicals
10955,r020_6,,Nonmanufacturing,R&D intensity (%),2,0.57
10955,r021_1,,Manufacturing,"ISIC, Rev.4, industry code",2,14
10955,r021_2,,Manufacturing,Name,2,Wearing apparel
10955,r021_3,,Manufacturing,R&D intensity (%),2,1.4
10955,r022_1,,Manufacturing,"ISIC, Rev.4, industry code",2,25X
10955,r022_2,,Manufacturing,Name,2,Fabricated metal products except weapons and ammunition (ISIC 25 except 252)
10955,r022_3,,Manufacturing,R&D intensity (%),2,1.19
10955,r023_1,,Manufacturing,"ISIC, Rev.4, industry code",2,19
10955,r023_2,,Manufacturing,Name,2,Coke and refined petroleum products
10955,r023_3,,Manufacturing,R&D intensity (%),2,1.17
10955,r024_1,,Manufacturing,"ISIC, Rev.4, industry code",2,31
10955,r024_2,,Manufacturing,Name,2,Furniture
10955,r024_3,,Manufacturing,R&D intensity (%),2,1.17
10955,r025_1,,Manufacturing,"ISIC, Rev.4, industry code",2,16
10955,r025_2,,Manufacturing,Name,2,Wood and products of wood and cork
10955,r025_3,,Manufacturing,R&D intensity (%),2,0.7
10955,r026_1,,Manufacturing,"ISIC, Rev.4, industry code",2,18
10955,r026_2,,Manufacturing,Name,2,Printing and reproductions of recorded media
10955,r026_3,,Manufacturing,R&D intensity (%),2,0.67
10955,r027_4,Low R&D intensity,Nonmanufacturing,"ISIC, Rev.4, industry code",2,64–66
10955,r027_5,Low R&D intensity,Nonmanufacturing,Name,2,Financial and insurance activities
10955,r027_6,Low R&D intensity,Nonmanufacturing,R&D intensity (%),2,0.38
10955,r028_4,,Nonmanufacturing,"ISIC, Rev.4, industry code",2,35–39
10955,r028_5,,Nonmanufacturing,Name,2,"Electricity, gas, and water supply; waste management; and remediation"
10955,r028_6,,Nonmanufacturing,R&D intensity (%),2,0.35
10955,r029_4,,Nonmanufacturing,"ISIC, Rev.4, industry code",2,59–60
10955,r029_5,,Nonmanufacturing,Name,2,Audiovisual and broadcasting activities
10955,r029_6,,Nonmanufacturing,R&D intensity (%),2,0.32
10955,r030_4,,Nonmanufacturing,"ISIC, Rev.4, industry code",2,45–47
10955,r030_5,,Nonmanufacturing,Name,2,Wholesale and retail trade
10955,r030_6,,Nonmanufacturing,R&D intensity (%),2,0.28
10955,r031_4,,Nonmanufacturing,"ISIC, Rev.4, industry code",2,01–03
10955,r031_5,,Nonmanufacturing,Name,2,"Agriculture, forestry, and fishing"
10955,r031_6,,Nonmanufacturing,R&D intensity (%),2,0.27
10955,r032_4,,Nonmanufacturing,"ISIC, Rev.4, industry code",2,41–43
10955,r032_5,,Nonmanufacturing,Name,2,Construction
