table_id,row_id,_b_state_or_location_and_agency_b_full_path,_b_state_or_location_and_agency_b_level_1,_b_state_or_location_and_agency_b_level_2,_b_state_or_location_and_agency_b_level_3,_b_state_or_location_and_agency_b_hierarchy_depth,field_total,field_intramural_federal_agenciesa,field_intramural_ffrdcs,field_extramural_businesses,field_extramural_higher_educationb,field_extramural_nonprofit_organizations,field_extramural_state_and_local_governments
10291,r001,Alabama,Alabama,,,1,,,,,,,
10291,r002,"Alabama -> Department of Defense, RDT&E",Alabama,"Department of Defense, RDT&E",,2,3470122,2107421,0,1312154,35544,14769,235
10291,r003,"Alabama -> Department of Defense,  research",Alabama,"Department of Defense,  research",,2,3176525,1939297,0,1197377,25948,13668,235
10291,r004,"Alabama -> Department of Defense, operational systems development<sup>c</sup>",Alabama,"Department of Defense, operational systems development<sup>c</sup>",,2,293598,168124,0,114777,9596,1101,0
10291,r005,Alaska,Alaska,,,1,,,,,,,
10291,r006,"Alaska -> Department of Defense, RDT&E",Alaska,"Department of Defense, RDT&E",,2,133557,45154,0,76350,9362,2691,0
10291,r007,"Alaska -> Department of Defense,  research",Alaska,"Department of Defense,  research",,2,120996,45120,0,64026,9159,2691,0
10291,r008,"Alaska -> Department of Defense, operational systems development<sup>c</sup>",Alaska,"Department of Defense, operational systems development<sup>c</sup>",,2,12561,0.05,0,12325,203,0,0
10291,r009,Arizona,Arizona,,,1,,,,,,,
10291,r010,"Arizona -> Department of Defense, RDT&E",Arizona,"Department of Defense, RDT&E",,2,1285932,183528,0,1031536,63828,761,6278
10291,r011,"Arizona -> Department of Defense,  research",Arizona,"Department of Defense,  research",,2,907603,100703,0,736032,63828,761,6278
10291,r012,"Arizona -> Department of Defense, operational systems development<sup>c</sup>",Arizona,"Department of Defense, operational systems development<sup>c</sup>",,2,378330,82826,0,295504,0,0,0
10291,r013,Arkansas,Arkansas,,,1,,,,,,,
10291,r014,"Arkansas -> Department of Defense, RDT&E",Arkansas,"Department of Defense, RDT&E",,2,102776,19433,0,66596,15654,1092,0
10291,r015,"Arkansas -> Department of Defense,  research",Arkansas,"Department of Defense,  research",,2,102354,19093,0,66515,15654,1092,0
10291,r016,"Arkansas -> Department of Defense, operational systems development<sup>c</sup>",Arkansas,"Department of Defense, operational systems development<sup>c</sup>",,2,422,340,0,81,0,0,0
10291,r017,California,California,,,1,,,,,,,
10291,r018,"California -> Department of Defense, RDT&E",California,"Department of Defense, RDT&E",,2,11868717,2752290,1147219,7257881,574836,134616,1875
10291,r019,"California -> Department of Defense,  research",California,"Department of Defense,  research",,2,10160653,2432406,682659,6336258,574215,133239,1875
10291,r020,"California -> Department of Defense, operational systems development<sup>c</sup>",California,"Department of Defense, operational systems development<sup>c</sup>",,2,1708064,319884,464559,921623,621,1377,0
10291,r021,Colorado,Colorado,,,1,,,,,,,
10291,r022,"Colorado -> Department of Defense, RDT&E",Colorado,"Department of Defense, RDT&E",,2,3653598,58931,4914,3523830,60918,4999,0.05
10291,r023,"Colorado -> Department of Defense,  research",Colorado,"Department of Defense,  research",,2,3061893,56210,4914,2934845,60918,4999,0.05
10291,r024,"Colorado -> Department of Defense, operational systems development<sup>c</sup>",Colorado,"Department of Defense, operational systems development<sup>c</sup>",,2,591705,2721,0,588985,0,0,0
10291,r025,Connecticut,Connecticut,,,1,,,,,,,
