table_id,row_id,_b_region_country_or_economy_b_full_path,_b_region_country_or_economy_b_level_1,_b_region_country_or_economy_b_level_2,_b_region_country_or_economy_b_level_3,_b_region_country_or_economy_b_hierarchy_depth,field_total,field_dhs,field_dod,field_doe,field_hhs_,field_nasa,field_nsf,field_usda,field_othera
10283,r016,All areas and organizations -> Africa -> Malawi,All areas and organizations,Africa,Malawi,3,1220,0,0,0,1220,0,0,0,0
10283,r017,All areas and organizations -> Africa -> Mali,All areas and organizations,Africa,Mali,3,3141,0,0,0,3141,0,0,0,0
10283,r018,All areas and organizations -> Africa -> Mozambique,All areas and organizations,Africa,Mozambique,3,1660,0,0,0,1660,0,0,0,0
10283,r019,All areas and organizations -> Africa -> Nigeria,All areas and organizations,Africa,Nigeria,3,10069,0,0,0,10069,0,0,0,0
10283,r020,All areas and organizations -> Africa -> Rwanda,All areas and organizations,Africa,Rwanda,3,338,0,0,0,338,0,0,0,0
10283,r021,All areas and organizations -> Africa -> Senegal,All areas and organizations,Africa,Senegal,3,790,0,0,0,790,0,0,0,0
10283,r022,All areas and organizations -> Africa -> South Africa,All areas and organizations,Africa,South Africa,3,49261,0,249,0,48758,0,0,254,0
10283,r023,All areas and organizations -> Africa -> Swaziland,All areas and organizations,Africa,Swaziland,3,0.05,0,0.05,0,0,0,0,0,0
10283,r024,All areas and organizations -> Africa -> Tanzania,All areas and organizations,Africa,Tanzania,3,2207,0,0,0,2207,0,0,0,0
10283,r025,All areas and organizations -> Africa -> Uganda,All areas and organizations,Africa,Uganda,3,12860,0,0.05,0,12837,0,0,0,0
10283,r026,All areas and organizations -> Africa -> Zambia,All areas and organizations,Africa,Zambia,3,2473,0,0,0,2473,0,0,0,0
10283,r027,All areas and organizations -> Africa -> Zimbabwe,All areas and organizations,Africa,Zimbabwe,3,1690,0,0,0,1690,0,0,0,0
10283,r028,All areas and organizations -> Asia,All areas and organizations,Asia,,2,103617,2119,71010,0.05,26580,2503,0.05,589,780
10283,r029,All areas and organizations -> Asia -> Bangladesh,All areas and organizations,Asia,Bangladesh,3,2779,0,63,0,2716,0,0,0,0
