table_id,row_id,occupation_full_path,occupation_level_1,occupation_level_2,occupation_level_3,occupation_level_4,occupation_hierarchy_depth,field_total_number,field_total_se,field_employed_total_number,field_employed_total_se,field_employed_full_time_number,field_employed_full_time_se,field_employed_part_time_number,field_employed_part_time_se,field_unemployeda_number,field_unemployeda_se,field_retired_number,field_retired_se,field_not_employed_or_not_seeking_workb_number,field_not_employed_or_not_seeking_workb_se
8211,r001,All occupations,All occupations,,,,1,1021950,1950,872100,2425,779600,2425,92500,1375,16600,750,114750,1525,18500,700
8211,r002,All occupations -> Science occupations,All occupations,Science occupations,,,2,585800,2750,502250,2725,447950,2700,54300,1025,8150,550,63650,1200,11750,600
8211,r003,"All occupations -> Science occupations -> Biological, agricultural, and other life scientists",All occupations,Science occupations,"Biological, agricultural, and other life scientists",,3,186900,1825,160850,1700,149850,1700,11000,575,2550,275,19300,700,4200,350
8211,r004,"All occupations -> Science occupations -> Biological, agricultural, and other life scientists -> Agricultural, food scientists",All occupations,Science occupations,"Biological, agricultural, and other life scientists","Agricultural, food scientists",4,13100,600,10650,550,9650,525,1000,175,200,50,2100,275,200,50
8211,r005,"All occupations -> Science occupations -> Biological, agricultural, and other life scientists -> Biochemists, biophysicists",All occupations,Science occupations,"Biological, agricultural, and other life scientists","Biochemists, biophysicists",4,20750,750,18000,750,17200,725,750,175,200,75,1700,250,900,175
8211,r006,"All occupations -> Science occupations -> Biological, agricultural, and other life scientists -> Biological scientists",All occupations,Science occupations,"Biological, agricultural, and other life scientists",Biological scientists,4,29650,850,26050,850,24400,800,1650,200,350,100,2500,250,800,125
8211,r007,"All occupations -> Science occupations -> Biological, agricultural, and other life scientists -> Forestry, conservation scientists",All occupations,Science occupations,"Biological, agricultural, and other life scientists","Forestry, conservation scientists",4,2900,250,2400,225,2100,225,300,75,,,400,75,S,S
8211,r008,"All occupations -> Science occupations -> Biological, agricultural, and other life scientists -> Medical scientists",All occupations,Science occupations,"Biological, agricultural, and other life scientists",Medical scientists,4,47300,1000,41550,975,38550,950,2950,275,950,225,3950,350,850,175
8211,r009,"All occupations -> Science occupations -> Biological, agricultural, and other life scientists -> Postsecondary teachers, agricultural, other natural sciences",All occupations,Science occupations,"Biological, agricultural, and other life scientists","Postsecondary teachers, agricultural, other natural sciences",4,6450,375,5200,350,4900,350,300,75,,,1100,175,50,50
8211,r010,"All occupations -> Science occupations -> Biological, agricultural, and other life scientists -> Postsecondary teachers, biological sciences",All occupations,Science occupations,"Biological, agricultural, and other life scientists","Postsecondary teachers, biological sciences",4,41050,1050,34400,975,32000,950,2400,275,350,100,5650,400,650,150
