table_id,row_id,employment_size_full_path,employment_size_level_1,employment_size_level_2,employment_size_level_3,employment_size_hierarchy_depth,field_all_companies,field_core_production,field_distribution_and_logistics,field_marketing_sales_after_sales_services,field_administrative_or_management_functions,field_research_and_development,field_engineering_and_other_technical_services,field_information_and_communication_technology_services,field_all_other_operating_activities
9037,r001,All companies,All companies,,,1,"['4,865,616', '&nbsp;']","['14.1', '&nbsp;']","['12.1', '&nbsp;']","['16.5', '&nbsp;']","['13.0', '&nbsp;']","['3.8', '&nbsp;']","['5.8', '&nbsp;']","['11.3', '&nbsp;']","['7.8', '&nbsp;']"
9037,r002,All companies -> Micro companies,All companies,Micro companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
9037,r003,All companies -> Micro companies -> 1&#8211;4,All companies,Micro companies,1&#8211;4,3,"['2,735,868', '&nbsp;']","['12.0', '&nbsp;']","['9.5', '&nbsp;']","['13.5', '&nbsp;']","['11.9', '&nbsp;']","['3.2', '&nbsp;']","['4.4', '&nbsp;']","['7.9', '&nbsp;']","['6.7', '&nbsp;']"
9037,r004,All companies -> Micro companies -> 5&#8211;9,All companies,Micro companies,5&#8211;9,3,"['937,171', '&nbsp;']","['15.4', '&nbsp;']","['12.6', '&nbsp;']","['17.8', '&nbsp;']","['13.3', '&nbsp;']","['3.5', '&nbsp;']","['5.8', '&nbsp;']","['11.7', '&nbsp;']","['7.8', '&nbsp;']"
9037,r005,All companies -> Small companies,All companies,Small companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
9037,r006,All companies -> Small companies -> 10&#8211;19,All companies,Small companies,10&#8211;19,3,"['587,934', '&nbsp;']","['16.6', '&nbsp;']","['15.0', '&nbsp;']","['20.0', '&nbsp;']","['14.4', '&nbsp;']","['4.4', '&nbsp;']","['7.2', '&nbsp;']","['15.2', '&nbsp;']","['9.1', '&nbsp;']"
9037,r007,All companies -> Small companies -> 20&#8211;49,All companies,Small companies,20&#8211;49,3,"['393,667', '&nbsp;']","['17.8', '&nbsp;']","['18.7', '&nbsp;']","['23.5', '&nbsp;']","['15.8', '&nbsp;']","['5.3', '&nbsp;']","['8.9', '&nbsp;']","['19.8', '&nbsp;']","['9.9', '&nbsp;']"
9037,r008,All companies -> Medium companies,All companies,Medium companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
9037,r009,All companies -> Medium companies -> 50&#8211;99,All companies,Medium companies,50&#8211;99,3,"['113,856', '&nbsp;']","['19.6', '&nbsp;']","['23.9', '&nbsp;']","['26.5', '&nbsp;']","['16.5', '&nbsp;']","['8.2', '&nbsp;']","['13.3', '&nbsp;']","['25.0', '&nbsp;']","['12.9', '&nbsp;']"
9037,r010,All companies -> Medium companies -> 100&#8211;249,All companies,Medium companies,100&#8211;249,3,"['64,375', '&nbsp;']","['19.8', '&nbsp;']","['22.7', '&nbsp;']","['26.5', '&nbsp;']","['15.3', '&nbsp;']","['7.9', '&nbsp;']","['13.7', '&nbsp;']","['27.5', '&nbsp;']","['13.0', '&nbsp;']"
9037,r011,All companies -> Large companies,All companies,Large companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
9037,r012,All companies -> Large companies -> 250&#8211;499,All companies,Large companies,250&#8211;499,3,"['17,147', '&nbsp;']","['22.9', '&nbsp;']","['27.6', '&nbsp;']","['29.6', '&nbsp;']","['21.6', '&nbsp;']","['12.9', '&nbsp;']","['20.8', '&nbsp;']","['34.4', '&nbsp;']","['17.1', '&nbsp;']"
9037,r013,All companies -> Large companies -> 500&#8211;999,All companies,Large companies,500&#8211;999,3,"['7,487', '&nbsp;']","['24.0', '&nbsp;']","['27.3', '&nbsp;']","['27.0', '&nbsp;']","['17.8', '&nbsp;']","['13.2', '&nbsp;']","['19.1', '&nbsp;']","['28.1', '&nbsp;']","['18.9', '&nbsp;']"
9037,r014,"All companies -> Large companies -> 1,000&#8211;4,999",All companies,Large companies,"1,000&#8211;4,999",3,"['6,271', '&nbsp;']","['27.1', '&nbsp;']","['31.4', '&nbsp;']","['31.3', '&nbsp;']","['25.3', '&nbsp;']","['16.3', '&nbsp;']","['22.2', '&nbsp;']","['35.1', '&nbsp;']","['24.3', '&nbsp;']"
9037,r015,"All companies -> Large companies -> 5,000&#8211;9,999",All companies,Large companies,"5,000&#8211;9,999",3,"['980', '&nbsp;']","['28.9', '&nbsp;']","['34.2', '&nbsp;']","['35.0', '&nbsp;']","['29.7', '&nbsp;']","['18.8', '&nbsp;']","['26.8', '&nbsp;']","['37.3', '&nbsp;']","['26.7', '&nbsp;']"
9037,r016,"All companies -> Large companies -> 10,000&#8211;24,999",All companies,Large companies,"10,000&#8211;24,999",3,"['543', '&nbsp;']","['37.9', '&nbsp;']","['43.5', '&nbsp;']","['41.4', '&nbsp;']","['36.6', '&nbsp;']","['31.3', '&nbsp;']","['35.0', '&nbsp;']","['44.2', '&nbsp;']","['33.1', '&nbsp;']"
9037,r017,"All companies -> Large companies -> 25,000 or more",All companies,Large companies,"25,000 or more",3,"['320', '&nbsp;']","['46.6', '&nbsp;']","['53.1', '&nbsp;']","['50.0', '&nbsp;']","['41.2', '&nbsp;']","['30.0', '&nbsp;']","['38.1', '&nbsp;']","['52.2', '&nbsp;']","['38.1', '&nbsp;']"
