table_id,row_id,_b_occupation_group_b_full_path,_b_occupation_group_b_level_1,_b_occupation_group_b_level_2,_b_occupation_group_b_hierarchy_depth,field_2011_all_workers,field_2011_without_a_bachelor_s_degree,field_2011_bachelor_s_degree_or_higher,field_2021_all_workers,field_2021_without_a_bachelor_s_degree,field_2021_bachelor_s_degree_or_higher
10999,r001,Percent,Percent,,1,,,,,,
10999,r002,STEM occupations,STEM occupations,,1,21.6,19.2,26.6,24.2,20.7,29.6
10999,r003,STEM occupations -> S&E occupations,STEM occupations,S&E occupations,2,4.2,1.6,9.6,6.2,2.3,12.4
10999,r004,STEM occupations -> S&E-related occupations,STEM occupations,S&E-related occupations,2,7.8,5.0,13.7,8.9,5.5,14.3
10999,r005,STEM occupations -> STEM middle-skill occupations,STEM occupations,STEM middle-skill occupations,2,9.5,12.5,3.3,9.1,13.0,3.0
10999,r006,Non-STEM occupations,Non-STEM occupations,,1,78.4,80.8,73.4,75.8,79.3,70.4
10999,r007,Number,Number,,1,,,,,,
10999,r008,STEM occupations,STEM occupations,,1,29688301,17829706,11858595,36803699,19255748,17547951
10999,r009,STEM occupations -> S&E occupations,STEM occupations,S&E occupations,2,5824344,1520213,4304131,9422377,2098049,7324328
10999,r010,STEM occupations -> S&E-related occupations,STEM occupations,S&E-related occupations,2,10780788,4680282,6100506,13540140,5078332,8461808
10999,r011,STEM occupations -> STEM middle-skill occupations,STEM occupations,STEM middle-skill occupations,2,13083169,11629211,1453958,13841182,12079367,1761815
10999,r012,Non-STEM occupations,Non-STEM occupations,,1,107839144,75040588,32798556,115563876,73890649,41673227
