table_id,row_id,_b_federal_agency_b_full_path,_b_federal_agency_b_level_1,_b_federal_agency_b_level_2,_b_federal_agency_b_hierarchy_depth,field_r_d_expenditures
12752,r001,All other federal agencies,All other federal agencies,,1,4091656
12752,r002,All other federal agencies -> Administrative Office of the U.S. Courts,All other federal agencies,Administrative Office of the U.S. Courts,2,64
12752,r003,All other federal agencies -> Agency for International Development,All other federal agencies,Agency for International Development,2,230973
12752,r004,All other federal agencies -> Appalachian Regional Commission,All other federal agencies,Appalachian Regional Commission,2,1466
12752,r005,All other federal agencies -> Central Intelligence Agency,All other federal agencies,Central Intelligence Agency,2,7091
12752,r006,All other federal agencies -> Consumer Product Safety Commission,All other federal agencies,Consumer Product Safety Commission,2,2069
12752,r007,All other federal agencies -> Corporation for National and Community Service,All other federal agencies,Corporation for National and Community Service,2,6776
12752,r008,All other federal agencies -> Department of Commerce,All other federal agencies,Department of Commerce,2,934141
12752,r009,All other federal agencies -> Department of Defense<sup>a</sup>,All other federal agencies,Department of Defense<sup>a</sup>,2,117
12752,r010,All other federal agencies -> Department of Education,All other federal agencies,Department of Education,2,735201
12752,r011,All other federal agencies -> Department of Health and Human Services<sup>a</sup>,All other federal agencies,Department of Health and Human Services<sup>a</sup>,2,8082
12752,r012,All other federal agencies -> Department of Homeland Security,All other federal agencies,Department of Homeland Security,2,197091
12752,r013,All other federal agencies -> Department of Housing and Urban Development,All other federal agencies,Department of Housing and Urban Development,2,19263
12752,r014,All other federal agencies -> Department of Justice,All other federal agencies,Department of Justice,2,129191
12752,r015,All other federal agencies -> Department of Labor,All other federal agencies,Department of Labor,2,33962
12752,r016,All other federal agencies -> Department of State,All other federal agencies,Department of State,2,60803
12752,r017,All other federal agencies -> Department of the Interior,All other federal agencies,Department of the Interior,2,344406
12752,r018,All other federal agencies -> Department of the Treasury,All other federal agencies,Department of the Treasury,2,55210
12752,r019,All other federal agencies -> Department of Transportation,All other federal agencies,Department of Transportation,2,513853
12752,r020,All other federal agencies -> Department of Veterans Affairs,All other federal agencies,Department of Veterans Affairs,2,112898
12752,r021,All other federal agencies -> Election Assistance Commission,All other federal agencies,Election Assistance Commission,2,421
12752,r022,All other federal agencies -> Environmental Protection Agency,All other federal agencies,Environmental Protection Agency,2,107413
12752,r023,All other federal agencies -> Executive Office of the President,All other federal agencies,Executive Office of the President,2,5070
12752,r024,All other federal agencies -> Federal Communications Commission,All other federal agencies,Federal Communications Commission,2,922
12752,r025,All other federal agencies -> General Services Administration,All other federal agencies,General Services Administration,2,1488
12752,r026,All other federal agencies -> Institute of Museum and Library Services,All other federal agencies,Institute of Museum and Library Services,2,6101
12752,r027,All other federal agencies -> Institute of Peace,All other federal agencies,Institute of Peace,2,260
12752,r028,All other federal agencies -> Millennium Challenge Corporation,All other federal agencies,Millennium Challenge Corporation,2,3041
12752,r029,All other federal agencies -> National Archives and Records Administration,All other federal agencies,National Archives and Records Administration,2,2006
12752,r030,All other federal agencies -> National Endowment for the Arts,All other federal agencies,National Endowment for the Arts,2,2948
12752,r031,All other federal agencies -> National Endowment for the Humanities,All other federal agencies,National Endowment for the Humanities,2,19951
12752,r032,All other federal agencies -> Northern Border Regional Commission,All other federal agencies,Northern Border Regional Commission,2,412
12752,r033,All other federal agencies -> Nuclear Regulatory Commission,All other federal agencies,Nuclear Regulatory Commission,2,6062
12752,r034,All other federal agencies -> Office of Personnel Management,All other federal agencies,Office of Personnel Management,2,2548
12752,r035,All other federal agencies -> Office of the Director of National Intelligence,All other federal agencies,Office of the Director of National Intelligence,2,27790
12752,r036,All other federal agencies -> Small Business Administration,All other federal agencies,Small Business Administration,2,24709
12752,r037,All other federal agencies -> Smithsonian Institution,All other federal agencies,Smithsonian Institution,2,3206
12752,r038,All other federal agencies -> Social Security Administration,All other federal agencies,Social Security Administration,2,18111
12752,r039,All other federal agencies -> Tennessee Valley Authority,All other federal agencies,Tennessee Valley Authority,2,2906
12752,r040,All other federal agencies -> Other agencies not listed<sup>b</sup>,All other federal agencies,Other agencies not listed<sup>b</sup>,2,463634
