table_id,row_id,field_of_doctorate_full_path,field_of_doctorate_level_1,field_of_doctorate_level_2,field_of_doctorate_hierarchy_depth,field_recent_doctorates_number_2001,field_recent_doctorates_number_2003,field_recent_doctorates_number_2006,field_recent_doctorates_number_2008,field_recent_doctorates_number_2010,field_recent_doctorates_number_2013,field_recent_doctorates_number_2015,field_recent_doctorates_number_2017,field_unemployment_rate_2001,field_unemployment_rate_2003,field_unemployment_rate_2006,field_unemployment_rate_2008,field_unemployment_rate_2010,field_unemployment_rate_2013,field_unemployment_rate_2015,field_unemployment_rate_2017,field_involuntarily_out_of_field_rate_2001,field_involuntarily_out_of_field_rate_2003,field_involuntarily_out_of_field_rate_2006,field_involuntarily_out_of_field_rate_2008,field_involuntarily_out_of_field_rate_2010,field_involuntarily_out_of_field_rate_2013,field_involuntarily_out_of_field_rate_2015,field_involuntarily_out_of_field_rate_2017
1615,r001,All recent SEH doctorates,All recent SEH doctorates,,1,48700,43700,49500,52600,52700,45500,49400,50200,1.3,2.5,1.2,1.5,2.3,2.7,2.7,2.4,2.8,2.1,1.4,1.3,1.8,2.3,1.7,2.6
1615,r002,"All recent SEH doctorates -> Biological, agricultural, and environmental life sciences",All recent SEH doctorates,"Biological, agricultural, and environmental life sciences",2,12300,11200,12600,13400,14100,12200,12900,12600,1.4,2.4,0.9,1.7,1.5,3.4,3.2,2.9,2.6,1.0,0.3,1.0,1.5,2.6,0.8,2.0
1615,r003,All recent SEH doctorates -> Computer and information sciences,All recent SEH doctorates,Computer and information sciences,2,1600,1400,1500,2400,2500,2000,2400,2600,0.3,4.1,1.9,s,s,s,s,1.0,s,s,2.6,1.4,s,s,s,s
1615,r004,All recent SEH doctorates -> Mathematics and statistics,All recent SEH doctorates,Mathematics and statistics,2,2200,1600,2000,2400,2400,2200,2600,2250,0.2,3.4,s,s,s,s,s,s,1.4,3.4,2.2,1.1,s,s,s,4.9
1615,r005,All recent SEH doctorates -> Physical sciences,All recent SEH doctorates,Physical sciences,2,7700,6500,7400,7500,7700,6400,6900,6900,1.5,1.3,1.1,3.0,2.6,4.8,4.4,3.4,5.4,4.2,2.6,2.3,1.4,1.7,3.0,4.1
1615,r006,All recent SEH doctorates -> Psychology,All recent SEH doctorates,Psychology,2,7200,6300,7000,5800,5400,4700,5000,4650,1.5,2.7,1.2,0.8,3.8,s,2.0,1.8,3.0,1.5,1.4,0.8,2.0,s,2.1,1.3
1615,r007,All recent SEH doctorates -> Social sciences,All recent SEH doctorates,Social sciences,2,5800,6000,6200,5900,6000,5400,6100,6400,1.6,3.1,1.4,2.1,3.4,3.8,1.7,2.2,3.3,3.0,2.3,3.4,3.5,5.9,3.4,3.3
1615,r008,All recent SEH doctorates -> Engineering,All recent SEH doctorates,Engineering,2,9400,8000,9500,12000,11300,9600,10300,12000,1.5,3.0,1.8,1.2,2.7,2.1,3.0,1.9,2.0,3.0,1.6,0.7,1.9,2.2,2.0,2.4
1615,r009,All recent SEH doctorates -> Health,All recent SEH doctorates,Health,2,2400,2700,3200,3300,3400,3000,3200,2750,0.4,0.7,0.9,1.2,s,s,3.1,s,s,1.1,s,s,s,s,s,1.9
